Tweets,Length,Date,Source,Favourites,RTs,Username,id_str
@ManUtd @vancole9 ❤️,20,2020-05-22 19:27:36,Twitter for iPhone,2941,67,marcusrashford,1263914427625152513
@UtdLew Appreciate it!,22,2020-05-22 19:27:00,Twitter for iPhone,579,13,marcusrashford,1263914277062225920
@Idowuemmanuel39 @GQMagazine All good mate. You?,48,2020-05-22 19:26:46,Twitter for iPhone,23,2,marcusrashford,1263914215917658113
@Amar_B03 ❤️,12,2020-05-22 19:10:52,Twitter for iPhone,257,4,marcusrashford,1263910215403134978
@Ralpho97 Thanks Ralph!,23,2020-05-22 19:10:20,Twitter for iPhone,380,3,marcusrashford,1263910081395150848
@sirwalexy @ManUtd Thanks mate 👊🏾,33,2020-05-22 19:10:02,Twitter for iPhone,172,3,marcusrashford,1263910005788549120
"Ready for my 10 essentials with @GQMagazine ? Check it out 👇🏾

https://t.co/7NJejsni5t https://t.co/IacrHuihu0",110,2020-05-22 18:43:42,Twitter for iPhone,1702,135,marcusrashford,1263903379694256129
♥️ https://t.co/3T49FrISoI,26,2020-05-22 16:54:27,Twitter for iPhone,16204,864,marcusrashford,1263875883732959234
♥️ Manchester Together 🐝💙,25,2020-05-22 08:31:02,Twitter for iPhone,56434,4658,marcusrashford,1263749197578321920
RT @sterling7: 💙🐝❤️ Manchester together,39,2020-05-22 08:29:17,Twitter for iPhone,0,4146,marcusrashford,1263748757142884352
"RT @ManUtd: Three years on, we are still #ManchesterTogether. https://t.co/NZLKDZHuGJ",85,2020-05-22 07:33:08,Twitter for iPhone,0,2264,marcusrashford,1263734627614822400
"@ScottLennon18 @GQMagazine Well done for getting your girlfriend in their mate, bonus points! 👊🏾",96,2020-05-21 18:11:54,Twitter for iPhone,485,4,marcusrashford,1263532986869432320
So I was asked by @GQMagazine to do a piece where I select my 10 essential items. Basically 10 things I wouldn’t want to live without 🤔 From 1-10 list yours 👇🏾 Go!,163,2020-05-21 18:06:58,Twitter for iPhone,5904,255,marcusrashford,1263531748312440832
@ManUtd 😂🤣 how am I supposed to compete with that pic of Becks 👀,64,2020-05-21 13:43:13,Twitter for iPhone,10234,331,marcusrashford,1263465371132203010
@Daz_moon Hmmm does he want to ask me a question and I’ll get it answered? Drop it in my DM,91,2020-05-21 10:52:56,Twitter for iPhone,536,4,marcusrashford,1263422520637755392
Take that for a throwback shot 😁♥️ https://t.co/YVwUbhXAtF,58,2020-05-21 10:42:25,Twitter for iPhone,59958,4273,marcusrashford,1263419870621904896
♥️ https://t.co/qeMTarunPj,26,2020-05-20 14:56:24,Twitter for iPhone,2589,92,marcusrashford,1263121401600450560
Morning! ☀️,11,2020-05-20 08:57:28,Twitter for iPhone,17938,693,marcusrashford,1263031073698648066
♥️ https://t.co/GRPwAZDLGU,26,2020-05-19 12:42:43,Twitter for iPhone,2655,92,marcusrashford,1262725369444151296
@HayleyArchiMum Happy birthday Ryan!,36,2020-05-19 09:20:52,Twitter for iPhone,173,0,marcusrashford,1262674574254182409
If anyone needs a pick me up this morning... https://t.co/uy6eLadKUl,68,2020-05-19 09:15:07,Twitter for iPhone,9419,641,marcusrashford,1262673126938349568
@tanishajasmine6 Pasta. You?,28,2020-05-18 20:36:48,Twitter for iPhone,1005,15,marcusrashford,1262482291726733313
@ManUtd @luisnani King of the knuckleball 😎,43,2020-05-18 19:39:44,Twitter for iPhone,4889,166,marcusrashford,1262467928529780741
@Cally_Davy 😏,13,2020-05-18 19:27:25,Twitter for iPhone,204,2,marcusrashford,1262464830419722241
@BillingtonKarl Not quite,25,2020-05-18 19:27:00,Twitter for iPhone,94,1,marcusrashford,1262464723649540096
@oe25978 I scrolled down your twitter and still have no clue lol 🤷🏾‍♂️,70,2020-05-18 19:26:53,Twitter for iPhone,383,3,marcusrashford,1262464694306160640
"Find out on my Facebook where I chat to @andy_murray about finishing college, debuts, mentality, etc.
Ps, some of you were right 👍🏾♥️ https://t.co/rGOgvW9qGh",157,2020-05-18 18:10:39,Twitter for iPhone,7012,410,marcusrashford,1262445510469791754
@Tuvicakinde @BigDaveSave I finished of course! Had to finish it up at the training ground but I got it done 💪🏾,111,2020-05-18 17:26:06,Twitter for iPhone,448,9,marcusrashford,1262434300072517633
"@BigDaveSave Yep, I only had 2 months left when I got my debut!",63,2020-05-18 17:23:51,Twitter for iPhone,532,12,marcusrashford,1262433732155150336
@MUFCZEKI Hi 👋🏾,15,2020-05-18 17:21:41,Twitter for iPhone,604,2,marcusrashford,1262433188552626176
@BigDaveSave I know! Auto correct! 😤,36,2020-05-18 17:21:08,Twitter for iPhone,462,4,marcusrashford,1262433049259769857
@youngnizzy6 Thank you very much 🤓🤣,35,2020-05-18 17:20:49,Twitter for iPhone,429,5,marcusrashford,1262432971048574978
"Bit of trivia this Monday.
What course did I study at college?
Go 👇🏾",68,2020-05-18 17:13:57,Twitter for iPhone,13142,530,marcusrashford,1262431240273014784
"RT @atptour: This will brighten up your day 💞

@andy_murray &amp; @MarcusRashford surprise a community nurse from Scotland! https://t.co/tnf7tD…",144,2020-05-17 15:50:08,Twitter for iPhone,0,232,marcusrashford,1262047759030509569
"@LeeChristian01 Yesss little man, get it!! 💪🏾🤩",46,2020-05-17 13:16:22,Twitter for iPhone,289,3,marcusrashford,1262009064877428737
@leocimmino33 Good work bro. Your dad is an absolute vibe 😎🤣,60,2020-05-17 12:15:37,Twitter for iPhone,1013,19,marcusrashford,1261993776958013446
Found the video 👍🏾👊🏾 https://t.co/3j0AO5KJ4g,44,2020-05-17 12:13:37,Twitter for iPhone,49483,4663,marcusrashford,1261993274497208325
@btsportfootball This actually cracked me up 🤣,46,2020-05-17 12:11:03,Twitter for iPhone,1019,17,marcusrashford,1261992625835474944
@RepeatCya Yep 😉,16,2020-05-17 11:58:09,Twitter for iPhone,53,3,marcusrashford,1261989381558149121
Deserved a retweet 🔥 I used to do the exact same thing on the patch of grass in front of the house when I was the same age. Keep practicing little man ♥️ https://t.co/fuE9xrzndZ,177,2020-05-17 11:56:10,Twitter for iPhone,4238,293,marcusrashford,1261988882612092934
@Storyte39111719 ♥️,19,2020-05-17 11:51:56,Twitter for iPhone,13,1,marcusrashford,1261987817154121729
"@SayNoMore33 @btsport Haha things are looking good mate, just taking each day as it comes. Working hard 💪🏾",106,2020-05-17 11:51:00,Twitter for iPhone,341,6,marcusrashford,1261987580415000578
"Logging on to @btsport ... 😬
Hope everyone’s having a great Sunday! ♥️",70,2020-05-17 11:48:39,Twitter for iPhone,5871,203,marcusrashford,1261986988665614336
@wjhowe86 I’ll drop you a DM and get you sorted Will 👍🏾,55,2020-05-17 11:46:25,Twitter for iPhone,33,1,marcusrashford,1261986426687762432
@danielmc7 Yesss go on little man!! 🔥,37,2020-05-17 11:43:30,Twitter for iPhone,439,9,marcusrashford,1261985694123274240
"@ConorGriffin77 Happy birthday Killian, have a great day buddy. Love the shirt 😉♥️",82,2020-05-17 11:37:11,Twitter for iPhone,906,25,marcusrashford,1261984102892343301
@LeeRoyFishwick Oh noooo bless her haha 😍,41,2020-05-17 11:36:21,Twitter for iPhone,19,2,marcusrashford,1261983892506017793
"@btsportfootball Oh my days, I actually can’t wait 😬",52,2020-05-16 12:02:58,Twitter for iPhone,7339,267,marcusrashford,1261628206446186498
"RT @atptour: ""I was told you are a huge @RafaelNadal fan"" 🤣

Watch @andy_murray and @MarcusRashford surprise a frontline nurse &amp; fan on thi…",144,2020-05-15 18:39:24,Twitter for iPhone,0,114,marcusrashford,1261365583284666370
RT @FareShareUK: Donations from @MarcusRashford &amp; @Coop customers will help FareShare supply projects with enough food to create over 2 mil…,144,2020-05-15 16:34:24,Twitter for iPhone,0,45,marcusrashford,1261334124658397187
@AndyADurrant Happy birthday Artem! Have a great day x,54,2020-05-15 16:13:28,Twitter for iPhone,429,5,marcusrashford,1261328856704827393
@shanepostlethw4 Well I’ll wish you one now then. Happy birthday Shane! 👍🏾,74,2020-05-15 15:49:13,Twitter for iPhone,38,2,marcusrashford,1261322752335716354
"Sharing this with you because it’s not just for me, it’s for all of you that have got involved. I can’t thank you enough ♥️

For further info, link is in my bio x https://t.co/oo55AAAuQH",186,2020-05-15 12:30:00,Twitter for iPhone,1638,116,marcusrashford,1261272621712375809
Thank you all for the support you have given me during this difficult time. I know you all have your own individual struggles and it really means a lot that you have joined me on this journey ♥️ (4),198,2020-05-15 12:28:20,Twitter for iPhone,2103,102,marcusrashford,1261272198670626816
We have a big fight on our hands here! We have done an incredible job getting this far but there are still so many more vulnerable children to reach and I won’t stop until we are reaching as many as physically possible. (3),223,2020-05-15 12:27:50,Twitter for iPhone,1640,102,marcusrashford,1261272075936956417
"I launched my campaign with @FareShareUK 8 weeks ago. Today, we are supplying 2.8million meals a week for vulnerable people across the UK. Meals they wouldn’t otherwise have. And you all deserve a HUGE thank you! (2)",216,2020-05-15 12:27:23,Twitter for iPhone,1613,167,marcusrashford,1261271960174104576
"Guys, according to a report by the Food Foundation, 200,000 children in Britain have missed meals during lockdown because families ‘could not access food’. 500,000 more who rely on free school meals are receiving no substitute at all... how?? (1)",246,2020-05-15 12:26:43,Twitter for iPhone,10206,997,marcusrashford,1261271793538605057
"RT @FareShareUK: A massive thank you to @waitrose for this incredible delivery to FareShare South Midlands - the equivalent of 10,000 meals…",140,2020-05-15 12:11:53,Twitter for iPhone,0,33,marcusrashford,1261268058951294977
@alinanesiuluta I do! 😉,23,2020-05-15 12:04:56,Twitter for iPhone,56,2,marcusrashford,1261266309947559936
"Happy birthday @andy_murray 
Have a good day mate 👊🏾",52,2020-05-15 11:26:24,Twitter for iPhone,6293,202,marcusrashford,1261256613157011458
I want Round 2 @andy_murray 😤 I’ve underperformed 😂 https://t.co/sFgQagkH4V,75,2020-05-14 17:08:26,Twitter for iPhone,2717,201,marcusrashford,1260980300764581888
@rktoday123 Keep practicing Evan!,33,2020-05-14 14:14:32,Twitter for iPhone,58,3,marcusrashford,1260936538063433730
@isakasprem04 Stay strong pal! ♥️,33,2020-05-14 11:31:41,Twitter for iPhone,1024,23,marcusrashford,1260895555498147840
@WiJayWhelan My good friend Travis Johnson unbelievable talent 👍🏾,65,2020-05-14 09:58:10,Twitter for iPhone,480,9,marcusrashford,1260872021703041025
@Breezy_Be_Boss About 10 I think 👍🏾,35,2020-05-14 09:52:30,Twitter for iPhone,143,4,marcusrashford,1260870595119636481
Blessing the timeline with a little throwback this Thursday ♥️☺️ https://t.co/5CLEhbd31X,88,2020-05-14 07:39:34,Twitter for iPhone,49261,3423,marcusrashford,1260837142902771712
@FIFAWorldCup @RomeluLukaku9 Hope you had a great day bro!,58,2020-05-14 07:15:21,Twitter for iPhone,508,7,marcusrashford,1260831047618625542
@DAVIDLUFC_ Sorry about that...,31,2020-05-13 19:41:45,Twitter for iPhone,44,2,marcusrashford,1260656496393633792
@SamMason9 What a cutie! You’re doing a great job mate,54,2020-05-13 18:06:57,Twitter for iPhone,122,1,marcusrashford,1260632638584508416
@venga_123 Good luck!,21,2020-05-13 18:05:51,Twitter for iPhone,128,4,marcusrashford,1260632362246909957
@jjackson_90 Good man!,22,2020-05-13 18:05:30,Twitter for iPhone,30,1,marcusrashford,1260632275206713344
@AJRManUTD @ManUtd Keep practicing little man x,47,2020-05-13 18:04:20,Twitter for iPhone,116,2,marcusrashford,1260631982171729920
@CharlotteKnig18 Yep,20,2020-05-13 18:04:07,Twitter for iPhone,63,1,marcusrashford,1260631928329449472
@GarethCKelly Thanks mate,25,2020-05-13 18:04:01,Twitter for iPhone,27,1,marcusrashford,1260631902899310593
@bobbyegg7 So sorry to hear that mate x,39,2020-05-13 18:03:23,Twitter for iPhone,77,2,marcusrashford,1260631744358879234
@Annemariemarsh7 Haha I’m sure you’re doing a great job,55,2020-05-13 18:02:51,Twitter for iPhone,36,1,marcusrashford,1260631608417280001
@CharlieMcknig10 Not bad at all mate thank you,46,2020-05-13 18:00:46,Twitter for iPhone,50,2,marcusrashford,1260631084062191616
@jazmin_shor Hope it went well!,31,2020-05-13 18:00:22,Twitter for iPhone,353,6,marcusrashford,1260630982249590794
@iIIuminatezara Happy belated birthday pal,42,2020-05-13 18:00:10,Twitter for iPhone,201,2,marcusrashford,1260630931850878977
@AdrianPal38 💪🏾💪🏾🤩♥️,20,2020-05-13 17:59:28,Twitter for iPhone,95,0,marcusrashford,1260630755807563778
@MaugerHeath Best of luck!,26,2020-05-13 17:58:57,Twitter for iPhone,46,1,marcusrashford,1260630626987913217
@halls_kitchen Good thanks mate!,32,2020-05-13 17:58:32,Twitter for iPhone,50,1,marcusrashford,1260630520851030018
@Maria__Sharo Keep that focus!,30,2020-05-13 17:57:43,Twitter for iPhone,120,3,marcusrashford,1260630316412219392
Everyone had a good day?,24,2020-05-13 17:56:05,Twitter for iPhone,23227,1003,marcusrashford,1260629906163142656
"RT @JofraArcher: Hey guys can you head over to twitch and follow and subscribe to my channel please , I would mean a lot on my new journey…",139,2020-05-13 17:39:43,Twitter for iPhone,0,38,marcusrashford,1260625785918029828
@BrianBanksFREE 🙌🏾👊🏾,20,2020-05-11 18:57:55,Twitter for iPhone,21,0,marcusrashford,1259920689789841410
"Hi everyone, I keep seeing tweets asking me what I’m watching at the mo. You have to watch @brianbanksmovie on @netflix 🙌🏾
Thank me later! @BrianBanksFREE what a story!",168,2020-05-11 17:10:32,Twitter for iPhone,4793,218,marcusrashford,1259893664874201092
@ChampionsLeague @ThierryHenry 🤤,32,2020-05-11 11:45:40,Twitter for iPhone,5407,253,marcusrashford,1259811909332762624
@SuperNordufus Good luck! You’ll smash it 👊🏾,44,2020-05-11 09:33:22,Twitter for iPhone,69,3,marcusrashford,1259778616507932672
@OllyDelderfield Morning 👋🏾,27,2020-05-11 09:33:01,Twitter for iPhone,42,1,marcusrashford,1259778530101125120
"@jjkershaw76 I’m good man, hope you are too!",44,2020-05-11 09:23:34,Twitter for iPhone,57,1,marcusrashford,1259776151821725696
@rahulshahggmu Good job you got one then 😉,42,2020-05-11 09:23:00,Twitter for iPhone,97,3,marcusrashford,1259776006837198854
Let’s make this week a good week. Happy Monday everyone! ♥️,59,2020-05-11 09:21:18,Twitter for iPhone,15461,876,marcusrashford,1259775578779123713
@SimeonRiley Thanks bro 👊🏾,26,2020-05-10 17:03:16,Twitter for iPhone,10,1,marcusrashford,1259529448417824770
"@iamvictor_7 Good man, hope you are too!",40,2020-05-10 10:33:50,Twitter for iPhone,230,2,marcusrashford,1259431445778567171
@gpnightingale Yes buddy 👊🏾,27,2020-05-10 10:27:21,Twitter for iPhone,159,2,marcusrashford,1259429815633031168
It’s not Mother’s Day in the UK today but seeing a lot of people celebrating it on my timeline. A big Happy Mother’s Day to all of you!! ♥️,139,2020-05-10 10:21:23,Twitter for iPhone,26842,1829,marcusrashford,1259428310888656896
RT @FanniPolgar: 'One Call Away' by @charlieputh signed in BSL(SSE)/Makaton by members of our local community. This is for everyone during…,139,2020-05-08 15:25:33,Twitter for iPhone,0,32,marcusrashford,1258780083080310785
@_hepzibah @MUFC__Eunan Not true is it! 😉,41,2020-05-08 12:55:49,Twitter for iPhone,136,2,marcusrashford,1258742401058906114
"Flashback Friday in celebration of Deaf Awareness Week. I’m getting there slowly but surely ♥️

Not sure why this isn’t taught in schools 🤷🏾‍♂️ https://t.co/mji60mxhT9",167,2020-05-08 12:46:39,Twitter for iPhone,5723,397,marcusrashford,1258740096267886592
"RT @England: Today, on the 75th anniversary of #VEDay, we remember the fallen and thank all of our veterans for their incredible courage an…",140,2020-05-08 11:00:27,Twitter for iPhone,0,254,marcusrashford,1258713368761860096
Wanted to take a decent pic without the dogs getting involved. This was the best we could do...🧐🥰 Happy Friday everyone! https://t.co/XvZI4OMJLn,144,2020-05-08 09:36:58,Twitter for iPhone,32642,1742,marcusrashford,1258692360382418944
@ann_khloe10 @ManUtd Good morning! Have a good day!,51,2020-05-08 08:08:10,Twitter for iPhone,1091,27,marcusrashford,1258670010026909696
@ManUtd 🐐♥️,11,2020-05-08 08:02:11,Twitter for iPhone,6443,264,marcusrashford,1258668505823686656
@DanWills_7 @PHolmes89 Well next time say hello!,48,2020-05-07 20:33:08,Twitter for iPhone,50,4,marcusrashford,1258495099811565568
@harshsxm Keep on it bro 👊🏾,27,2020-05-07 20:29:56,Twitter for iPhone,619,1,marcusrashford,1258494295998451732
@vigneshbabuji This show is crazy right!,40,2020-05-07 20:27:27,Twitter for iPhone,311,2,marcusrashford,1258493672389296130
@Jeremiahoriola New episodes of The Last Dance 👍🏾,49,2020-05-07 20:23:18,Twitter for iPhone,393,2,marcusrashford,1258492626271195138
@meindoshihu Now? 👋🏾,20,2020-05-07 20:22:09,Twitter for iPhone,279,8,marcusrashford,1258492337904214016
@amyblonde Happy birthday Sam!! Hope you have a great day! Make sure you give your superstar mum a hug from me. Thank you for all you do Amy ♥️,143,2020-05-07 20:21:08,Twitter for iPhone,535,11,marcusrashford,1258492082731261952
@HaarisMal Yep,14,2020-05-07 20:16:00,Twitter for iPhone,1625,8,marcusrashford,1258490791447744512
@Jamalimam_ 😂,13,2020-05-07 20:15:23,Twitter for iPhone,514,0,marcusrashford,1258490632982589440
@jackhorseyy Me too 👊🏾,22,2020-05-07 20:15:10,Twitter for iPhone,597,6,marcusrashford,1258490581074038790
@daniellejmufc Great show 👍🏾,28,2020-05-07 20:14:57,Twitter for iPhone,492,1,marcusrashford,1258490526514532355
What’s everyone watching tonight?,33,2020-05-07 20:11:31,Twitter for iPhone,21265,885,marcusrashford,1258489661527396352
"RT @bt_uk: Tech can help you keep fit, while we stay at home. Gareth Southgate tells us how with some help from @BenChilwell, @HarryWinks a…",140,2020-05-07 16:39:45,Twitter for iPhone,0,14,marcusrashford,1258436366813126657
@nickclarkeIP @ManUtd Nice setup you have there pal,51,2020-05-05 17:56:20,Twitter for iPhone,1755,33,marcusrashford,1257730865775423501
"RT @England: A note from the #ThreeLions...

#PlayersTogether https://t.co/wDWg9qA8sE",85,2020-05-05 15:20:54,Twitter for iPhone,0,241,marcusrashford,1257691748152811520
"Not quite Oscar worthy but anything I can do to help. Happy to support the @coopuk @FareShareUK campaign.
Click on link to find out more: https://t.co/27ObYIWBR7

Have a good day everyone! https://t.co/vYjvNOPW5R",212,2020-05-05 07:01:45,Twitter for iPhone,9344,886,marcusrashford,1257566132745224199
@Luke_cullen2002 No need for Day 43 👍🏾,38,2020-05-03 14:42:22,Twitter for iPhone,6743,176,marcusrashford,1256957276616876037
@jibis13 Happy birthday!!,25,2020-05-03 13:39:34,Twitter for iPhone,468,11,marcusrashford,1256941471137255424
@thecarlydenton I’ll make sure there is a focus on balance!,59,2020-05-03 13:18:59,Twitter for iPhone,27,2,marcusrashford,1256936293038198784
@shwetabhraj Have a good Sunday mate 👊🏾,39,2020-05-03 13:18:17,Twitter for iPhone,536,11,marcusrashford,1256936114641940480
Thanks everyone for your help. Filming at home Tuesday. Will let you know how it goes. Enjoy your Sunday ♥️,107,2020-05-03 13:03:49,Twitter for iPhone,1845,45,marcusrashford,1256932476049645570
@Sonia767 @cbbc Ah memories!,28,2020-05-03 11:37:55,Twitter for iPhone,228,4,marcusrashford,1256910857671499776
@jordanwhitey93 Haha morning mate,33,2020-05-03 10:04:26,Twitter for iPhone,16,1,marcusrashford,1256887330700492800
@englandcricket @JofraArcher 🌟✨,31,2020-05-03 10:03:40,Twitter for iPhone,166,5,marcusrashford,1256887138467155968
RT @mfd94: @MarcusRashford Also encourage them to have water breaks!! We P.E teachers swear by it!,98,2020-05-03 10:01:17,Twitter for iPhone,0,9,marcusrashford,1256886541466644480
"RT @_MR20_: @MarcusRashford Get the kids moving from one station to the next every 30-45 seconds. Some ideas..
Pushups
Situps
Jump rope
Ste…",140,2020-05-03 10:01:05,Twitter for iPhone,0,14,marcusrashford,1256886490577199105
"Ok so far we have:
Get the heart rate going, focus on balance, try not to use equipment and just make it fun.
Am I missing anything?",132,2020-05-03 09:57:39,Twitter for iPhone,2989,76,marcusrashford,1256885624981852162
