;#covid19;pennsylvania;pennsylvanians;help;home;health;stay;pa;students;businesses;spread;new;plan;vote;program;order;counties;schools;people;latest;debt;close;lives;mental;work;care;state;scholarship;school;thank;information;violence;stop;nellie;commonwealth;bly;gun;workers;college;resources;safe;tell;election;nonlifesustaining;coronavirus;less;public;year;wage;@statesystem;graduate;legislation;proposing;@pahealthdept;protect;funding;save;life;continue;register;efforts;access;guidance;#raisethewage;address;minimum;legislators;frances;part;primary;across;sign;learn;montgomery;education;taking;affordable;ballot;million;@johnfetterman;take;calling;action;pass;voters;proud;everyone;law;increase;business;county;travel;charter;families;workforce;communities;working;april;prevent;legislature
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;2;2;0;0;0;4;4;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;2;14;4;6;0;6;0;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;0;0;2;2;4;0;0;0;2
mental;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;0;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;2;4;0;4;0;2;6;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;0;0;2;2;0;0;0;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;2;0;0;0;4;0;0;2;2;6;0;0;0;0;0;0;2;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;6;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;2;4;4;2;0;2;4;2;0;4;0;0;0;0;0;2;0;0;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;4;2;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;2;2;0;6;2;6;2;2;4;0;4;2;0;0;2;0;2;2;2;6;0;4;4;4;6;4;0;2;4;0;2;0;0;2;0;2;2;2;0;0;0;2;2;2;4;4;2;0;0;0;2;2;4;4;2;2;0;2;2;2;0;2;2;0;0;0;0;0;2;8
scholarship;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;32;2;32;0;0;24;0;0;10;0;0;0;22;0;0;0;24;20;0;24;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;8;0;16;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;10;0;10;4;0;8;0;2;0;0;0;0;6;8;6;0;8;8;2;8;0;0;6;2;0;2;0;2;4;0;0;2;0;2;0;0;0;2;0;2;0;8;2;4;0;8;0;0;6;0;2;0;0;0;8;2;0;0;0;10;2;0;0;0;0;2;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;2;0;0;8;0;0;0;2;0;0;2;0;0;0;0;0;2;6;0;0;0;6;0;0;0;6;0;0;0;0;6;10;0;2;0;0;0;0;4;0;0;0;0;4;0;2;0;0;2;4;2;0;0;0;0;0;2;0;0;6;0;0;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;8;0;0;0;0;8;0;0;0;0;0;0;0;0;8;2;0;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0
violence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;18;0;2;0;2;4;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;0;0;0;0;0;0;0;0;0;2;0;8;4;6;6;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4
stop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;4;0;2;4;10;0;0;2;0;0;0;0;0;2;0;0;4;0;0;2;4;0;8;0;0;0;0;0;4;2;0;2;2;2;0;6;0;0;0;0;0;0;2;0;0;0;4;0;0;4;2;4;0;0;0;0;0;0;2;0
nellie;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;32;0;0;22;0;0;10;0;0;0;20;0;0;0;22;18;0;22;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;8;0;16;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0
commonwealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;4;2;0;0;0;2;0;4;0;0;0;0;0;2;2;4;2;0;2;0;4;0;2;0;0;0;0;2;2;0;10;2;6;2;2;0;2;0;4;0;0;0;2;0;2;0;0;4;0;0;2;0;2;2;0;2;2;0;0;0
bly;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;10;0;0;0;20;0;0;0;22;18;0;22;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;8;0;16;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;0
gun;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;2;0;0;0;0;0;0;0;0;0;2;0;6;8;8;8;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;6
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;2;0;2;0;0;4;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0
college;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;14;0;0;0;14;12;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;0;6;0;16;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;2;0
resources;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;4;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;6;0;2;0;0;0;2;2;2;6;0;2;0;0;0;0;2;6;2;0;2;4;0;0;0;0;0;0;0;2;6;4;4;0;2;2;2;0;0;0;0;0;6;0;0;6;0;4;4
tell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;2;0;2;0;0;0;0;0;0;0;0;0;0;6;0;4;10;0;0;0;0;0;2;0;2;0;8;0;0;0;4;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;22;0;12;0;0;0;2;0;14;0;0;0;0;0;0;10;4;0;0;0;0;0;0;0;0;0;0;0;6;0;0
nonlifesustaining;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;2;0;8;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;4;0;0;0;0;0;0;0;0
less;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;24;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;4;0;0;2;0;0;2;0;0;4;0;0;0;2;0;2;0;0;2;2;0;0;0;6;0;0;2;0;4;0;4;0;4;0;0;0;0;6;0;4;0;0;0;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;0;0;0;2;0;0;6;2;0;0;0;0;0;0;4;0;2;2;0;0;2;0;0;2;2;2;2;2;0;2;2;0;0;0;2;0;2;2;0;0;0;2
wage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;16;8;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;0
@statesystem;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;22;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;8;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0
graduate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;2;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
legislation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;12;0;0;0;2;0;0;0;0;0;0;0;0;2;0;10;10
proposing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
@pahealthdept;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;6;0;2;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;0;0;0;2;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;6;2;0;0;0;0;0;2;2;0;0;2;0;0;2;0;2;0;0;0;0;2;0;0;4
funding;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;2;0;0;2;2;0;0;0;0;4;0;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;4;4;2;0;0;6;0;0;4;0;0;0;0
save;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;4;2;0;0;0;0;2;2;0;2;0;0;0;2
register;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;4;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;2;0;0;2;2;0;0;0;0;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;2
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0
#raisethewage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;6;0;0;0;0;2;0;0;2;0;0;0
address;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;0;4;0;0;2;0;0;0;0;0;6;2;0;0;0;2
