;new;mexico;covid19;state;health;mexicans;#covid19;cases;public;home;stay;statewide;spread;deaths;additional;positive;currently;announced;#alltogethernm;info;totaling;#nmgov;update;tests;@nmdoh;bringing;continue;#nmleg;care;todays;information;officials;community;across;mexicos;protect;individuals;safe;order;slow;pandemic;businesses;essential;mask;families;support;virus;#stateofthestatenm;legislation;thank;work;together;face;education;please;hospitalized;lives;people;year;may;testing;ensure;statewidemore;services;federal;economic;working;help;related;part;tomorrow;children;social;emergency;workers;critical;states;wear;safety;important;tune;live;fund;school;take;#coronavirus;government;incredible;making;staying;save;mexican;risk;early;communities;committee;best;able;access;childhood
@nmdoh;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;12;2;4;12;20;72;12;6;0;6;2;2;20;2;4;0;2;0;2;2;0;0;4;0;4;4;2;0;14;0;0;16;0;2;30;0;2;0;6;4;10;4;54;8;10;0;4;0;0;4;16;0;0;4;0;0;0;0;4;30;4;0;0;0;0;0;8;0;6;4;6;4;2;0
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;114;2;66;2;0;2;0;106;0;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;88;6;6;0;0;0;0;72;0;0;0;0;0;70;0;0;0;2;0;0;0;4;10;0;0;0;0;0;0;0;2;0;0;0;2;6;0;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;8;6;0;4;18;24;18;6;14;14;26;10;10;10;4;2;12;20;2;8;8;12;12;18;10;6;4;10;6;6;6;8;22;0;8;4;2;10;6;6;12;6;12;18;8;6;10;12;12;10;4;0;2;0;16;16;12;6;10;4;6;8;4;4;2;4;2;8;4;0;2
#nmleg;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;2;24;6;4;2;8;10;0;0;6;2;0;16;24;0;0;52;6;4;0;0;20;10;0;8;0;6;2;0;14;0;4;6;12;4;4;0;2;2;22;0;0;0;8;10;0;10;8;0;0;18;10;4;0;0;4;12;0;6;2;8;18;8;48;4;6;16;18
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;14;12;14;14;0;12;4;8;4;2;4;4;12;6;6;8;4;10;12;4;6;22;6;0;6;2;10;2;6;14;0;14;12;4;4;4;4;8;2;10;2;8;24;14;2;0;6;2;0;2;2;2;4;2;6;6;12;4;6;6;2;14;10;4;6;0;10;12
todays;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;2;0;108;0;2;8;0;0;0;8;0;0;0;0;0;0;2;2;0;0;12;90;6;6;0;2;2;0;72;0;0;0;0;0;8;4;8;0;6;2;0;0;10;10;0;2;0;0;0;0;0;2;0;0;0;2;6;2;2;0;0;0;0;0;0;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;8;2;2;10;0;8;12;0;6;8;10;2;4;0;4;0;2;6;10;6;0;0;10;0;2;8;0;4;6;6;10;2;4;4;4;2;0;4;4;2;2;4;10;6;2;2;4;6;2;6;0;2;0;10;0;2;4;0;4;2;0;2;2;0;8;2;10;0
officials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;30;4;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;8;0;2;2;0;8;0;0;2;0;12;0;2;2;4;2;62;6;0;0;0;8;0;2;10;0;0;0;12;16;0;0;0;12;0;0;0;0;2;0;0;0;2;0;0;0;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;44;2;10;4;22;6;0;14;12;0;10;8;4;2;12;4;14;16;4;4;0;2;4;8;6;2;8;4;6;12;2;6;6;0;24;0;0;4;2;4;14;6;10;4;8;0;2;4;8;20;14;0;8;0;8;0;10;12;2;2;2;10;2;6;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;10;2;0;8;6;8;4;18;8;6;6;8;6;8;10;2;12;2;0;8;12;12;2;12;14;0;14;8;14;14;6;0;8;4;12;2;2;12;4;2;2;6;4;0;2;14;10;2;4;12;14;10;4;2;4;2;6;18;6;0;2;6;6
mexicos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;10;12;6;10;6;4;6;2;4;6;2;8;8;8;6;16;10;2;0;6;4;10;2;4;12;0;2;8;6;2;4;0;8;4;4;8;16;6;8;6;4;6;8;10;20;2;4;8;0;8;8;2;6;8;2;4;2;2;0;0;2;4;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;8;26;8;0;4;20;12;4;10;2;6;6;2;10;26;0;10;2;2;6;4;6;2;8;2;2;6;0;4;0;0;22;0;2;4;2;14;6;6;20;8;2;0;2;0;4;22;6;0;6;4;12;4;6;10;0;12;0;12;2;0;0
individuals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;4;0;8;2;2;4;0;0;0;4;0;0;0;0;98;4;6;0;4;0;0;72;6;0;2;0;0;2;4;0;0;2;2;2;0;2;10;6;2;0;2;2;0;0;0;0;0;0;0;4;2;4;2;0;0;0;0;0;0
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;10;2;8;4;6;6;14;2;2;16;10;6;2;0;6;0;2;6;4;8;4;8;0;2;2;4;14;8;0;4;6;4;4;10;12;0;2;6;0;2;2;2;2;0;2;0;8;2;4;8;4;2;2;0;6;2;4;4;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;14;16;0;0;0;14;0;8;4;2;2;2;2;4;0;4;4;2;18;6;0;0;4;2;6;2;4;0;2;8;2;2;18;0;4;2;2;12;2;0;2;0;0;6;6;4;0;0;0;4;2;6;0;6;0;0;6;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;6;18;16;0;0;12;0;0;4;4;10;22;0;10;6;18;4;2;6;8;2;2;0;4;0;4;6;2;20;0;2;2;4;2;8;0;14;4;4;0;0;0;0;6;0;0;2;4;20;18;10;8;0;2;0;4;2;0;0
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;2;6;6;12;0;0;2;2;6;4;0;6;4;4;6;0;2;8;8;0;2;10;8;6;8;0;6;6;6;0;2;12;8;8;2;8;2;0;0;4;4;2;0;12;0;6;2;2;2;2;2;4;0;2;6;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;2;12;4;4;4;4;0;6;2;0;2;0;2;4;6;8;0;4;0;0;2;12;0;8;0;0;4;0;0;14;4;0;4;6;6;0;0;0;6;0;0;0;0;0;6;2;0;0;0;0;4;4;4;4;0;0
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;10;2;2;10;6;6;8;4;6;0;8;8;0;8;2;2;2;2;8;4;10;2;0;6;4;4;4;14;6;2;4;10;10;2;0;0;2;0;6;2;4;0;4;14;6;2;2;0;0;2;0;0;0;0
mask;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;6;34;0;0;2;6;4;0;10;0;2;0;0;0;0;0;2;0;8;2;0;6;0;2;2;2;32;2;4;0;0;0;0;0;0;0;6;2;4;6;0;0;0;2;0;0;2;0;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;16;12;0;4;0;0;10;0;0;6;2;20;0;0;8;0;4;2;8;4;6;0;4;4;22;2;0;12;0;4;0;6;4;0;0;6;6;4;0;0;0;6;0;4;2;4;12;4;2;2;0;8;12
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;12;8;12;6;6;0;0;2;2;6;4;0;4;0;12;0;6;2;4;0;2;4;4;2;0;2;8;6;0;2;10;0;0;8;0;2;2;0;6;4;2;0;2;2;2;6;14;2;0;10;2
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;2;2;12;12;2;14;2;2;0;0;2;4;0;4;0;6;0;0;10;0;0;8;0;6;4;0;0;4;0;0;4;2;0;0;2;6;4;6;6;2;2;0;4;6;0;0
#stateofthestatenm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;8;0;14;0;0;2;2;32;0;0;4;0;6;2;10;2;2;0;4;4;6;0;0;4;0;2;0;2;0;6;4;6;2;2;0;2;2;2;0;0;4;0;6;8;0;4;0;2;4
legislation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;10;0;8;0;0;14;0;2;0;4;2;6;0;2;0;4;0;0;0;10;14;0;8;8;0;0;6;4;2;0;0;4;8;0;8;2;6;0;6;24;0;4;14;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;6;6;4;0;6;4;0;0;0;4;0;0;4;0;10;4;0;6;4;6;0;10;10;4;0;0;2;4;2;2;0;2;0;2;4;14;2;0;4;2;2;2;4;2;2;0;2;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;6;2;2;4;0;6;4;4;12;0;2;4;2;2;0;0;2;6;4;4;2;8;2;2;0;2;2;0;2;0;2;0;0;6;8;6;0;6;6;2;0;6;0;2;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;10;0;2;4;8;2;2;6;0;0;0;0;8;2;0;2;4;2;2;4;2;2;2;6;2;0;2;0;6;4;6;4;6;6;0;2;2;2;2;0;8;0;8;2;2;2
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;12;2;2;0;0;0;2;0;2;0;10;0;0;12;0;0;6;0;30;2;8;8;8;0;0;10;6;0;8;2;4;6;2;14;0;2;0;6;0;2;0
education;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;12;4;0;4;0;2;6;10;2;0;0;2;4;12;0;2;6;4;2;0;8;0;0;0;4;8;4;0;4;10;4;0;0;6;0;16;0;8;4;2;8;16
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;2;2;2;2;8;2;0;8;18;0;6;2;2;2;10;0;0;0;2;2;2;2;8;6;6;0;4;4;0;4;2;0;2;0;4;4;2;0
hospitalized;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;2;2;0;0;0;0;4;4;0;4;2;2;4;2;2;4;2;2;4;2;0;2;2;2;2;0;0;2;2;6;46;6;6;2;0;4;2;0;4;2
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14;6;2;0;2;0;8;4;2;4;2;0;4;4;0;0;4;10;2;0;0;2;0;0;2;10;4;0;0;6;2;2;2;0;4;0;2;2;4;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;4;8;4;0;0;4;4;6;2;0;4;2;2;0;4;6;2;0;6;8;2;0;2;2;4;2;0;0;2;6;2;2;4;2;0;6
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;0;2;2;0;0;8;0;6;12;4;0;0;8;2;4;0;0;0;0;0;2;0;6;2;4;4;2;6;0;0;0;0;8;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;10;0;8;2;2;6;0;0;2;4;0;0;4;2;2;6;0;0;0;0;0;2;10;0;0;0;0;2;2;0;2;0;0;4;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;2;8;2;0;8;0;16;0;2;6;14;8;2;4;2;0;2;2;18;2;0;2;8;2;2;2;8;0;0;6;4;0;2;6;2
statewidemore;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;4;2;2;4;4;2;8;0;0;2;0;0;0;6;2;0;6;2;0;0;0;0;0;2;8;0;2;2;0;6;4
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;0;8;0;2;2;2;6;16;4;0;2;8;0;0;0;4;0;2;28;0;2;4;0;10;0;2;4;0;0;4;0;0
