;#covid19;state;connecticut;county;briefing;response;news;updates;order;residents;tested;positive;provide;health;live;update;people;connecticuts;@ctdph;#connecticut;efforts;public;actions;latest;happening;emergency;executive;new;medical;signed;hospitals;discuss;continue;tests;yesterday;#connecticuts;working;info;hold;take;states;hospital;#coronavirus;tonight;laboratory;online;home;help;additional;guidance;testing;conference;soon;statewide;businesses;taking;stream;ensure;spread;bringing;morning;case;preparedness;workers;call;check;heres;staff;full;schools;cases;date;employees;patients;everyone;healthcare;certain;federal;press;hospitalized;stay;work;declarations;3;several;resident;virus;support;administration;thank;safe;contact;regarding;another;link;mitigate;summary;office;video;appreciate
tested;0;0;0;0;0;0;0;0;0;0;0;62;4;4;0;48;20;0;18;18;0;2;0;6;0;0;0;16;6;0;4;0;0;28;36;0;2;4;0;0;0;4;8;4;12;2;4;0;24;0;4;0;4;18;0;0;0;0;0;28;0;6;2;0;0;0;2;2;0;0;12;14;0;8;0;0;0;0;0;18;0;0;2;6;0;8;6;0;0;0;0;0;2;4;0;0;0;0;0;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;48;22;0;16;20;0;2;0;6;0;0;0;18;2;0;4;0;0;26;36;0;2;4;2;0;0;6;6;4;8;0;8;0;24;0;2;0;2;18;0;0;0;0;0;28;0;16;2;0;0;0;2;2;0;0;6;12;0;6;0;0;0;0;0;18;2;0;2;6;0;12;4;0;0;0;0;2;2;6;0;0;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;12;36;4;2;34;8;8;18;10;2;10;34;10;0;2;4;0;4;2;4;0;0;12;4;6;26;4;8;2;8;4;2;10;0;2;2;6;2;6;14;0;2;0;4;4;0;0;6;2;4;4;0;2;0;4;0;0;0;0;0;4;0;4;2;2;6;0;0;0;4;2;2;2;0;4;4;4;0;0;4;0;0;0;0;2;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;4;12;6;38;8;6;0;18;6;0;6;10;0;0;4;2;0;2;4;4;2;8;4;4;4;6;2;0;4;2;0;4;4;0;0;2;4;0;0;6;4;0;4;2;12;0;4;4;0;2;4;2;0;2;4;0;4;6;6;2;0;0;4;0;8;4;4;4;2;4;4;2;4;4;2;2;0;0;2;2;0;2
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;30;2;6;12;0;2;12;44;0;0;2;0;0;0;14;0;0;0;6;0;2;18;0;0;0;0;2;2;22;0;0;0;0;0;12;16;0;0;2;24;2;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;10;18;0;4;2;6;2;2;2;16;2;0;0;0;4;30;36;0;2;4;0;2;4;2;6;4;6;2;0;2;24;4;4;0;0;18;0;0;2;0;2;28;2;2;4;0;2;2;2;0;0;0;4;12;2;2;2;0;0;0;0;20;0;0;2;6;0;2;0;0;0;0;0;0;4;0;2;0;2;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;0;6;6;0;2;4;6;6;6;6;0;0;6;18;18;0;4;2;0;6;2;0;0;4;0;0;8;2;18;6;0;0;4;18;4;2;0;2;4;18;0;6;2;2;2;2;0;2;0;0;4;6;0;0;4;4;2;2;0;18;8;2;2;0;0;2;6;0;4;2;4;6;0;0;0;0;2;0;0;0
connecticuts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;14;0;2;4;28;0;0;0;6;0;4;12;0;2;0;0;2;2;16;2;0;2;4;2;2;10;0;4;2;2;2;8;12;0;0;2;4;0;2;0;4;0;2;2;0;2;8;0;2;0;0;0;2;0;2;2;2;2;8;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;10;2
@ctdph;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;2;0;8;2;0;2;0;4;4;8;4;4;12;0;4;2;0;8;0;0;4;18;6;32;0;4;4;2;2;10;0;0;0;0;0;0;2;2;0;4;10;4;2;0;0;0;2;0;0;10;10;0;10;0;2;2;2;0;0;0;2;0;4;2;8;4;0;2;0;0;0;6;2;0;0;0;0;0;2
#connecticut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;14;18;4;0;0;20;0;2;0;4;4;8;10;0;2;4;8;4;2;0;6;6;10;2;2;2;4;4;4;0;0;0;2;12;2;0;2;10;8;6;6;0;2;0;2;2;0;0;4;2;0;2;2;0;0;0;0;0;2;0;2;4;0;8;0;0;0;2;0;2;2;0;2;0;2;0;0;2
efforts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;8;12;6;2;2;0;4;4;6;8;0;0;22;0;0;14;2;4;2;4;8;2;4;0;2;0;0;0;8;8;4;0;0;0;8;2;0;2;0;10;2;4;2;0;4;6;2;0;2;2;2;4;4;0;0;4;0;0;0;0;0;6;0;0;4;4;2;0;0;0;0;2;4;2;2;8;4
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;10;10;0;4;14;0;0;4;0;0;2;0;8;2;8;2;0;2;2;2;0;2;4;0;4;0;0;2;4;6;4;0;0;10;0;4;2;12;0;4;4;4;0;6;10;0;4;0;0;2;0;0;0;0;0;4;0;6;0;8;2;2;2;0;0;0;2;0;0;0;8;6;0;0;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;16;10;2;14;0;4;4;2;0;2;6;4;8;16;0;0;2;4;0;2;2;0;4;2;0;0;4;2;0;20;2;0;10;0;4;2;2;0;0;2;6;0;2;6;0;2;4;0;0;2;10;0;0;0;0;2;12;0;14;2;0;0;4;0;0;0;4;2;2;12;10;4;0;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;2;0;0;28;2;2;2;4;0;10;10;0;2;2;6;10;6;4;0;0;2;2;4;4;2;2;0;2;0;0;0;2;14;0;8;0;4;0;2;0;0;2;0;2;0;2;0;0;0;0;4;0;0;0;2;2;4;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0
happening;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;8;2;0;0;16;0;2;14;0;2;0;0;0;2;10;0;4;0;2;0;12;16;0;0;2;14;2;0;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;10;0;0;4;0;2;2;2;2;2;10;4;2;0;2;0;0;0;4;2;4;2;2;0;0;4;0;0;0;0;0;0;0;4;0;4;0;0;0;2;0;0;0;0;0;2;0;4;4;0;0;0;0;16;4;0;0;0;8;4;0;0;0;2;4;0;2;0;4;2;0
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;28;2;0;6;0;2;0;4;0;0;4;2;0;2;6;0;2;6;2;4;8;0;0;4;4;2;6;0;2;8;0;2;0;2;4;0;0;8;4;8;8;0;4;2;0;0;6;2;0;0;0;2;0;4;0;6;0;0;2;2;0;8;0;0;4;0;12;6;0;0;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;6;6;10;0;4;2;6;2;2;2;2;2;0;2;2;2;6;4;2;2;2;2;0;6;2;0;2;10;2;8;0;2;0;0;2;6;0;0;6;0;0;4;0;0;0;0;2;2;2;2;0;6;2;6;2;0;0;2;0;0;2;4;2;2;0;0;2;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;4;0;0;0;2;6;0;0;4;8;0;0;2;0;0;4;2;4;8;2;0;2;2;2;0;4;2;2;2;4;2;6;6;12;0;2;0;0;2;2;0;2;0;8;2;0;2;0;2;8;0;0;2;2;6;8;2;4;2;4;0;2;2;2;2;0;0;0
signed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;2;0;6;0;0;0;8;0;2;4;2;4;4;0;0;4;0;2;8;0;0;8;0;0;0;6;2;2;2;8;0;8;4;0;4;0;0;0;8;4;0;0;0;2;0;8;0;6;0;0;2;4;0;2;0;2;4;0;16;8;0;0;0
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;6;0;0;0;10;10;4;4;0;0;4;6;0;0;0;4;0;2;0;2;0;10;0;0;0;2;0;2;0;2;2;12;0;0;0;0;0;10;0;4;0;0;4;0;0;10;0;0;0;0;4;4;2;4;2;4;0;2;2;0;2;0;4;4
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;2;0;4;6;4;4;0;4;0;0;2;6;0;0;0;2;2;0;0;0;10;0;0;0;8;0;0;2;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;4
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;0;6;2;2;0;6;2;2;6;4;4;0;4;2;2;0;6;0;0;0;0;2;4;4;2;0;6;0;8;4;2;4;2;2;2;0;2;0;0;4;4;2;0;2;0;0;6;0;2;2;4;0;0;0;2;2;4;2;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;2;0;0;0;0;0;8;2;12;0;0;0;18;0;4;0;0;18;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;4;12;0;2;0;0;2;0;0;18;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yesterday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;20;2;0;0;0;18;0;0;0;0;0;26;0;0;0;0;0;0;2;0;0;0;0;6;0;2;0;0;0;0;0;18;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
#connecticuts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;2;0;2;0;2;0;0;0;0;0;2;2;0;0;0;10;2;2;0;0;2;10;2;0;0;0;4;4;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;4;0;0;2;8;0;0;0;2;0;0;0;0;0;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;6;0;2;4;0;0;0;0;4;2;0;6;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;0;0;4;4;0;0;2;4;0;2;4;2;0;0;2;4;0;0;0;0;0;2;2;2;0;0
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;4;0;0;2;0;0;2;4;0;2;4;2;2;4;0;0;0;0;6;0;2;2;4;10;2;0;0;4;2;2;2;0;0;2;2;0;0;0;0;2;2;4;4;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;12;0;0;0;2;2;2;14;0;0;6;6;0;0;0;6;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;4;0;0;0;2;0;2;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;4;2;0;0;0;0;2;0;0;0;12;0;2;2;4;2;0;2;0;0;0;0;2;0;4;0;4;0;6;0;0;0;0;2;12;2;2;2;4;0;2;2;2;0;0;0;2;6;2;2;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;4;0;6;0;2;0;0;0;0;0;4;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;0;2;0;0;4;6;2;0;2;2;2;0;2;0
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;6;0;0;2;2;0;2;0;0;0;4;0;2;2;2;0;2;0;0;0;4;0;0;0;0;0;8;0;2;0;0;2;2;0;2;0;2;0;2;4;2;0;2;0;0;0;2;0;0;0;0;0;0
#coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;0;0;2;0;4;6;0;0;2;0;0;0;4;2;0;8;0;2;0;0;0;0;2;0;0;4;6;2;4;0;2;0;4;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0
tonight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;4;0;0;2;0;0;4;0;4;2;0;0;0;0;2;0;0;0;2;0;0;0;2;4;4;2;2;2;0;0;0;2;0;0;2;0;2;0;4;2;0;2;0;0;0;0;0;0;0;0;2
laboratory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;10;8;0;4;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;0
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;14;0;0;2;16;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;0;0;0;14;2;0;0;2;2;2;0;0;0;4;10;2;4;0;2;2;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;4;2;0;0;4;0;2;0;0;0;0;0;4;2;2;0;0;0;0;2;2;2;0;4;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;4;0;2;2;6
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;18;0;0;0;0;2;20;0;0;0;0;0;0;2;0;0;0;2;8;0;0;0;2;0;2;0;18;2;0;2;4;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;4;0;0;4;0;0;2;2;4;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;2;2;0;0;0;2;0;0;2;2;4;0;0;0;0;2;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;2;0;12;0;0;0;2;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2
soon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;6;0;0;0;0;2;0;0;0;2;0;0;0;4;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;20;0;0;0;0;0;2;0;2;0;6;0;8;0;0;0;2;0;0;2;18;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;2
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;0
taking;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;4;0;0;2;0;2;4;0;2;4;2;0;2;0;0;4;4;0;0;0;2;2;0;2;6;0;0;0;0;0;2;2;0;4;2;8;4;0;2;2
stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;10;0;0;0;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;4;0;0;0;0;4;2;2;6;0;4;0;0;0;4;0;2;0;0;0;6;2;4;4;2;0;0;2;0;2;2;0;2
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;4;0;4;2;0;0;4;0;6;2;2;0;0;0;0;0;0;2;4;2;2;0;0;2;0;0;0;2;2;12;2;0;0;0
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;18;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;6;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0
case;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;2;0;4;0;0;0;0;0;2;2;0;0;2;0;10;2;0;0;0;0;2;4;6;0;0;0;0;0;0
preparedness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;2;0;0;0;2;0;2;0;6;0;2;0;0;0;4;0;0;0;0;0;2;0;2;0;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;0;2;0;0;2;2;0;6;2;0;0;0;0;4;0;0;0;0;2;10;0;6;2;0;0;2;2;2;2;0;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;4
