;new;city;yorkers;york;covid19;people;help;crisis;health;care;testing;call;lives;thank;work;fight;workers;join;safe;working;week;protect;home;hall;community;take;public;face;nypd;federal;hospitals;together;next;social;country;support;cant;government;test;still;million;save;coming;families;communities;311;citys;stay;front;school;businesses;everyone;distancing;hospital;across;wont;free;needs;kids;could;medical;coronavirus;weeks;cases;updates;state;immediately;yorker;fighting;positive;disease;good;seen;lost;ventilators;family;anyone;food;information;latest;students;days;taking;response;big;lot;streets;seeing;tonight;end;may;moment;supplies;doctor;contact;symptoms;stop;sites;change;coverings
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;8;2;2;24;2;0;8;2;2;4;10;6;2;0;4;0;2;4;2;4;4;2;18;2;6;2;18;0;2;4;6;0;4;0;0;2;4;0;0;0;2;4;0;0;8;0;2;0;4;0;0;4;6;0;4;2;0;2;0;4;6;0;12;0;4;6;0;2;0;68
nypd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;2;20;4;2;4;0;0;2;2;4;4;12;22;0;2;0;0;0;0;4;16;0;6;2;6;4;10;0;0;0;4;0;2;0;8;4;0;4;2;4;8;4;0;8;6;0;4;0;0;6;4;4;16;0;10;0;6;0;2;2;2;0;2;0;0;0;2;4
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;2;0;4;8;4;90;6;16;14;6;10;2;4;0;2;0;2;0;10;2;0;6;6;6;2;0;0;14;2;4;2;4;0;18;4;2;10;4;8;4;8;0;20;2;2;0;2;0;0;4;4;4;6;8;0;8;0;2;6;4;16;0;0;0;2;6;0;0
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;4;4;4;6;6;8;10;14;8;0;2;2;2;4;22;0;6;4;2;16;10;0;2;2;0;4;14;2;4;4;0;4;2;2;6;2;0;8;2;2;18;0;0;0;0;0;0;8;0;0;2;0;0;4;0;2;6;2;20;4;0;0;0;6;0;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;8;6;2;4;4;8;0;4;6;4;12;2;4;0;4;0;2;6;10;0;8;8;0;4;6;2;0;2;4;0;4;6;0;2;6;2;6;2;4;2;0;4;2;4;2;0;0;0;6;2;2;2;4;4;0;6;6;6;2;0;2;0;2;2;8;2
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;8;2;12;2;6;4;8;4;2;0;4;4;2;8;2;4;2;4;2;4;4;0;8;6;0;0;16;4;2;8;8;4;8;4;4;6;0;6;10;2;2;0;0;0;2;8;2;0;2;0;0;2;0;2;4;0;2;0;2;0;4;18;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;8;2;12;4;0;4;2;4;14;0;6;0;10;106;2;2;6;4;0;4;2;0;0;4;4;0;0;2;0;2;4;8;4;8;0;0;0;4;0;2;0;4;8;6;0;0;2;8;6;2;0;2;0;0;0;2;0;4;0;4;20
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;8;4;2;2;0;4;2;0;0;4;0;10;2;2;6;0;0;14;12;0;0;0;4;6;6;6;6;0;6;0;0;4;2;0;4;2;2;4;0;2;0;0;0;2;0;2;0;0;0;0;2;4;2;4;4;2;0;0;0;4;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;4;4;2;0;4;12;8;0;0;8;4;4;2;0;4;4;12;8;10;4;2;10;0;2;2;2;2;0;4;4;2;2;2;6;0;0;2;16;6;4;0;2;0;4;2;0;4;4;6;2;2;0;4;2;2;2;0;2;0;2;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;2;2;6;2;8;0;10;2;4;0;2;6;0;4;10;2;2;8;6;4;2;2;2;2;10;4;6;2;0;4;0;8;6;0;4;4;2;4;0;4;0;4;0;2;6;0;6;0;0;6;6;2;6;6;6;4;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;6;4;8;0;2;0;2;0;0;0;4;0;0;4;4;2;4;0;0;12;0;4;2;0;0;6;2;0;2;2;2;4;6;0;10;2;2;2;2;0;0;0;2;6;4;6;0;4;2;6;2;2;6;0;0;0;6;4;0;0
test;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;4;2;0;2;0;0;0;2;0;4;6;0;12;8;0;2;4;6;8;2;0;2;0;6;2;16;12;8;2;0;4;2;6;4;6;0;0;2;4;0;4;2;0;0;0;4;2;0;0;0;6;4;2;14;0;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;6;8;0;2;0;4;0;2;8;6;0;6;2;10;0;2;0;8;6;4;4;0;2;2;14;2;4;10;2;4;8;2;0;0;0;0;6;0;0;0;4;0;4;4;0;6;4;2;2;0;0;2;6;0;4;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;8;0;0;0;2;6;2;2;0;4;10;2;8;0;6;0;2;0;4;2;0;6;4;2;0;2;0;2;2;4;6;0;2;6;4;0;6;4;0;2;4;2;0;0;0;0;6;0;10;0;0;0;2;6;2;6
save;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;12;8;2;2;2;14;8;2;2;0;6;0;6;8;0;12;0;0;4;4;2;0;4;2;4;2;0;10;0;4;0;0;0;0;2;6;2;2;2;0;4;0;2;0;0;8;0;0;0;6;0;4;0
coming;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;2;0;2;4;4;4;2;6;4;4;2;2;4;8;2;4;4;0;2;2;2;2;2;6;0;4;2;4;0;0;0;0;6;0;2;0;6;4;6;0;4;4;2;10;0;0;0;0;4;4;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;2;4;8;2;0;0;4;4;6;4;12;4;0;0;0;6;0;8;0;0;8;2;2;0;4;18;0;0;0;6;4;0;6;0;0;0;2;2;2;4;4;0;0;6;0;0;2;0;4;0;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;8;0;2;2;10;4;4;4;4;2;2;0;0;0;0;2;2;0;4;0;6;2;2;2;0;2;0;2;4;0;0;0;2;2;8;2;4;2;6;4;0;2;2;2;0;0;0;6;6;4
311;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;6;2;2;0;2;16;16;0;0;4;4;0;4;2;0;20;6;4;2;0;2;4;0;0;0;8;8;14;0;4;4;2;0;0;2;2;2;2;2;0;0;0;28;12;24;4;0;0;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;0;2;0;0;0;0;6;2;4;2;4;0;2;16;0;2;0;2;0;0;0;0;0;0;0;0;2;2;12;0;2;4;40;4;0;4;0;0;0;2;2;0;0;2;2;0;0;6;2
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;0;0;2;2;4;4;2;0;0;6;0;10;0;2;2;2;2;8;6;2;2;0;4;4;6;4;2;0;6;0;0;0;4;10;0;2;0;2;0;2;8;4;6;4;0;2;2
front;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;6;8;2;0;4;2;2;14;2;0;4;0;2;0;6;10;0;0;0;0;2;6;0;4;0;0;0;0;0;4;0;2;0;0;6;6;4;0;8;14;2;0;0;0;2;0;2
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;6;4;6;28;0;0;0;4;0;0;0;2;0;0;6;0;6;4;0;0;2;0;8;2;0;36;6;4;0;2;4;2;0;0;2;2;0;2;0;2;4;2;2;0;4
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;6;0;0;6;0;0;0;2;0;2;0;0;4;0;0;0;0;4;0;2;2;0;2;0;0;2;4;0;6;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;0;4;0;4;0;0;2;2;0;2;0;0;4;2;4;4;2;4;0;2;0;2;2;0;4;0;2;2;0;2;4;4;4;4;0;4;0;4;0;2;4;0;4;2
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;2;4;0;0;2;0;2;2;6;4;8;0;0;0;4;0;2;0;2;6;4;0;0;2;10;4;0;0;2;0;0;0;2;0;2;0;2;14
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;2;6;8;4;2;0;4;14;0;2;8;4;2;0;0;6;2;4;0;4;0;0;4;0;0;2;0;0;0;2;2;2;2;2;2;4;4;0;4;0;2
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;4;2;4;2;4;0;0;0;0;2;8;2;2;0;2;0;2;2;4;2;0;0;0;0;2;0;4;6;2;2;6;0;0;2;6;0;0;0;0;14;4;4
wont;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;4;4;2;2;0;0;4;4;0;2;0;2;2;0;0;4;10;4;0;2;2;0;0;4;0;6;6;8;2;6;6;0;2;0;0;8;0;0;0
free;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;2;2;2;4;2;0;0;0;2;10;6;4;0;2;0;0;0;6;4;0;0;0;0;4;0;0;0;2;2;2;8;0;18
needs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;0;6;4;10;0;2;6;2;2;2;0;0;16;4;2;0;6;2;0;0;0;0;4;0;2;8;2;0;2;2;2;2;2;0;2;0
kids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;0;2;2;0;2;4;0;6;10;0;0;2;2;0;0;18;6;6;0;4;8;4;4;0;0;0;2;2;2;4;6;2;0;2;2
could;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;2;0;6;2;0;2;0;6;0;6;2;2;2;2;0;2;0;0;0;4;2;6;8;2;0;2;2;4;2;2;2;2;0;4;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;2;6;0;0;2;2;2;4;0;2;0;12;4;2;0;0;0;0;2;2;0;0;2;0;2;2;0;12;4;4;2;0;4;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;14;0;4;4;6;2;8;2;8;0;4;0;6;2;0;4;2;0;4;6;2;2;4;0;4;0;0;0;4;2;4;10;6;0;0;0;0
weeks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;6;6;0;0;2;0;12;4;0;8;2;2;0;0;0;2;6;2;0;2;4;4;0;0;0;2;0;4;0;0;0;0;6;0;4
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;6;0;18;4;0;8;12;0;2;0;0;4;4;0;2;6;2;0;4;0;10;0;0;0;0;2;8;6;4;4;0;0;0
updates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;0;0;12;20;0;0;2;18;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;0;2;8;0;2;0;0;0;0;6;10;0;0;4;0;2;2;2;0;4;10;0;0;0;2;0;2;2
