;trump;president;great;united;people;states;new;house;american;government;federal;national;state;news;white;administration;world;obama;man;country;republican;working;democrats;department;big;media;thank;york;best;fbi;party;campaign;election;donald;history;washington;senate;help;bill;russia;america;former;job;court;police;military;2016;justice;fake;article;story;love;trying;americans;may;security;year;good;committee;presidential;china;support;hard;night;city;week;investigation;work;team;times;released;left;congress;nothing;take;thing;russian;political;supreme;hillary;money;another;called;killed;law;attack;win;following;important;clinton;senator;radical;proud;women;think;number;reserve;deal;stop;health
national;0;0;0;0;0;0;0;0;0;0;0;0;28;16;28;16;20;34;6;26;66;40;26;14;16;4;14;14;14;26;14;26;24;32;16;30;20;22;6;14;14;52;12;6;12;8;18;8;6;8;14;4;6;22;14;138;18;4;108;14;8;18;14;14;6;14;12;10;16;8;26;6;8;12;0;6;24;16;2;18;2;12;14;8;18;6;6;16;6;14;6;6;28;12;0;4;2;8;4;30
state;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;18;10;30;12;14;18;26;12;84;20;8;16;32;16;16;8;12;14;16;14;22;10;20;16;12;2;20;12;16;18;10;8;12;6;2;10;22;16;14;14;18;16;12;12;4;2;16;12;12;8;4;12;14;4;14;14;10;8;10;12;2;12;4;14;24;10;14;14;12;24;18;20;10;6;28;14;10;12;18;2;14;4;10;2;6
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;26;18;24;16;16;22;28;22;12;26;108;28;18;24;22;14;20;14;20;16;18;2;6;12;14;14;14;8;2;6;2;10;8;204;14;32;12;30;18;6;12;4;26;8;16;14;10;22;8;2;10;8;12;14;12;10;12;2;10;12;16;6;14;2;4;10;12;6;6;4;16;6;12;4;4;10;12;4;8;10;8;2;8;6;6
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10;18;16;16;6;24;22;18;16;16;26;6;8;28;2;20;20;16;2;18;10;18;6;20;22;34;16;8;10;10;22;20;14;2;12;4;14;10;8;10;8;18;12;10;10;12;6;22;4;10;16;10;4;4;16;6;14;4;6;10;12;14;4;8;6;10;12;10;16;8;4;6;4;8;2;6;4;10;2;2;2;2;0;6
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;220;8;12;16;26;16;26;16;24;4;24;2;16;14;16;10;12;10;14;12;14;14;12;8;24;6;14;6;8;10;22;12;10;12;0;4;20;10;14;6;6;4;4;4;4;12;0;2;12;22;8;4;28;10;6;22;16;4;16;14;4;8;6;6;18;12;2;6;18;0;8;12;6;6;10;8;2;10;10;4;6;8;6
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;18;48;4;10;8;4;8;8;10;4;28;4;6;2;10;6;24;4;6;6;0;8;16;2;18;2;0;6;10;4;6;6;4;14;14;2;2;20;14;6;0;6;24;2;6;4;8;8;2;10;2;0;12;6;6;2;12;8;10;6;0;6;12;0;8;2;8;6;4;0;4;4;0;12;8;10;8;12;8;8;10;24
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;12;10;22;22;20;14;2;18;4;16;6;22;22;8;8;10;10;8;12;10;8;30;14;6;6;10;16;22;12;12;12;2;18;16;12;16;6;8;10;10;10;4;0;4;2;12;18;8;4;20;8;2;22;24;4;10;16;6;4;8;8;16;14;4;8;16;2;4;6;6;2;6;0;6;16;2;2;10;22;4
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;6;8;4;18;4;14;10;12;2;24;4;2;4;6;12;6;2;4;0;2;6;6;4;16;66;2;2;14;8;2;10;12;6;4;2;0;16;8;2;0;4;4;0;18;12;6;6;4;4;10;6;12;2;12;6;6;4;4;12;4;0;4;14;60;6;14;2;4;4;4;6;6;4;4;6;0;2;0;4;4
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;20;12;4;12;16;26;6;16;6;8;4;10;16;30;6;6;12;4;8;18;6;10;4;6;26;2;2;12;4;6;16;6;20;2;12;18;6;4;6;14;8;22;10;4;0;2;12;12;2;4;14;10;12;24;8;6;10;2;2;10;10;4;6;8;10;2;2;20;2;2;8;12;24;14;14;4;16;4;6
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;28;6;24;18;8;16;14;8;130;34;20;54;6;14;20;8;20;4;16;12;16;6;2;4;14;2;14;6;10;4;10;4;0;2;6;6;34;48;8;6;10;16;6;4;8;8;2;18;6;8;10;4;6;14;4;12;4;8;4;6;14;0;8;8;14;10;2;4;26;4;10;2;6;0;0;0;10;12
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;12;14;18;22;2;8;8;14;2;10;4;4;4;14;20;12;4;8;6;10;2;4;6;2;8;14;4;6;8;12;18;2;24;2;10;6;0;16;14;114;8;10;18;4;24;18;2;4;10;16;10;16;8;4;8;2;4;4;6;6;2;10;4;6;4;12;2;10;8;10;6;4;6;2;4;2;10
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;24;20;4;6;10;6;20;6;38;12;8;6;26;8;32;10;8;6;10;4;0;8;20;10;22;4;16;4;52;14;2;4;12;18;6;16;6;12;8;8;2;4;2;8;2;6;4;68;12;40;26;16;8;20;2;8;4;18;8;0;6;4;22;6;4;6;6;66;0;6;8;2;0;14;10;4
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;4;10;2;52;4;18;22;10;2;6;8;24;8;16;6;14;8;6;46;6;26;154;8;2;2;2;2;10;12;30;16;4;8;10;4;12;4;4;14;4;42;8;0;8;26;8;6;4;2;4;22;0;4;12;8;2;10;4;14;4;2;12;4;14;0;0;0;6;4;8;2;6;2;16
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;24;8;10;10;16;10;12;8;16;4;6;14;14;6;6;6;10;2;2;16;4;10;18;4;12;8;12;4;0;4;16;14;4;6;10;10;8;12;6;8;0;4;8;0;4;12;8;6;6;6;4;12;2;14;8;4;12;0;6;2;30;6;6;8;4;8;6;2;4;2;2;40;10;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;16;20;16;6;28;14;10;4;6;4;14;2;4;10;0;8;2;2;6;106;2;24;2;32;6;4;4;6;10;0;20;0;8;22;4;2;12;10;8;10;6;4;12;2;4;6;16;12;10;2;8;4;14;4;10;0;4;4;2;10;6;6;8;0;4;8;6;2;4;10;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;8;4;0;6;2;14;10;12;12;12;0;16;4;20;12;6;10;2;6;8;10;10;22;2;10;2;6;10;10;4;8;4;24;24;6;4;4;0;22;4;4;8;8;14;8;12;0;0;6;14;2;4;0;0;2;10;2;4;4;6;2;14;8;12;6;2;0;2;8;4;6
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;14;8;10;4;18;10;6;10;4;18;12;6;18;2;4;10;6;10;4;8;22;32;8;6;4;6;8;10;10;2;8;2;0;2;6;36;8;16;8;14;150;8;14;6;4;8;4;2;4;0;12;4;14;10;8;6;8;8;8;2;14;8;8;4;8;8;6;2;6;2;6
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4;16;12;2;2;10;6;2;0;18;0;2;10;0;2;10;4;6;10;10;8;2;2;10;20;2;4;6;10;6;12;2;8;0;14;10;2;0;8;2;6;6;36;0;8;0;4;6;14;0;0;2;4;8;6;4;2;4;8;8;2;10;4;2;6;4;8
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;44;24;12;4;16;20;6;10;46;2;38;8;2;6;4;32;62;8;2;6;8;6;4;12;22;8;2;28;26;2;2;4;10;6;6;68;8;6;10;18;0;8;4;2;10;42;10;0;22;0;4;2;4;6;2;4;4;2;20;12;0;0;6;6;2;0;6;4;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;16;10;8;4;16;6;4;0;10;4;12;6;6;4;10;2;14;0;2;2;10;4;0;4;4;6;4;14;12;8;8;4;2;4;0;6;4;14;0;14;2;2;4;4;0;4;6;4;6;10;4;0;8;6;8;4;4;4;6;8;14;2;4;0;0;2;4;4
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;32;10;16;12;4;4;60;2;24;0;6;0;4;58;24;6;6;14;2;12;2;8;6;0;8;28;74;4;4;4;6;6;0;12;4;12;12;8;6;4;14;2;14;18;14;4;32;14;0;10;4;4;4;6;6;4;36;10;2;0;2;2;2;4;0;6;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;10;16;24;10;4;42;10;4;12;4;2;0;110;20;6;4;6;0;10;14;8;10;8;14;36;60;4;0;6;6;2;14;32;2;4;4;6;4;4;6;8;8;46;14;4;16;0;6;10;4;4;4;30;12;10;10;6;2;2;2;8;0;2;0;4;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;30;4;10;4;16;10;8;4;4;4;0;20;8;6;14;10;6;8;12;10;2;2;8;22;46;6;8;0;10;4;12;20;0;2;14;2;4;0;2;2;12;16;14;0;26;6;6;14;2;8;6;10;8;0;28;0;0;2;8;0;4;4;0;6;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;8;2;6;4;14;2;8;4;4;4;6;2;10;2;4;4;4;2;6;6;18;0;2;6;10;4;4;14;2;4;0;8;0;4;0;6;10;2;0;0;0;20;2;0;4;4;6;10;12;8;2;2;10;0;2;4;8;2;2;2;10;6;2;8
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;6;20;4;12;4;8;4;6;20;6;6;4;12;6;8;14;2;10;10;4;10;12;0;12;6;6;0;4;18;8;8;4;8;2;0;6;2;4;14;14;2;4;2;8;6;2;6;6;18;4;0;2;2;2;6;2;0;6;0;2;4;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;60;24;2;22;2;6;0;2;18;4;0;2;2;2;8;10;18;14;8;4;66;10;0;6;6;4;4;10;14;0;2;10;2;8;12;14;2;4;28;4;4;2;0;10;18;0;12;0;10;4;6;2;16;8;0;4;2;2;0;10;2;8
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;4;2;2;2;22;8;16;2;2;6;8;0;6;8;4;8;8;8;8;10;0;10;8;2;8;6;6;6;0;4;0;8;12;14;0;8;4;4;2;4;4;4;6;2;2;0;22;4;10;0;4;8;4;2;8;4;4;10;2;4
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;6;4;0;10;6;6;4;0;4;0;28;10;8;6;6;4;8;2;0;6;8;4;10;10;4;4;4;6;6;6;28;8;4;6;4;10;0;8;2;12;6;2;16;2;10;4;4;14;14;8;0;12;2;2;0;6;0;20
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;6;0;4;58;14;4;2;12;0;6;0;8;6;4;2;34;42;10;4;4;0;0;6;34;2;10;10;10;2;6;8;4;12;36;4;0;8;4;6;2;0;4;0;12;0;2;6;0;2;0;0;0;8;2;2;0;2
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;12;4;4;4;4;4;4;10;10;2;4;8;12;8;4;4;16;2;10;4;4;0;4;2;2;4;6;10;6;6;12;4;2;6;2;0;2;4;4;6;2;2;0;0;4;0;8;10;12;4;8;4;2;8;2;4
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;10;8;18;12;0;0;6;2;4;4;14;42;2;4;34;12;4;2;4;8;8;2;22;8;8;10;16;0;14;0;4;4;14;0;4;14;4;6;2;4;0;4;2;4;0;12;4;2;4;6;0;0;0;0;0;4
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;6;8;10;4;2;6;6;16;0;4;2;22;2;0;6;4;0;6;0;2;0;10;6;0;4;2;2;6;6;10;0;8;4;6;2;2;2;0;6;2;12;2;8;6;2;4;8;2;10;2;8;2;2;4
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;26;0;2;0;2;0;6;8;6;2;6;2;4;0;4;2;4;6;6;2;4;0;4;8;6;6;2;6;0;2;0;178;0;4;6;2;2;22;4;6;2;8;0;2;6;2;6;0;2;0;0;6;2
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;12;6;2;12;0;0;6;6;2;10;4;0;2;0;2;2;10;20;2;6;0;0;6;8;10;2;2;2;2;0;0;4;2;0;8;4;42;8;6;2;4;0;0;2;2;2;6;0;8;0;2;0;2
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;6;4;6;2;2;0;2;10;0;12;4;4;0;0;4;0;4;0;6;0;4;4;4;12;0;2;2;4;4;4;4;4;12;6;2;2;4;8;4;10;10;12;26;4;4;0;6;6;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;6;8;0;4;2;12;4;16;6;38;88;2;2;0;4;8;6;24;0;6;2;4;8;4;0;6;4;28;10;0;14;2;6;4;2;6;2;22;2;2;4;4;4;2;4;2;2;8;2;2;4
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;0;4;2;2;2;6;8;8;4;10;6;4;6;2;4;4;36;8;4;2;8;2;6;2;0;8;22;2;22;8;6;2;8;2;18;6;4;14;2;10;0;0;0;4;2;6;2;6;4;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;26;12;32;6;0;4;0;14;6;6;6;4;18;6;2;4;2;6;10;8;2;12;2;8;4;14;6;8;0;2;4;14;6;4;2;10;0;2;4;4;4;6;0;2;8;8;2;4;6;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;14;8;2;4;0;2;2;2;0;6;2;6;4;4;2;20;2;2;0;2;0;0;2;2;2;12;0;2;8;0;6;2;0;20;2;10;0;2;4;4;4;4;2;2;2;2
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;4;6;8;6;10;4;10;2;4;2;8;4;10;2;2;4;32;6;6;4;12;4;4;10;4;0;10;6;16;0;2;2;4;2;8;6;8;4;4;0;4;10;0;2;6;2;4
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;2;10;8;0;0;8;14;4;6;4;2;0;10;4;4;4;4;0;4;4;10;0;2;4;2;2;2;8;0;0;6;6;0;4;2;4;4;6;2;6;2;2;2;4;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;2;4;4;4;4;6;0;20;4;4;2;4;6;2;2;0;16;10;20;18;2;10;6;2;6;4;6;4;0;6;4;0;0;0;2;6;10;4;2;6;4;0;8;6;2
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;18;2;8;0;2;2;10;12;4;4;8;2;16;2;0;4;4;12;8;6;2;4;8;8;4;2;4;8;2;6;10;6;4;12;4;4;8;0;4;4;18;4;0;2;10
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;2;14;6;0;2;0;6;2;8;8;8;2;2;6;0;10;2;0;0;8;6;8;4;2;16;0;6;4;10;0;2;6;4;4;0;0;8;0;2;0;2;2;2
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;2;4;4;12;2;2;6;8;2;8;8;8;0;8;8;6;0;12;8;2;0;4;4;0;2;4;2;2;2;2;2;2;6;6;4;2;6;2;2;6;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;6;4;0;2;4;0;8;2;2;4;4;6;6;6;4;2;4;6;2;2;2;6;8;6;4;2;8;8;0;0;2;4;2;2;2;10;2;6;2;6
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;4;2;14;0;4;2;6;8;6;4;6;0;12;6;14;2;2;6;6;0;4;2;0;8;2;10;4;2;2;8;4;4;2;6;2;8;10;6;2
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;4;4;0;0;8;14;0;10;8;14;0;2;6;0;2;48;8;2;16;4;10;0;2;0;2;6;2;0;12;4;0;0;2;2;2;0;2;4;4
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;10;4;10;12;0;8;6;8;8;2;4;6;10;28;12;2;14;0;6;6;0;0;0;12;2;2;10;6;8;0;2;0;0;2;2;6;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;4;0;8;2;4;2;2;0;4;2;8;2;4;0;4;10;2;10;2;2;6;0;4;8;4;2;0;0;2;4;2;8;6;4;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;2;8;0;6;8;6;4;6;4;2;2;4;2;2;4;4;0;2;8;0;2;8;2;6;4;4;6;0;0;0;2;6;8
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;50;6;0;0;4;4;8;6;6;2;2;0;0;0;2;4;2;2;2;2;4;6;0;12;4;10;2;2;2;2;2;4;0
night;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;8;2;8;2;4;6;4;4;0;6;4;12;4;6;4;2;4;0;6;2;4;12;0;0;4;2;2;0;0;2;4;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;4;4;4;8;2;4;6;4;0;6;2;0;2;0;2;12;0;4;2;6;2;0;0;6;4;2;0;2;0;6;4;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;2;8;0;6;8;4;6;8;2;6;2;0;12;4;4;4;0;2;4;6;2;8;2;2;4;6;6;2;2;0;4
