;new;#coronavirus;york;cases;health;yorkers;nys;state;spread;ny;help;testing;update;home;watch;hospital;public;#covid19;people;save;states;medical;thank;closed;stay;federal;confirmed;capacity;work;healthcare;care;tests;hospitals;positive;virus;live;center;workers;professionals;take;reduce;available;briefing;lives;updates;government;life;stop;temporary;order;protect;captioning;staff;emergency;bringing;supplies;rochelle;provide;best;continue;working;cant;social;nonessential;school;test;private;schools;labs;information;doctors;county;sick;facts;nyc;fear;ventilators;response;fight;facilities;rate;call;businesses;please;masks;calling;fully;coronavirus;taking;nurses;number;family;pandemic;javits;together;part;beds;still;increase;holding
help;0;0;0;0;0;0;0;0;0;0;0;4;0;16;0;4;8;8;6;6;2;4;2;2;4;2;0;2;4;8;4;4;2;2;10;0;0;6;0;8;6;0;0;4;0;0;2;2;4;2;6;0;4;2;0;0;0;0;2;0;0;2;6;4;0;2;2;2;0;0;2;0;8;0;2;2;2;0;0;0;0;2;2;2;0;0;0;0;0;4;2;2;2;0;4;4;2;4;0;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;8;2;0;8;0;0;2;0;2;2;14;2;0;2;8;2;2;2;2;8;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;4;0;0;0;4;2;0;0;0;6;10;2;12;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;0;0;2;10;0
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;2;6;0;0;2;0;0;2;0;2;22;0;0;0;2;4;0;10;0;8;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;20;2;6;0;0;6;0;2;0;0;2;10;0;0;0;0;0;6;0;2;4;2;2;4;0;2;0;0;0;0;2;2;0;2;0;0;8;2;2;0;0;0;2;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;22;0;0;0;0;28;0;0;0;8;4;0;0;2;2;4;0;0;4;0;10;2;0;0;4;0;0;0;12;0;4;2;0;0;0;2;0;0;0;0;2;0;4;4;10;0;0;0;0;0;0;2;0;10;0;2;2;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;0;0;0;2;0;4;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;10;0;0;0;0;0;20;0;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;0;0;0;0;16
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;0;2;2;0;2;8;2;14;6;0;0;0;8;0;2;0;4;0;0;0;0;0;2;0;0;6;0;0;8;0;0;0;2;0;2;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;2;0;2;2;2;0;0;4;2;6;0;0;0;0;0;2;2;2;0;2;2;2;4;2;2;8;0;4;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;2;2;2;2;6;0;2;0;8;2;4;2;6;0;4;0;0;2;0;2;4;0;0;6;4;0;2;2;4;4;4;0;2;2;0;0;0;2;2;2;2;4;2;0;0;2;8;6;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;2;4;0;2;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;6;0;2;2;2;4;4;2;2;4;2;6;0;2;2;6;2;0;2;6;2;0;2;2;2;0;0;0;0;0;0;4;4;4;0;6;10;4;6;4;2;0;0;2;4;2;8;2;4;2;0;0;4;2;4;0;0;0;0;2;0;2;0;0;0;0;2;0;4;2;2;4;0;0;2;2;2;2;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;0;4;2;0;2;6;4;0;0;2;4;6;0;0;2;4;2;2;0;0;4;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;2;2;6;0;6;0;2;2;4;0;2;0;0;0;0;0;0;4;0;0;2;0;0;0;0;2;2;0;0
save;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;16;0;0;2;2;0;2;0;2;0;0;0;0;0;2;0;2;0;0;16;0;0;12;8;0;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;8;0;0;0;4;0;4;6;0;2;2;4;0;2;0;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;6;2;0;2;0;6;4;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;10;2;2;2;0;0;0;2;2;2;2;0;0;0;0;2;0;2;0;2;2;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;8;2;0;4;4;8;0;4;0;0;0;2;6;10;0;0;2;0;2;0;6;2;0;6;2;0;0;10;4;0;6;0;6;2;0;2;4;0;0;6;0;0;2;0;0;4;2;0;0;0;0;2;0;0;6;0;4;0;2;6;6;0;0;2;2;0;2;2;2;0;4;2;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;2;0;0;0;4;2;6;0;0;0;0;4;0;0;4;0;2;0;2;0;4;2;0;2;0;2;8;0;2;2;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;0;2;2;0;0;0;6;2;2;2;0;0;4;0;2;0;2;0;0;0;0;0;0
closed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;4;24;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;2;0;2;0;0;0;0;6;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;4;0;0;4;0;0;0;0;2;2;6;0;0;6;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;4;0;0;2;2;2;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;0;2;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;4;0;4;0;0;0;2;0;0;2;0;0;0;0;0;14;2;2;6;2;0;0;2;2;0;4;0;2;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;4;2;0;0;0;2;2;0;6;2;2;0;0;2;2;0;0;6;0;0;0
confirmed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;10;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;18;0;10;0;0;8;0;0;0;0;0;8;0;0;0;0;0;6;0;0;4;2;0;0;0;0;0;2;0;0;0;0;4;4;0;0;8;6;0;0;0;0;0;2;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;6;0;2;0;2;0;0;0;4;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;8;0;12;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;4;0;2;0;2;0;2;2;2;2;12;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;0;4;0;4;2;4;2;2;0;0;2;0;2;0;2;4;4;2;0;4;2;0;0;0;0;4;4;4;2;2;8;0;0;6;4;2;2;2;0;2;0;2;0;0;0;0;0;0;0;4;0;0;2;2;0;2;0;0;0;2;4;0;2;0;0;0;0
healthcare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;12;14;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;6;0;2;0;4;0;2;2;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;4;2;0;0;0;0;2;0;0;4;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;10;4;0;0;0;4;0;0;0;0;2;0;4;0;10;2;0;0;0;2;2;0;0;6;0;0;4;0;0;0;0;0;2;0;4;0;0;2;0;0;0;2;0;2;0;2;2;4;2;0;4;6;0;0;0;0;0;2;2;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;4;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;2;4;4;2;4;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;2;0
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;10;0;2;0;0;2;0;0;0;2;2;0;2;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;0;0;0;0;0;2;2;0;2;0;0;0;2;2;2;0;2;0
positive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;4;0;0;0;0;2;6;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;2;0;2;0;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;2;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;16;0;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;16
center;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;6;0;0;0;2;2;0;2;4;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;12;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;2;0;2;2;0;2;0;4;2;2;2;2;0;0;0;0;0;2;0;0;4;0;6;0;2;0;0;0;2;2;0;2;0;2;4;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0
professionals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;8;0;0;0;0;0;4;0;2;2;0;0;6;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;4;0;6;0;0;2;2;0;0;0;0;0;2;0;4;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;8;2;0;6;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
reduce;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;2;2;0;0;0;0;0;2;2;0;4;0;0;2;2;2;2;2;4;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
briefing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;2;0;0;16
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;0;2;0;0;0;2;0;0;0;0;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0
updates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;16
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;4;0;4;0;6;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;4;2;0;2;0;0;0;0;2;2;0;0;2;0;0;0
life;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
stop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0
temporary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;2;0;0;0;0;0;0;6;2;0;2;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;4;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0
captioning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;2;0;4;2;0;0;2;2;0;4;2;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;4;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;0;0;0;10;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;2;0;0;0;0;0;0;0;0
supplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;4;6;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0
rochelle;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;4;0;0;0;2;0;0;0;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;0;4;0;2;2;0;0;0;0;2;2;0;0;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;6;0;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;2;2;0;2;0;0;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0
nonessential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0
