;state;indiana;#covid19;hoosiers;live;health;work;provide;care;order;help;services;executive;public;@statehealthin;may;website;continue;indianas;spread;emergency;conference;watch;information;states;found;updates;local;call;critical;coronavirus;fight;great;steps;businesses;hoosier;hold;center;press;facebook;guidance;medical;food;#insots;#nextlevel;safety;together;click;government;people;additional;protect;new;operations;@fiatchrysler_na;schools;announced;federal;home;school;230;unemployment;workers;testing;actions;working;closed;dr;efforts;child;full;april;#indiana;slow;partners;days;facilities;use;stay;eo;high;@indianadoc;economic;signed;taking;orders;employees;available;covid19;needed;healthcare;@cdcgov;across;take;virtual;proud;hospital;students;address;economy
help;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;4;6;4;4;0;2;0;4;0;0;4;4;4;10;0;0;6;6;6;0;4;0;0;4;0;8;0;0;0;0;2;0;4;4;0;0;0;0;0;8;4;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;2;4;0;0;4;4;0;2;0;2;2;6;0;2;0;0;2;2;0;2;0;2;2;0;2;2;0
services;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;6;0;12;2;0;8;0;0;0;0;0;0;2;2;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;2;0;6;0;2;0;0;6;0;2;0;4;4;2;0;2;2;0;2;2;6;2;2;4;0;4;0;0;0;0;0;4;6;2;2;0;0;2;0;2;2;6;0;2;2;0;0;2;0;0;0;0;0;0
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;2;4;4;0;0;0;4;4;0;0;2;6;0;2;0;2;6;0;2;4;0;0;0;2;4;0;0;0;0;8;6;0;2;2;4;8;0;2;0;0;2;0;0;2;0;0;4;0;2;0;0;0;2;2;0;4;0;0;0;4;4;0;0;0;2;16;0;16;0;2;0;4;0;0;0;0;0;0;0;0;2;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;0;10;4;2;18;2;0;2;2;4;0;2;8;0;6;0;0;8;0;0;0;8;0;0;4;2;0;0;0;6;0;0;2;0;4;2;2;0;0;6;4;2;0;2;0;0;0;0;2;4;12;2;4;2;0;4;0;0;2;6;0;0;2;0;0;0;0;0;4;0;2;2;2;0;4;0;0;0;0;0;0;0;4;0
@statehealthin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;20;4;4;10;0;0;0;22;2;16;4;0;10;0;4;0;2;4;0;2;0;8;0;0;2;6;0;0;0;2;2;0;0;0;0;10;4;0;0;0;4;2;2;0;0;0;0;6;2;2;0;10;4;0;0;0;0;4;0;0;0;2;2;0;4;0;0;0;2;0;0;0;4;2;4;14;0;0;0;2;0;0;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0;0;6;4;2;24;0;26;0;0;4;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0;0;2;0;4;2;0;2;2;0;0;0;2;2;2;2;0;0;0;0;2;2;0;6;0;0;0;4;6;0;0;0;4;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;14;0;0;0;0;0;0;2;0
website;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;24;0;20;2;0;4;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;0;0;0;6;0;4;6;2;0;8;0;0;0;2;2;0;0;0;0;2;0;0;0;0;8;2;0;0;2;0;0;2;6;0;0;0;4;0;2;0;2;2;2;4;2;4;4;4;2;0;2;2;0;4;2;0;0;4;2;2;0;2;0;0;0;4;6;4;0;0;0;0;6;0;2;0;0;0;4
indianas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;2;2;4;2;4;0;2;0;2;6;0;0;0;0;0;0;2;0;0;2;0;4;2;4;2;4;6;0;0;2;0;0;0;0;0;2;2;0;0;4;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;2;0;0;2;2;0;0;0;4;2;6
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;6;0;0;6;0;2;0;0;0;0;0;0;0;0;0;2;4;2;0;0;4;6;2;0;0;0;8;2;0;0;0;0;0;2;6;0;0;0;4;0;0;0;0;14;0;0;0;0;0;0;0;2;0;2;6;2;0;0;8;2;0;0;2;0;0;0;0;0;0;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;2;0;4;0;2;2;2;0;0;4;0;0;0;2;4;0;0;4;0;0;0;0;4;0;2;4;0;4;0;2;0;2;0;0;2;2;2;2;2;2;0;2;0;2;0;0;2;2;2;6;0;0;2;0;0;4;4;0;0;0;4;2;2;0;0;0;0;0;0;0;2;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;4;2;4;24;2;2;0;0;24;4;2;0;0;22;0;26;22;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;20;0;2;0;0;20;0;0;0;0;20;2;22;26;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;4;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;2;0;6;0;2;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;6;0;2;2;0;0;0;4;2;2;2;2;2;2;0;0;0;0;4;2;2;0;0;2;0;0;0;0;2;2;0;2;0;2;2;0;0;0;2;0;0;2;4;2;0;0;0;0;2;2;2;0;0;0;2;4;2;0;2;0;0;0;2;4;0;2
found;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;14;0;0;0;0;0;0;2;0
updates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;24;0;0;0;0;20;2;24;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;2;6;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;4;0;0;2;0;0;0;2;8;2;0;0;2;0;0;4;2;0;2;0;2;0;0;2;0;8;0;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;6;0;2;0;0;2;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;2;0;12;0;0;2;2;0;0;0;4;0;0;2;0;0;4;2;2;0;2;0;4;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0;0;4;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;6;0;0;2;0;0;0;2;2;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;2;0;2;0;0;0;4;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;4;2;0;4;0;0;0;0;2;0;0;4;4;0;2;0;4;0;0;2;0;0;0;6;0;0;2
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;6;0;0;0;0;0;0;0;4;0;4;0;0;0;0;2;0;6;0;0;0;4;0;0;0;2;0;6;0;0;2;2;2;0;0;2;0;0;0;2;0;4;2
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;20;0;24;22;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;0;0;0;8;0;0;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;2;2;0;2;2;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0
steps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;6;2;0;0;4;10;6;0;6;0;0;2;0;0;2;2;2;0;2;0;0;0;4;4;2;4;0;2;0;0;0;0;2;6;0;0;0;2;2;0;0;0;4;0;0;2;2;4;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;2;4;0;2;0;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;2;0;2;0;0;0;2;8;2;0;2;0;4;0;2;0;0;2;0;0;0;0;0;0;4
hoosier;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;4;2;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;2;4;0;0;0;2;0;2;4;2;2;2;0;0;2;0;0;0;0;0;2;0;2;0;2;0;2
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;20;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
center;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
press;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;0;0;6;4;0;0;4;0;0;4;2;0;2;4;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;2;0;4;4;0;2;0;0;0;0;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;4;0;6;0;0;0;0;2;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;0;0;4;2;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0
#insots;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;2;2;0;0;0;22;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
#nextlevel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;22;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;6;0;2;0;0;0;0;0;0;0;0;0;2;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2
click;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;4
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;0;2;0;0;0;0;0;4;2;4;0;4;0;0;2;0;0;2;6;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;2;0;6;0;0;6;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;0;2;2;2;0;2;0;0;0;2;0;0;0;0;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;6;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;4
operations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
@fiatchrysler_na;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;2;4;0;2;4;8;0;2;2;0;2;0;0;0;8;2;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;4;0;0;0;2;0;0
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;4;0;2;0;0;0;0;4;2;4;0;0;2;0;0;2;2;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;4;2;8;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;4;10;6;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;2;0;0;6;0;0;0;0;0;4;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;2
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
unemployment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;4;0;0;0;0;2;2;0;2;0;2;4;2;0;6;2;0;2;0;0;0;0;0;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;2;0;2;4;0;4;2;0;0;0;0;4;0;0;0;0;0;0
