;new;city;crisis;covid19;yorkers;help;york;health;people;testing;workers;care;week;hospitals;thank;lives;front;federal;protect;face;million;ventilators;social;cant;next;support;hall;call;#askmymayor;public;fight;gowns;communities;community;government;surgical;medical;distancing;hospital;latest;together;state;still;personnel;working;supplies;sites;home;wont;food;lines;fighting;join;work;stay;country;save;lost;take;line;disease;virus;recovery;families;days;seeing;tests;safe;heroes;across;rent;seen;weeks;good;students;making;yorker;needs;everyone;neighbors;cities;school;ahead;april;311;big;enough;lot;test;@nychealthsystem;coverings;hit;something;anyone;may;seniors;states;supply;greatest;aid
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;4;2;0;0;2;4;0;6;8;2;6;0;8;2;2;4;0;2;2;0;2;4;4;0;6;2;4;4;0;0;2;0;0;0;0;2;2;0;2;0;4;0;0;4;8;4;2;2;4;0;0;2;0;0;0;2;0;0;2;2;0;2;2;2;0;2;2;6;2;0;4;0;4;0;2;2;0
face;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;2;0;0;4;2;4;2;6;4;0;2;4;2;2;0;0;0;2;2;0;0;6;0;8;0;0;2;0;2;0;2;2;4;0;2;0;0;0;0;0;2;2;0;6;2;0;2;0;4;4;0;2;0;0;2;2;0;0;2;2;0;2;2;0;2;0;20;0;0;0;2;2;0;4;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;4;0;0;0;2;0;4;4;2;4;6;2;0;2;0;0;4;2;2;6;4;0;0;2;4;0;0;0;0;0;2;2;2;2;2;0;0;0;0;4;0;0;0;0;4;0;0;0;2;4;2;2;0;2;0;2;4;2;6;0;0;2;2;0;0;0;2;2;0;4;2;2;2;2;2
ventilators;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;4;0;6;0;0;4;6;0;0;4;0;0;6;6;0;0;6;0;2;0;0;0;2;0;0;0;0;4;2;2;0;0;2;0;0;4;2;0;0;0;0;0;0;2;6;0;2;0;0;0;2;0;0;4;2;0;4;4;0;4;0;0;0;0;0;2;0;0;8;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;6;2;6;0;0;2;0;0;0;42;0;0;6;0;2;0;10;0;0;4;2;0;0;2;2;4;4;0;6;0;2;0;6;6;0;0;2;2;0;6;0;0;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0
cant;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;2;0;0;0;0;0;2;4;0;0;0;4;2;2;0;0;0;6;4;2;2;0;0;2;6;2;0;6;6;0;2;0;0;2;0;2;6;0;2;0;4;2;0;0;4;0;4;2;0;0;0;2;2;0;0;0;2;4;0;0;0;2;4;0;0;4;2;0;0;0
next;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;4;2;0;0;2;2;0;4;4;2;2;0;2;4;2;4;0;2;4;0;0;2;2;2;4;0;0;2;0;2;0;4;2;2;2;0;0;2;0;2;4;0;0;2;0;0;0;4;0;0;0;0;2;2;0;2;2;0;0;0;2;2;0;2;2;0;4
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;4;0;2;0;2;0;2;0;0;2;4;4;0;2;0;6;4;0;8;2;2;0;0;6;2;0;0;2;0;0;6;4;0;2;0;0;6;4;0;2;2;0;2;0;2;2;2;4;6;2;4;0;0;0;0;4;2;2;0;2;0;4;0;2;2;0;2;4
hall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;2;2;0;0;6;4;4;2;2;2;0;2;0;6;4;2;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;18;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0
#askmymayor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;6;0;0;4;2;0;0;2;0;0;0;0;0;2;0;4;2;0;0;4;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;4;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;8;2;4;2;8;0;2;0;4;12;2;2;2;0;0;0;4;2;0;2;2;0;2;0;2;4;0;2;0;2;0;2;2;4;4;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;6;2;0;0;0;2;0;0;4;2;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;8;6;2;0;4;2;2;6;2;6;0;0;2;0;6;2;6;2;2;6;6;0;0;4;2;2;2;0;2;2;0;2;2;2;0;0;2;2;0;0;2;2;2;2;2;0;2;0;2;0;0;0;0;4;2;2;0;0;0;0;0;0;0;2
gowns;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;28;0;0;2;0;2;0;2;0;0;6;0;2;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;2;2;0;6;0;0;2;0;0;0;2;2;0;2;10;2;2;0;0;0;0;0;4;0;0;10;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;0;2;0;0;2;4;0;2;0;0;2;2;4;2;0;0;2;0;0;4;0;2;2;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;4;12;0;0;0;0;0;0;0;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;0;0;0;0;2;6;2;12;0;0;0;0;0;0;0;0;0;0;2;2;4;6;0;0;2;2;0;4;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;4;4;0;2;0;0;2;0;0;0;2;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;2;4;8;2;0;2;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;6;0;0;0;2;2;0;0;2;0;4;0;2;0;0;0;0;0;2;4;0;0;2;0;2;2;2;2;0;0;0;0;0;0;0;0;6;0;2
surgical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;10;0;2;0;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;4;0;0;0;2;4;0;6;0;0;2;0;0;0;2;6;0;0;6;2;2;0;0;2;0;0;2;0;0;12;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;20;2;4;4;2;2;2;0;0;2;0;0;4;4;0;0;4;2;0;0;0;0;0;2;0;0;4;0;4;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;4;2;0;2;0;2;0
distancing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;8;0;0;4;0;0;0;2;2;4;2;0;6;0;2;0;4;6;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;4;2;0;2;0;0;0;0;2;2;0;0;0;0;2;2;0;0;0;0;2;0
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;4;0;0;0;2;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;4;2;0;0;0;0;0;6;0;4;0;0;0;0;2;0;2;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;2;0;2;6;0;8;0;0;2;0;0;4;4;0;4;2;0;4;0;2;2;0;0;2;2;2;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;0;0;6;2;2;4;0;0;2;2;0;6;2;0;0;0;0;10;0;0;0;0;2;2;4;2;4;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;4;0;6;0;0;2;0;0;0;4;2;0;0;0;4;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2
personnel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;2;0;0;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;4;0;0;2;0;4;2;2;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;4;0;2;2;4;0;0;2;2;4;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;6;0;4;0;0;0;2;2;4;0;0;0;4;2;2;2;0;0;0;0;0;2;4;2;0;0;0;0;6;0;0;0;0;0;0;2;0;2;0;6;0
supplies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;2;0;0;2;0;0;0;0;0;0;0;2;4;0;0;0;4;4;0;0;2;2;0;0;0;0;2;6;0;0;2;0;0;2;4;2;0;4;0;4;0;2;4;0
sites;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;6;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;2;0;0;2;0;0;0;2;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;14;0;2;2;2;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;0;4;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0
wont;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;2;2;4;0;0;2;0;0;2;4;2;0;0;0;4;0;0;0;2;2;0;2;0;0;0;0;2;4;4;2;2;2;0;0;0;0;0;0;0;0;2;0;2;2;2;0;4
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;6;2;2;2;0;2;0;0;6;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0
lines;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;2;0;0;2;0;0;2;0;0;2;0;4;10;2;0;0;0;0;0;0;0;0;4;0;2;0;2;0;0;0;2;0;0;2;2;0;0;2;0;0;2;0;0;2
fighting;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;6;4;0;0;2;4;0;0;4;2;0;0;0;2;0;2;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;2;2;0;2;4;2;0;0;0;2;0;2;2;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;0;0;2;0;0;0;4;0;0;2;2;2;2;0;0;2;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;2;4;6;0;0;0;2;0;0;0;0;2;2;8;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;8;0;0;6
save;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;0;2;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
lost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;2;2;0;0;0;0;4;0;0;0;2;4;6;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;2;0;0;4;2;0;2;2;0;0;4;0;0;0;2;0;2;4;0;0;0;4;2;0;0;0;0;0;0
line;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;2;2;0;0;2;4;2;2;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0
disease;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;4;0;0;0;0;0;2;0;2;2;0;4;0;0;0;0;0;0;2;0;0;2;0;0;2;4;0;0;2;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0
days;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;4;2;0;0;2;0;6;0;2;8;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0
seeing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2
