;great;people;trump;president;united;states;new;american;government;federal;obama;state;administration;house;republican;democrats;national;working;big;news;party;white;trying;thank;country;man;russia;police;job;department;billion;election;fbi;media;hard;congress;world;donald;york;washington;city;help;bill;year;history;important;law;win;military;may;place;left;best;america;americans;senate;political;presidential;fake;2016;former;million;support;amazing;hillary;book;campaign;closely;huge;china;investigation;order;justice;court;clinton;work;love;power;thing;think;another;jobs;supreme;russian;week;real;night;family;story;times;health;money;fire;war;nation;economy;take;committee;shooting;youthank
obama;0;0;0;0;0;0;0;0;0;0;0;2;42;6;2;0;0;4;2;2;0;6;2;0;0;0;4;2;6;6;6;4;0;2;0;4;0;2;2;0;0;2;0;2;2;4;2;0;0;4;0;2;0;0;4;4;0;0;0;2;2;2;0;4;2;0;4;2;0;2;2;0;4;2;4;0;0;0;2;2;4;0;0;2;2;0;6;2;0;6;0;4;0;4;2;0;2;4;2;0
state;0;0;0;0;0;0;0;0;0;0;0;0;4;4;10;4;4;10;2;2;4;4;4;8;4;0;2;4;4;14;2;2;0;2;2;2;0;2;6;10;0;4;2;0;2;4;8;4;2;0;2;0;0;0;2;0;0;0;2;2;6;0;4;0;10;0;0;8;4;0;0;0;0;8;10;0;0;0;2;0;0;2;8;0;0;2;0;2;0;0;0;0;0;2;0;2;2;0;4;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;0;2;2;6;2;6;2;0;2;0;6;2;4;4;6;4;0;2;0;6;0;2;2;2;0;2;0;2;2;2;4;0;0;2;2;2;0;0;2;6;2;0;2;2;0;4;2;2;2;0;0;2;0;2;2;0;2;2;4;4;0;0;2;2;4;2;0;4;2;0;4;2;0;4;0;2;0;2;4;0;2;2;2;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;0;0;6;2;38;0;2;2;4;6;2;2;4;2;0;2;2;0;6;2;2;2;0;2;0;6;2;0;2;0;4;0;4;0;2;0;4;2;6;0;0;4;0;4;2;2;0;2;0;0;0;2;0;0;0;2;0;2;0;2;2;0;0;4;2;0;2;2;2;2;0;2;4;0;2;0;0;2;0;0;8;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;2;4;6;20;2;4;2;6;2;0;0;0;2;2;0;2;4;0;4;2;10;2;4;0;2;0;4;4;4;0;2;2;0;0;4;2;2;0;4;4;2;2;2;6;0;0;0;6;0;4;0;0;2;0;0;2;0;4;2;0;4;4;2;0;0;2;2;0;2;0;0;0;0;0;2;0;2;2;4;0;4;4;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;8;4;12;0;2;2;2;2;2;0;6;8;2;2;2;8;0;2;2;2;0;0;4;0;2;0;0;2;0;2;0;8;4;0;4;4;6;4;6;8;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;4;0;2;0;2;2;0;4;0;0;0;0;2;0;0;0
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;0;0;2;2;2;4;0;0;2;2;2;2;4;2;0;2;8;2;0;2;4;0;0;0;4;4;4;4;4;0;2;0;2;8;0;0;4;2;0;2;0;0;2;6;0;4;0;2;0;2;0;0;0;4;0;0;2;0;2;0;0;0;2;2;2;0;0;0;0;6;0;0;0;0;0;0;4;2;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;8;0;2;0;2;2;2;2;2;2;26;0;0;2;2;2;2;4;0;0;0;6;4;2;2;0;0;0;0;0;2;2;0;2;2;2;2;0;2;2;4;0;0;20;4;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;4;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;8;0;2;0;0;0;0;0;0;4;0;0;2;0;2;2;0;0;4;4;2;2;2;6;0;0;0;2;0;4;2;2;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;0;0;4;0;0;0;4;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;2;0;2;2;2;2;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;2;2;6;0;2;0;2;4;8;10;0;4;0;2;6;0;2;0;2;0;2;0;2;0;0;2;2;2;6;0;0;2;2;4;26;4;4;4;2;2;2;2;0;0;2;0;2;2;0;0;2;0;0;8;0;4;0;6;0;4;0;2;0;0;4;4;0;0;0;0;0;2;0;0;0;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;10;2;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;2;2;4;0;8;2;0;2;2;2;4;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0;0;4;0;4;4;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;2;2;4;0;0;6;2;0;6;4;2;2;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;2;0;0;0;2;0;4;0;2;0;4;0;0;0;0;0;2;0;2;0;4;2;2;2;0;0;2;4;0;2;0;0;6;0;2;4;0;0;0;0;4;0;0;2;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;4;2;0;4;6;6;2;6;0;0;2;2;0;2;6;2;2;2;2;0;0;2;2;6;6;0;0;0;2;0;8;2;0;2;0;0;0;2;4;0;2;0;2;4;2;2;0;4;0;0;0;2;2;2;2;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;0;0;2;4;0;4;2;4;4;0;2;2;8;2;0;0;4;2;10;0;0;0;2;2;8;0;4;2;2;2;0;0;0;4;6;2;6;2;2;4;2;2;0;0;0;2;2;4;2;4;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;6;2
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;4;10;0;4;0;2;2;0;4;0;2;4;0;0;2;8;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;4;2;0;0;0;2;0;0;2;2;2;2;0;0;0;0;2;2;6;4;2;0;2;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;4;0;2;0;0;2;2;2;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;0;0;0;2;0;0;2;0;2;4;2;0;0;6;0;0;0;0;0;2;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;6;0;4;2;2;0;4;2;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;2;2;2;2;6;2;0;0;0;2;2;6;0;0;0;2;0;2;0;2;0;0;0;2;2;0;2;0;8;0;2;0;0;2;4;0;0;0;0;0;0;0;4;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;4;2;0;0;0;0;6;8;2;0;4;0;0;0;6;0;2;2;0;0;0;0;0;2;2;0;0;0;4;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;0;0;2;0;6;2;2;0;0;2;0;0;0;0;0;2;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;4;2;4;0;0;0;0;4;2;4;0;2;0;0;2;0;4;0;0;0;0;2;4;2;0;0;0;6;0;2;0;0;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;0;4;0;2;0;2;0;0;2;2;0;4;0;2;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;2;2;2;2;0;0;0;0;4;4;0;0;2;0;0;0;0;0;0;0;4;0;4;2;0;2;2;4;2;0;4;0;0;6;0;20;0;4;2;0;0;0;0;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;4;0;2;2;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;0;2;0;4;4;4;2;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;0;2;4;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;6;0;0;0;0;0;6;2;4;0;8;0;4;0;2;2;2;0;0;6;14;0;20;0;2;2;2;0;0;4;0;6;0;4;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;2;2;0;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;8;4;4;0;0;0;4;0;2;0;0;6;2;2;2;2;2;2;0;4;6;4;4;0;0;0;2;2;0;2;0;0;8;0;4;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;4;2;0;0;4;0;0;0;0;2;4;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;2;2;2;2;0;0;0;0;0;4;0;0;2;0;2;2;12;0;0;0;0;0;0;0;2;2;2;2;0;0;0;2;0;2;0;4;0;0;0;2;2;2;0;2;2;0;2;0;0;0;0;0;0;2;0;0;6;0
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;6;0;0;0;2;0;0;4;0;2;2;0;0;0;0;0;2;2;2;0;2;0;2;2;2;2;0;4;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;2;2;0;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;4;0;0;6;2;0;2;2;0;6;2;0;0;4;2;4;2;2;2;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;0;2;0;0;2;0;2;4;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;6;0;0;2;0;0;6;0;6;6;0;0;2;0;0;0;0;4;2;4;0;2;0;0;0;0;0;0;0;0;0;4;4;4;0;2;0;0;0;2;0;0;0;2;2;4;2;2;0;2;0;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;6;2;0;0;0;2;0;0;0;0;10;0;2;6;0;2;2;4;2;4;0;2;0;2;4;2;2;4;0;0;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;2;2;0;0;0;0;2;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;0;2;0;0;2;2;2;0;2;2;0;0;0;0;2;6;2;2;0;0;2;0;2;4;0;2;2;0;0;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;12;0;2;2;0;0;0;0;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;2;0;2;0;2;0;0;4;2;2;0;0;0;0;0;0;4;0;2;4;0;2;2;0;0;0;0;0;0;2;2;2;2;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;2;4;0;2;2;0;0;0;0;2;0;4;6;2;2;0;0;2;2;0;0;2;0;2;0;0;2;2;2;0;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;4;2;0;2;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0;2;0;2;0;4;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;2;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;2;0;2;0;0;10;2;0;2;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;4;2;2;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;2;2;2;2;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;4;2;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;4;2;0;2;4;0;0;0;0;2;2;0;0;2;2;0;0;2;0;2;0;0;2;0;0;4;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;0;2;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;2;2;2;2;0;0;0;2;0;0;0;0;0;4;0;0;2;2;0;6;0;2;0;2;2;4;2;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;0;0;4;0;0;0;2;2;2;0;4;0;2;2;0;4;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;4;0;4;2;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;2;2;2;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;2;4;0;0
place;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;0;6;4;0;0;0;0;0;2;0;2;0;2;4;0;0;0;0;4;0;2;0;4;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;2;0;0;0;0;0;4;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;2;2;6;4;0;0;0;0;2;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;6;0;0;2;0;2;0;0;0;0;0;0;6;0;0;0;2;0;0;0;0;0;0;2
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;4;0;0
political;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;2;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;0;0;2;4;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;2;2;0;0;2;0;0;6;0;4;0;2;0;2;0;2;0;0;4;4;0;0;0;0;0;2;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;2;0;0;0;4;0;4;0;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;6;0;0;2;0;0;0;0;2;0;8;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;2;0;0;2;4;0;2;4;4;0;0;0;0;0;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;0;2;0;2;2;2;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2
amazing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;2;0;0;0;0;0;2
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;2;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;2;0
book;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0
