;people;america;care;trump;end;war;pay;health;working;social;americans;corporate;workers;year;american;big;billion;security;energy;medicare;tax;wall;jobs;street;country;1;congress;president;taxes;act;job;companies;wage;fight;million;richest;half;system;government;money;take;bill;drug;americas;protect;billionaires;living;pass;power;trade;rich;create;class;universal;millions;0;greed;live;share;paid;united;breaks;constitution;school;die;corporations;water;human;save;change;thousands;hundreds;insurance;families;climate;could;billions;industry;union;world;states;planet;justice;work;good;instead;rate;rest;50;air;wealth;college;countries;believe;trumps;weapons;children;renewable;fuel;means
corporate;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;2;2;0;4;0;8;0;4;0;0;2;0;0;2;4;0;4;2;0;6;4;4;0;4;2;4;2;0;4;2;0;0;2;2;4;0;2;2;0;2;6;0;0;2;4;0;4;0;0;2;4;2;0;2;2;0;0;0;0;0;0;6;0;4;0;0;0;0;0;2;2;2;0;0;2;2;0;0;0;0;0;4;2;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;4;0;2;4;0;6;0;0;0;0;0;0;0;2;4;4;2;6;2;4;0;2;0;0;0;0;2;4;0;2;0;0;4;0;0;4;0;2;0;0;0;2;0;0;4;0;0;0;2;0;0;0;2;0;0;2;0;0;2;2;2;8;0;0;0;2;4;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;4;0;8;0;0;0;0;0;4;0;0;4;4;4;2;2;2;4;0;2;0;0;0;0;4;4;2;0;2;0;4;0;0;4;0;0;4;0;0;0;0;4;0;2;0;0;2;2;0;0;4;6;2;4;2;2;0;2;0;4;2;0;0;2;2;0;0;0;0;2;2;4;2;0;2;4;0;0;2;0;0;0;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;2;4;2;0;0;2;4;0;0;2;0;2;2;0;0;0;0;0;2;0;2;4;4;2;0;2;2;2;4;0;0;4;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;4;4;0;6;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;4;4;0;2;2;2;0;4;0;4;0;0;0;0;0;0;2;6;0;2;6;0;0;0;0;0;2;2;2;0;0;0;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;4;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;2;0;2;0;0;0;2;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;4;0;2;6;2;0;10;4;0;0;0;2;0;6;0;0;0;2;0;0;0;8;4;0;0;0;0;0;2;4;2;2;0;8;2;0;0;4;4;2;0;2;0;4;0;2;2;0;0;0;0;2;2;2;2;0;0;0;4;4;0;2;2;4;0;0;0;2;2;0;2;2;0;4;2;2;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;2;0;2;2;6;2;0;0;0;0;2;0;2;0;0;0;0;0;6;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0
energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;2;2;0;2;0;2;2;0;0;0;4;2;4;0;0;0;0;0;0;2;0;2;2;0;8;0;0;6;2;2;0;0;2;2;0;0;0;0;2;4;0;6;2;2;2;0;4;6;0;0;4;2;0;2;6;0;2;6;2;0;0;0;4;0;0;0;2;2;2;0;10;4;0
medicare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;2;2;0;0;2;0;2;4;0;0;2;0;2;0;4;0;0;4;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;0;0;4;4;0;4;4;6;0;0;2;4;2;0;2;2;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;2
tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;0;4;0;0;2;2;0;2;0;2;4;6;2;4;4;2;4;0;2;0;2;8;2;2;2;0;4;4;2;0;0;4;0;0;0;2;0;10;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;4;4;0;0;0;0;2;0;0;0;0;2;0;0;0
wall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;0;0;0;0;4;0;4;0;2;0;0;0;2;6;2;2;2;8;0;2;2;0;2;0;0;2;0;4;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;0;2;0;0;0;2;4;2;0;0;2;0;0;0;0;4;0;0;0;0;0;0;4;0
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;2;0;2;4;0;4;0;0;0;0;0;2;0;0;2;4;0;10;0;0;8;2;0;0;2;0;4;2;0;2;0;0;2;0;6;4;2;2;2;2;4;2;0;2;2;2;4;4;0;4;6;6;0;0;0;4;2;0;0;0;2;2;0;6;4;2
street;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;4;0;2;0;0;0;2;6;0;2;0;8;0;2;2;0;2;0;0;2;0;4;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;0;2;0;0;0;2;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;4;2;0;2;0;2;0;6;0;0;2;2;6;0;2;2;0;0;0;0;2;0;2;0;0;2;0;2;2;2;0;2;0;0;4;2;4;2;0;0;0;0;0;2;2;0;0;4;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;2;2
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;4;0;0;4;6;2;0;0;2;2;0;0;2;2;0;0;0;4;0;0;2;0;4;0;4;2;0;2;4;2;2;0;2;2;0;0;4;0;0;0;2;2;0;0;2;2;2;0;2;2;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;2;2;2;0;0;0;0;0;0;2;2;2;0;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
taxes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;8;0;2;0;0;0;0;4;2;2;2;0;10;2;0;4;6;2;2;0;2;0;6;0;2;0;0;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;8;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;2;2;0;2;0;0;2;0;0;0;2;0;2;2;0;2;2;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
companies;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;4;2;6;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;2;0;0;0;0;0;2;2;2;0;2;0;0;4;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0
wage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;0;0;2;0;0;8;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;4;4;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;0;4;0;0;0;2;4;0;0;0;0;4;2;0;0;0;0;2;6;4;2;2;2;2;0;0;2;0;0;0;0;0;4;0;2;2;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;4;0;2;4;0;2;0;2;0;2;0;2;0;0;2;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;2;0;4;0;0;0;0;0;2;0;0;2
richest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;4;0;2;2;0;2;0;4;0;4;2;0;6;0;0;0;4;0;4;0;2;2;6;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;2;0;0;2
half;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;2;4;0;4;0;2;0;2;6;2;0;2;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;2;2;4;0;8;2;2;0;0;0;2;0;0;0
system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;6;0;0;0;0;0;4;0;2;2;0;0;0;0;0;2;2;0;2;0;0;2;2;2;2;2;0;2;0;2;0;0;0;0;4;2;4;2;0;2;2;0;2;0;2;0;0;0;2;0;0;0;2;2;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
money;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;0;2;0;0;2;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;2;4;2;2;0;0;0;2;0;0;0;0;0;2;0;2;4;0;2;0;0;0;0;4;2;0;0;2;2;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;0;0;0;0;0;0;4;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;2;0;2;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;2;2;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0
drug;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2
americas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;2;0;6;2;0;0;4;0;0;0;2;4;4;0;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
billionaires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0
living;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0
pass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;2;0;0;2;0;2;0;2;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0
power;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0
trade;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
rich;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;6;6;0;0;0;0;0;0;0
create;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;2;4;0;2;0;0;2;0;6;2;0;0;0;0;4;0;0;2;2;2;2;4;0;2;6;4;0;0;0;4;0;0;0;0;0;2;0;6;4;0
class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2
universal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;6;0;0;0;2;0;0;0;0;2;0;0;4;0;2;0;4;2;0;0;0;0;0;0;4;0;0;0;2;2;0;0;2;2;0;0;0
millions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;4;4;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;2;0;0;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0
greed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;2;2;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;4;2;0;4;2;2;2;0;0;2;0;0;0
share;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
paid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;2;0;0;0;2;0;0;0
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;0;0;2;12;2;0;4;2;2;0;2;0;2;0;0;2;0;0;2;0;2;0;0
breaks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
constitution;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;4;0;0;0
die;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2
corporations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
