;president;trump;great;united;states;new;people;american;news;country;government;state;administration;house;world;obama;federal;department;media;white;york;best;donald;national;court;justice;campaign;fbi;times;help;good;democrats;election;republican;former;thank;working;bill;billion;military;presidential;may;article;senate;money;clinton;called;china;huge;history;party;win;hillary;washington;women;supreme;russia;bad;left;police;big;proud;city;2016;texas;fake;thing;report;bernie;security;end;man;greatest;story;real;hard;million;sanders;health;trumps;illegal;russian;together;men;congress;week;j;could;america;incredible;killed;fight;post;investigation;attack;friend;law;home;lost;part
government;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;2;24;8;2;0;0;0;0;2;2;8;4;2;0;16;0;0;4;0;2;0;2;8;14;2;2;2;0;4;4;0;0;4;4;2;0;0;0;2;0;0;2;0;4;0;0;0;2;0;2;2;0;0;0;4;2;0;2;2;0;0;6;0;0;0;2;2;2;0;2;2;2;0;0;0;0;4;0;2;0;0;2;0;2;2
state;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;6;10;0;2;6;2;2;4;8;6;2;2;0;0;0;0;4;6;4;0;4;2;2;2;4;4;2;0;2;6;0;0;4;4;0;2;4;4;2;8;6;0;2;2;2;0;4;4;6;0;0;0;0;2;0;0;2;2;0;0;4;0;2;0;0;2;6;0;0;0;0;2;2;0;2;0;0;2;4;0;4;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;28;2;4;0;0;4;0;4;4;2;4;2;0;4;6;2;0;0;0;4;0;2;6;2;2;0;6;6;4;0;0;4;2;0;0;2;0;0;2;0;0;4;2;0;0;0;0;2;0;0;0;0;4;0;2;4;0;2;0;0;2;2;0;4;2;2;0;2;0;6;0;0;2;2;0;0;0;0;2;4;0;2;0;2;2
house;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;36;0;2;8;2;0;0;2;0;0;2;0;6;4;4;4;6;6;4;4;4;6;2;0;12;0;0;0;0;0;2;0;2;0;2;2;0;0;2;2;2;2;0;0;4;2;2;2;2;0;2;2;0;2;2;2;2;2;2;2;6;2;2;0;2;2;4;8;0;0;2;2;2;0;0;2;2;2;2;2;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;4;0;2;0;4;0;2;0;0;2;0;4;0;0;0;0;2;4;2;2;2;2;0;0;0;0;2;0;12;2;2;0;0;2;0;2;0;2;2;0;2;2;4;4;0;0;0;0;4;0;2;0;0;6;0;4;2;0;0;6;2;0;0;4;4;2;0;0;2;0;2;0;0;0;0;6;0;0;0;4;6
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;6;0;2;2;2;6;2;2;4;6;0;0;0;0;6;0;2;4;4;0;0;0;4;4;0;0;0;6;0;2;0;2;0;0;2;2;4;0;2;0;2;2;2;2;0;0;0;2;0;2;0;0;2;2;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;2;0;2;4
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;0;4;2;0;4;8;2;4;0;6;0;2;2;2;0;0;0;2;10;2;2;0;0;2;8;0;0;0;2;0;0;0;0;4;0;2;2;0;2;2;2;0;4;2;6;2;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;0;6;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;2;2;34;4;10;0;2;0;2;4;0;0;2;4;0;4;0;6;0;0;0;0;4;2;2;0;0;0;0;2;2;4;0;6;0;4;8;0;0;0;2;4;0;0;2;0;2;0;4;0;0;0;0;0;0;0;2;2;4;2;2;0;0;0;0;0;0;4;0;0;8;0;0;2;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;6;4;4;2;0;4;4;0;4;0;0;4;0;0;0;0;0;0;0;0;4;2;0;2;0;2;4;2;0;0;0;4;2;2;0;0;0;0;0;0;14;2;2;2;0;0;2;0;8;2;0;0;2;0;0;2;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;2;0;0;2;2;0;2;0;2;0;0;6;4;0;0;0;2;4;0;0;0;0;0;2;2;0;0;0;0;0;2;4;0;0;0;0;4;0;0;2;2;2;0;0;0;0;2;4;0;0;0;2;0;0;2;0;6;2;2;0;2;0;4;6;0;0;2;0;2;0;2;2;2;0;2;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;28;0;2;0;2;0;4;0;2;4;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;0;2;2;0;10;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;6;0;4;2;0;0;2;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;6;0;2;0;0;2;2;0;0;0;0;4;0;0;2;0;2;0;0;2;0;0;0;0;4;0;0;0;0;2;4;0;0;0;0;0;6;2;0;0;0;0;4;2;2;2;0;0;0;0;0;0;4;4;0;0;0;6;2;2;0;0;2;0;2;2;4;2;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;8;0;4;0;6;0;6;14;2;2;0;2;0;0;10;0;4;2;0;2;2;0;0;2;2;4;4;0;2;2;4;2;0;0;0;2;2;2;2;0;0;0;0;2;4;0;0;0;4;0;2;0;6;6;2;0;2;0;0;0;24;0;0;2;0;2;2;0;2;0;0;0;0;2
national;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;8;2;4;2;2;0;4;8;0;8;2;0;0;2;6;2;0;0;2;0;2;0;2;2;0;4;2;4;0;0;2;2;0;0;4;0;0;0;0;0;0;2;20;2;0;0;0;0;2;0;4;2;2;0;0;2;4;2;2;8;2;0;4;0;2;2;2;2;0;2;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;2;2;0;2;0;0;0;2;2;4;2;0;2;0;2;0;4;2;0;6;0;0;2;36;0;0;0;2;4;0;0;2;4;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;6;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;4;0;0;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;0;0;0;2;4;0;0;0;4;0;2;4;6;2;4;0;2;2;2;2;0;0;0;0;2;0;0;4;6;0;2;4;2;0;2;2;0;0;0;2;0;2;0;4;0;0;0;2;0;0;0;2;2;4;2;0;0;0;0;2;4;2;4;0;0;6;0;2;6;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;6;6;4;0;0;0;0;0;6;2;0;0;0;8;2;0;0;0;2;4;8;0;0;0;6;0;0;0;0;2;2;6;2;0;0;0;2;2;2;0;0;2;2;0;0;4;0;2;0;2;0;0;0;4;4;4;0;0;0;0;2;0;2;0;0;0;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;6;2;6;0;0;2;0;0;6;0;0;2;0;4;4;0;0;2;0;0;4;2;0;2;6;0;0;0;0;0;0;4;2;0;0;2;2;6;2;2;0;0;0;0;0;2;2;0;6;4;0;0;0;2;0;2;0;0;0;0;4;14;2;0;2;2;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;0;0;2;2;2;6;0;0;0;2;0;2;2;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;2;4;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;4;2;0;2;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;8;0;2;0;4;2;4;0;2;4;2;2;0;2;0;4;0;0;0;0;2;0;0;2;0;2;4;0;0;0;0;4;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;2;0;0;2;0;0;0;0;2;0;0;2;0;2;6;2;0;0;0;0;6;0;0;4;0;4;0;0;4;2;4;0;0;0;0;4;2;0;0;0;0;0;2;0;0;6;0;2;0;2;2;2;6;0;0;2;0;0;2;0;4;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;0;4;0;0;2;0;0;0;4;0;0;0;2;2;2;10;10;0;4;0;0;2;2;10;0;4;0;0;2;0;4;0;2;4;2;0;2;0;0;0;0;0;4;0;0;4;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;18;2;0;2;0;2;0;0;2;4;2;6;2;0;0;2;8;2;0;0;2;0;0;20;0;0;4;0;0;0;2;0;2;0;0;0;0;0;2;4;2;8;0;0;2;0;2;2;2;0;0;2;0;6;0;0;0;0;2;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;6;0;0;4;0;2;2;0;0;4;14;6;4;0;0;2;0;0;2;0;0;0;2;0;2;4;0;0;0;2;0;0;0;0;2;2;0;0;4;2;2;0;4;0;2;0;4;0;0;0;2;0;0;2;0;4;0;2;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;4;2;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;0;4;2;2;0;0;0;0;6;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;4;2;0;0;0;2;2;4
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;2;4;2;2;2;0;2;0;2;0;0;2;2;0;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;4;2;0;0;2;4;4;4;0;0;2;0;0;2;2;2;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;4;0;4;4;2;0;0;2;0;2;2;0;0;0;0;2;0;16;2;4;6;0;0;0;2;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;0;0
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;14;0;2;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;0;2;0;0;2;2;0;0;0;0;4;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;2;2;0;0;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;8;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;4;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;4;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;8;0;0;0;4;0;4;2;0;0;2;2;0;2;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;0;0;4;2;0;6;2;0;2;2;2;0;0;2;0;2;12;0;0;4;0;4;0;2;0;2;0;2;0;0;4;0;4;2;4;0;0;2;0;2;2;0;0;0;2;0;6;0;0;2;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;4;0;2;2;4;0;0;2;0;0;0;2;0;2;0;0;0;0;4;2;0;2;0;0;0;0;2;2;0;2;2;0;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2;0;0;2
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;4;2;0;2;2;0;2;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;2;0;2;0;0;0;2;0;0;0;0;2;0;0;4;0;0;2;2;0;2
money;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;0;0;0;0;4;0;2;2;2;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;32;0;2;0;0;2;0;0;0;2;0;0;0;2;0;0;10;0;2;0;2;0;0;0;0;12;0;0;2;0;0;0;2;2;0;2;0;0;2;2;2;2;0;0;2;0;2;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;4;0;2;0;0;2;2;2;0;2;0;0;2;4;2;2;0;0;0;0;6;2;0;2;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2
huge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;4;0;2;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;2;0;4;2;0;2;0;0;0;2;0;0;2;4;8;0;0;0;0;0;2;2;2;0;4;0;4;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;6;0;0;0;2;2;2;2;0;0;0;2;0;0;0;0
win;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;6;2;2;2;0;8;0;0;0;0;2;0;2;4;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;8;0;2;0;2;0;0;0;0;10;0;0;2;0;0;0;2;2;2;2;0;0;0;2;2;2;0;0;2;0;4;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;2;0;0;0;2;0;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0
women;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;2;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;14;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;2;0;0;0;0;0;2;2;0;0;2;0;0;0;4;0;0;2
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;2
bad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;4;0;0;2;0;0;2;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;0;2;2;0;2;2;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;0;0;2;0;2;4;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;2;0;2;2
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;4;0;4;0;0;0;0;0;2;2;0;2;0;0;0;0;4;2;0;0;0;0;0;0;2
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;6;0;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;6;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0
texas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;0;2;0;0;0;2;0;0;4;2;0;0;0;2;0;0;4;0;0;2;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0
