;great;united;states;president;new;trump;people;national;house;government;federal;news;thank;big;administration;man;state;fbi;job;democrats;security;party;country;2016;american;world;white;election;presidential;media;article;support;good;york;republican;america;former;hillary;strong;obama;usa;police;thing;may;proud;trying;fact;war;city;clinton;protect;working;beautiful;campaign;reserve;military;called;attack;law;department;justice;nation;released;given;michael;fake;times;senator;vote;investigation;rate;bernie;washington;power;donald;family;life;investigating;court;russia;announce;americans;crime;help;amazing;days;complete;taking;press;take;end;incredible;left;nothing;democratic;congress;beginning;democrat;committee;wonderful
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;10;4;0;0;0;0;0;2;0;0;0;0;2;4;0;2;0;2;0;0;2;2;0;6;8;0;0;0;0;0;0;0;0;4;2;0;2;0;2;0;0;6;0;0;0;2;2;0;0;2;0;0;0;2;0;0;2;2;0;2;0;0;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;2;0;0;2;2;0;0;4;2;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;2;8;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;0;2;0;2;0;0;0;2;0;2;0;2;0;0;2;0;0;0;0;2;0;0;4;2;4;4;0;0;2;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;4;0;2;0;0;0;0;0;6;0;2;2;0;0;2;4;0;2;0;0;2;0;0;0;0;4;0;2;0;0;4;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;2;0;0;4;2;2;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;2;0;0;0;16;2;2;0;0;2;6;0;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;2;0;4;0;0;6;4;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;0;2;2;0;2;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;2;0;0;2;6;0;2;0;0;2;0;0;0;0;0;4;2;2;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;10;2;0;2;0;2;2;0;6;0;0;0;0;0;2;4;0;0;2;0;0;0;0;0;0;6;2;0;2;0;0;0;0;0;6;0;2;0;2;0;4;2;0;0;2;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;6;0
american;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;2;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;2;0;4;2;0;0;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;2;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;4;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2;2;0;2;0;0;0;8;0;0;0;0;2;0;2;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;6;0;0;2;0;0;0;0;0;4;0;2;0;0;2;2;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;4;0;0;2;4;2
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;6;0;4;2;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;2;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;4;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2;2;0;0;10;4;0;0;2;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;2;0;0;2;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;6;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;4;10;0;0;2;2;2;0;0;2;2;2;6;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;4;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;2;0;0;0;0;2;6;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;6;0;2;0;4;0;0;2;0;0;0;0;2;0;0;2;2;0;2;2;0;6;0
hillary;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;16;2;0;0;4;2;0;0;2;0;2;2;0;0;0;2;0;0;2;0;2;0;2;0;0;0;0;2;2;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0
strong;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;0;2;2;0
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;2;0;0;0;0;2;0;0;2;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;4;2;0;0;2;0;0;2;0;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;2;0;0;0;0;0
fact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
war;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
clinton;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;2;2;0;0;2;2;0;0;2;0;2;0;2;0;0;0;2;2;2;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
beautiful;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;0;2
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;2;0;0;2;0;2;0;4;0;0;2;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;2;0;2;0
reserve;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0;0;2;2;0;2;0;0;0;0
attack;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;4;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0
given;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0
michael;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
