;covid19;live;district;coronavirus;home;districts;dc;positive;residents;reported;workouts;#fitdc;2;new;1;visit;lives;2020;move;bring;case;bringing;seniors;data;due;ready;#stayhomedc;cases;additional;overall;lost;includes;follow;related;may;along;kids;learn;energy;health;burn;deaths;3;april;stay;4;continue;call;5;#dcstatehood;response;june;public;community;care;female;help;8;6;support;free;join;captions;city;thank;update;together;social;stream;10;businesses;sites;test;7;ward;please;male;emergency;work;distancing;family;briefing;monday;housing;friday;testing;send;11;park;order;information;share;essential;virtual;tune;year;space;reopening;safe;columbia
workouts;0;0;0;0;0;0;0;0;0;0;0;206;0;0;0;0;0;0;110;110;0;0;110;0;0;110;14;0;0;0;0;0;96;0;0;96;92;0;92;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#fitdc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;110;0;0;110;0;0;110;14;0;0;0;0;0;96;0;0;96;92;0;92;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0;0;0;0;0;0;0;0;0;0;0;0;0;14;6;0;80;6;2;0;6;6;0;10;80;0;6;8;78;6;78;4;0;80;10;0;0;2;0;6;0;72;6;8;6;2;8;2;4;0;2;4;8;8;2;32;8;4;2;4;0;4;0;4;0;2;2;6;0;6;2;2;2;0;6;0;26;4;0;4;2;0;2;6;8;4;0;2;4;2;2;6;2;6;0;4;0;4;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;2;0;102;0;0;106;104;0;102;2;0;4;108;0;104;0;100;0;6;48;0;0;18;0;14;0;6;8;58;0;12;0;0;8;0;0;8;6;2;10;0;6;14;8;4;0;0;0;2;0;2;0;0;0;8;4;0;2;10;4;0;0;6;0;0;0;0;20;0;16;4;0;4;0;4;2;0;2;6;0;0;2;0;0;0
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;82;2;0;80;80;0;78;0;0;4;80;0;80;2;78;0;2;52;0;2;12;0;14;0;0;10;40;4;4;4;0;4;0;0;12;14;8;4;0;8;6;4;4;0;2;0;2;2;4;2;6;0;8;4;6;0;4;8;2;0;12;4;6;6;0;22;4;14;2;0;2;6;4;2;0;6;4;0;4;4;4;2;2
visit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;2;0;0;56;0;0;0;0;0;0;4;6;4;6;2;0;28;2;4;2;0;0;2;4;6;4;2;2;46;0;4;20;2;2;46;4;8;4;2;2;0;18;0;0;0;2;2;32;2;0;0;2;6;0;0;2;24;2;2;2;0;2;2;4;2;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;98;0;12;2;92;0;100;0;0;92;2;0;0;0;0;2;0;82;4;2;4;6;14;2;0;0;2;0;2;2;0;38;2;0;2;0;4;0;0;0;12;0;4;4;0;2;2;4;6;0;0;2;24;0;0;4;2;0;0;0;0;0;2;2;2;2;0;2;0;0;0;2;0;0;4;0
2020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;102;0;104;2;0;2;102;0;102;0;100;2;4;50;0;0;14;0;4;0;6;8;64;4;6;4;2;10;0;0;8;4;0;0;0;2;10;6;4;0;2;0;0;0;0;2;0;0;6;2;0;0;4;0;0;0;4;4;0;0;0;18;4;18;0;0;4;0;4;0;0;0;0;0;2;0;2;2;0
move;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;2;0;110;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
bring;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;110;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
case;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;102;2;0;0;104;0;104;0;100;0;6;44;0;0;14;0;0;0;6;4;58;0;8;0;0;6;0;0;2;0;2;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;2;16;2;16;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0
bringing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;2;0;0;104;0;104;0;100;0;6;44;0;0;14;0;0;0;6;4;58;0;6;0;0;6;0;0;2;0;0;0;0;0;6;6;0;0;2;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;16;0;16;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
seniors;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;102;0;102;2;100;0;4;44;0;0;14;0;0;0;6;8;58;0;8;0;0;6;0;0;4;0;6;0;0;0;8;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;16;0;16;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0
due;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;92;2;98;2;0;92;0;0;0;0;0;0;0;84;4;4;0;6;2;0;2;0;0;4;0;0;0;38;0;6;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;2;24;0;0;0;0;0;0;0;2;8;0;6;0;0;0;0;0;0;0;0;0;0;0;0
ready;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
#stayhomedc;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;14;0;6;14;12;4;10;4;10;0;4;0;10;2;8;10;4;0;12;2;4;4;2;0;10;2;4;0;4;2;0;2;4;2;8;8;0;0;0;0;4;2;2;4;0;2;2;6;2;2;2;0;4;2;6;0;0;6;4;10;4;0;16;2;0;2;2;8
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;0;100;0;6;44;0;0;14;0;4;0;6;4;58;0;8;2;0;8;0;0;2;2;0;4;0;0;6;6;0;0;0;0;0;0;0;0;0;0;4;0;0;2;4;0;0;0;0;0;0;0;0;16;0;16;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;94;0;0;0;0;0;4;0;84;2;2;0;2;0;0;2;0;0;2;2;0;2;40;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;26;2;2;0;0;0;2;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;4
overall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;6;44;0;0;14;0;0;0;6;4;58;0;6;0;0;6;0;0;2;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;0;16;0;16;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0
lost;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;2;0;82;4;2;0;4;0;0;0;0;0;0;0;0;2;38;0;0;0;2;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;24;0;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0
includes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;44;0;0;14;0;0;0;4;4;54;0;8;0;0;6;0;2;2;2;4;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;2;0;16;0;16;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;96;92;0;92;2;92;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
related;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88;0;6;0;4;0;0;0;0;0;0;0;0;0;40;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;26;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;8;0;0;2;4;2;2;8;4;8;0;0;2;10;4;2;0;0;2;6;4;0;4;0;2;2;4;0;2;0;2;0;2;0;12;0;2;0;6;2;4;2;0;12;0;10;0;0;2;6;4;6;2;0;4;0;6;2;4;0;2
along;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;92;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kids;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
learn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;2;0;0;2;28;0;2;0;0;0;8;2;2;6;0;2;46;0;2;18;0;0;46;2;6;0;0;0;0;0;0;0;0;0;0;32;0;0;4;2;0;0;0;2;2;2;0;2;0;0;0;2;0;0
energy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;8;2;10;0;2;2;34;2;26;0;6;10;2;4;0;0;0;0;6;0;6;4;0;8;0;2;2;6;2;0;0;30;4;4;0;0;0;2;2;2;0;0;2;10;0;0;6;0;0;0;6;2;2;4
burn;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
deaths;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;0;2;0;0;0;0;0;0;36;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;24;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;6;4;4;4;0;8;8;10;2;0;0;2;4;4;0;2;0;4;0;2;2;8;0;0;8;8;0;0;6;4;0;2;12;6;4;0;0;2;2;2;2;2;2;2;0;6;6;6;0;0;4;6;2;0
april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;6;0;0;0;2;0;0;0;0;6;4;0;0;2;0;0;0;0;0;2;0;4;2;2;0;2;0;0;0;0;6;2;0;0;10;2;10;2;0;2;6;0;0;0;0;0;0;0;0;0;0;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;0;2;2;2;0;0;0;4;2;6;0;0;0;0;6;0;0;0;6;0;0;0;0;0;0;2;10;0;2;2;6;4;0;0;0;0;0;10;0;2;4;2;12;4;0;0;8;0;0;10;0
4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;2;6;4;10;2;2;4;4;4;6;2;0;4;0;2;6;6;0;2;4;4;4;2;6;0;0;2;4;6;4;0;4;4;2;6;2;4;2;4;2;0;0;4;0;0;0;0;2;2
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;10;6;2;0;2;4;0;4;0;0;0;6;6;0;8;8;0;6;2;4;2;2;0;8;0;8;4;8;0;0;2;2;4;4;2;4;0;8;4;2;0;0;0;2;0;4;6;2
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;10;2;0;10;2;2;4;4;2;8;0;0;0;4;2;0;4;6;0;4;0;0;6;0;0;0;2;2;0;2;0;2;2;6;2;0;0;8;0;2;0;0;0;2;2;4;0
5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;6;8;4;0;0;6;4;0;0;4;0;0;0;2;0;0;0;0;0;4;2;2;4;2;0;6;0;2;2;0;0;4;0;2;0;0;2;4;2;4;6;8;4;0;4;2;0;4
#dcstatehood;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;6;0;0;6;2;2;0;2;10;0;4;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;4;0;2;0;2;2;0;4;22;0;0;6;0;2;22;6;2;0;0;0;0;0;0;0;0;2;0;22;0;0;0;0;0;0;0;2;6;0;2;0;16;0;0;0;0;0
june;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;8;2;2;0;0;0;0;0;26;0;0;0;6;2;2;0;2;0;0;0;2;0;0;2;0;10;2;4;4;0;4;0;4;2;0;2;2;0;2;0;2;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;6;0;2;2;2;0;0;2;2;2;4;0;4;0;2;0;0;0;30;0;2;0;2;0;4;2;2;0;2;2;12;2;0;4;2;0;0;6;2;2;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;8;0;6;2;8;6;0;2;4;0;6;0;2;0;0;0;0;0;0;4;2;6;0;2;2;0;0;0;0;2;2;4;2;0;0;0;4;2;2;6;0
care;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;2;4;2;0;0;4;2;0;4;0;0;4;0;0;2;6;2;0;0;0;4;0;0;0;0;2;0;2;0;2;2;2;0;0;2;0;0;0;2;0;0;0
female;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;6;2;0;4;0;0;2;2;2;0;0;0;0;0;4;0;0;2;0;0;2;2;0;0;0;0;2;0;6;0;6;0;0;0;0;2;0
8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;4;2;2;0;4;8;2;0;2;0;0;4;0;0;4;4;4;0;2;2;4;2;0;2;0;0;2;4;4;2;0
6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;0;2;0;8;4;6;0;0;0;6;2;0;2;4;2;0;2;2;0;0;4;2;6;4;0;2;2;0;2;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;8;6;0;2;8;0;0;0;0;0;0;4;2;4;0;0;2;6;0;0;2;4;0;0;0;0;0;0;0;4;2;2;6;2
free;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;0;16;30;0;0;0;0;0;0;0;4;0;0;2;0;14;0;2;4;0;0;0;0;0;0;0;0;0;0;0
join;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;0;4;0;0;0;0;2;0;0;0;0;0;6;0;2;6;0;0;0;0;0;12;2;0;0;0;0;0
captions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;46;0;6;0;0;0;0;0;0;0;0;0;0;28;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2;2;0;0;0;2;0;0;2;0;8;0;2;0;0;0;4;0;0;2;0;0;0;0;0;4;0;2;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;4;0;0;4;0;0;4;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;2;0;2
update;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
