;trump;great;president;people;united;states;new;american;news;government;house;federal;national;administration;obama;man;state;country;democrats;world;white;york;republican;party;working;best;donald;department;media;fbi;big;fake;court;thank;help;campaign;election;job;good;police;security;history;former;washington;russia;law;senate;may;bill;congress;military;left;love;year;justice;hard;americans;city;2016;article;china;called;thing;presidential;trying;million;america;supreme;clinton;act;post;times;night;committee;story;work;think;hillary;win;end;radical;money;killed;released;proud;important;support;war;could;senator;political;investigation;another;nothing;says;texas;part;fact;team;russian
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;10;26;28;10;4;18;6;14;28;14;10;16;10;8;18;4;8;4;4;10;10;2;6;12;6;16;6;2;16;112;22;4;4;6;6;4;6;6;10;6;6;6;4;12;6;4;2;0;6;14;4;4;6;4;10;4;4;0;16;6;12;0;2;14;6;4;4;10;2;2;2;4;8;2
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;4;10;12;2;14;6;4;6;26;14;2;4;6;2;2;4;10;8;0;4;6;8;6;10;8;10;12;12;12;2;2;4;6;32;6;2;0;8;0;4;2;6;12;10;2;10;16;18;4;4;4;8;4;2;2;8;12;0;6;18;4;8;4;8;0;0;6;24;8;18;2
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;18;8;16;4;12;8;44;44;8;20;8;10;12;14;28;28;6;10;10;6;8;4;12;8;0;14;6;4;2;34;6;2;14;22;46;8;8;2;0;24;4;10;22;14;10;6;4;8;30;18;6;0;10;0;4;0;4;0;0;10;2;24;14;2;4;18;8;0;8;0;8
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;56;4;8;12;6;8;24;16;10;2;48;34;0;20;8;18;14;6;14;4;16;4;4;2;6;144;10;4;16;20;10;4;0;2;18;2;16;0;4;20;12;8;6;8;8;6;12;4;20;2;4;2;6;14;8;0;8;4;2;10;2;4;30;8;2;4;8;6;8;2;14
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;18;128;2;6;4;6;8;12;12;4;4;10;8;14;10;2;8;2;6;10;4;18;6;2;14;16;8;2;4;6;6;6;10;8;28;2;2;0;4;2;2;16;4;6;18;8;6;4;0;4;10;0;2;4;6;4;0;2;4;2;14;8;6;10;10;0;4;10;0;4
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;6;4;8;42;24;4;6;10;18;8;32;14;38;24;10;6;2;16;0;8;2;0;48;4;2;6;22;4;2;2;4;24;8;0;2;0;28;8;12;6;0;10;10;2;8;30;4;8;2;2;4;8;0;6;2;0;8;4;4;64;2;2;8;0;8;12;0;26
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;12;8;8;10;6;18;14;8;10;14;0;8;8;10;6;12;4;8;4;10;0;12;8;8;4;6;8;0;4;2;12;2;4;6;8;8;0;6;8;2;6;4;2;10;8;4;28;6;10;6;0;4;14;4;2;4;6;10;6;2;10;8;4;2;4;6;10;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;10;14;12;12;2;6;14;4;6;14;2;10;0;6;8;4;14;8;2;10;16;6;6;4;6;4;8;22;6;18;2;8;0;8;0;10;14;4;6;28;2;6;10;0;6;6;0;0;8;8;12;4;2;2;6;14;8;10;14;8;2;6;10;8;4
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;2;2;2;6;4;10;6;0;46;0;10;6;8;0;2;4;4;24;0;12;4;0;0;2;4;2;2;4;0;2;184;2;20;0;4;4;0;2;0;2;0;18;0;0;4;2;4;0;6;4;6;10;4;2;4;8;0;0;30;10;4;4;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;8;16;10;6;4;10;0;4;2;6;10;4;8;4;14;12;32;14;4;8;4;4;0;4;4;0;8;0;10;0;10;4;2;0;0;2;10;2;0;20;6;0;4;8;4;2;4;2;8;16;26;0;14;10;0;2;6;2;0;4;4;2;14;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;4;4;6;8;0;2;8;8;8;8;10;12;10;10;6;6;8;4;28;10;10;14;12;0;12;4;10;8;32;2;0;0;10;4;10;2;6;2;14;10;2;12;2;2;10;0;2;10;6;14;0;2;4;8;2;4;6;4;8;6;2;8;4
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;4;4;0;2;6;28;8;52;4;10;6;0;8;6;6;2;4;24;6;4;2;46;4;4;14;6;60;18;8;6;0;44;6;4;10;6;38;2;0;2;44;10;2;2;12;2;22;2;8;2;0;8;6;4;22;10;6;4;4;10;12;6;26
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;2;22;12;2;40;4;20;4;0;10;4;16;4;2;18;6;10;2;108;4;2;12;8;76;18;6;4;8;18;2;2;6;12;28;4;6;0;24;28;2;6;4;4;4;2;20;6;2;10;6;10;28;4;12;4;6;8;10;6;46
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;2;4;2;6;6;4;4;0;8;14;8;0;6;4;6;8;16;8;8;0;6;2;12;2;2;8;8;2;0;6;2;0;6;4;2;12;10;2;6;10;6;4;2;6;8;4;10;4;2;8;12;8;0;4;0;2;2;12;10;4
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;8;2;8;6;4;8;14;6;2;12;2;6;8;2;6;6;24;6;4;2;4;2;8;6;6;12;6;6;4;6;10;10;2;2;4;6;4;6;4;4;4;0;8;14;6;4;2;14;8;2;2;2;2;6
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;14;8;0;10;0;12;2;4;2;8;0;8;6;4;2;12;2;0;0;12;4;0;4;4;0;2;0;0;0;4;14;0;6;8;2;0;0;0;6;4;46;4;2;4;2;0;4;0;0;10;6;4;8;8;8;6;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;32;2;12;10;6;8;10;10;8;10;2;2;6;6;22;8;6;4;6;2;6;6;4;4;2;4;4;10;6;2;4;8;4;4;2;6;4;6;6;0;6;0;4;6;8;0;8;0;0;12;2;0;6;6;0;4;4;14
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;4;14;12;6;10;8;6;8;2;10;4;4;10;4;10;2;0;14;12;14;8;8;4;6;10;2;12;4;6;8;18;4;8;10;6;8;10;4;2;2;14;14;2;8;6;0;18;4;4;4;2;0;6;8;8;4
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;10;6;14;6;6;4;4;2;2;26;2;4;14;20;4;4;2;0;16;2;4;2;8;18;2;8;8;10;14;4;0;0;14;2;2;4;6;4;6;0;0;0;0;2;6;4;18;4;2;18;10;6;2;0;10
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;10;4;2;4;0;6;0;2;6;6;10;6;6;12;2;6;2;6;10;6;6;2;2;8;62;6;12;4;18;6;4;4;2;2;2;4;8;4;0;4;8;2;6;6;6;6;4;6;10;2;4;4;4;12
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;8;2;10;0;4;2;0;16;2;0;2;40;2;10;2;4;32;12;4;0;0;8;8;6;16;2;22;10;2;2;10;4;2;4;4;4;8;0;10;2;4;10;2;4;16;6;8;16;0;6;8;2;34
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;22;6;2;2;2;8;14;6;6;2;0;4;0;0;2;2;14;2;0;34;6;22;6;4;8;8;0;6;0;6;0;8;2;10;2;2;6;8;6;6;8;4;0;12;4;8;0;24;6;4;2;6
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;54;10;8;4;2;6;4;12;6;0;20;8;0;4;16;10;10;6;4;4;6;16;6;0;6;48;6;4;2;4;14;12;6;6;4;12;2;10;2;2;2;24;4;10;8;8;0;4;4;0;2;10
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;2;0;0;0;10;2;6;8;8;8;0;8;6;6;4;6;2;6;4;12;12;2;6;10;6;4;6;4;6;12;0;2;2;4;2;2;0;2;6;0;0;6;8;0;4;6;2;2;0;4
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;12;4;4;6;2;6;4;18;2;0;2;6;4;0;16;6;2;4;10;14;6;4;14;4;2;4;6;6;4;6;4;2;0;0;6;2;6;2;4;4;4;2;6;2;2;6;2;0;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;12;2;2;12;6;8;4;4;4;2;6;4;4;10;2;8;4;8;14;4;6;2;4;0;8;6;8;2;14;8;4;2;2;6;4;4;4;8;8;4;8;0;8;4;4;2;6;4;12
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;4;6;0;2;2;6;2;2;6;8;6;8;2;0;0;0;6;2;0;4;2;6;0;2;4;4;6;4;4;10;10;10;6;4;4;4;0;4;2;2;2;4;4;0;4
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;10;6;8;4;4;10;6;0;6;2;6;14;2;6;2;0;2;4;6;8;8;6;2;8;0;2;4;104;2;2;0;0;0;2;12;10;8;4;0;4;26;4;4;8;8;4;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;6;4;8;0;0;0;2;4;0;2;2;6;2;2;2;6;0;0;0;6;4;0;2;2;2;2;2;0;4;6;6;6;6;4;2;0;0;2;2;0;2;4;4;4;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;8;4;2;4;2;2;0;8;20;4;4;0;4;4;2;2;0;0;2;4;0;4;4;4;0;14;2;6;6;4;4;4;4;2;0;12;2;2;2;6;10;8;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;6;20;4;0;4;4;18;2;6;4;16;8;14;6;6;0;8;4;4;4;10;2;4;8;8;4;2;0;8;4;4;8;0;4;26;2;0;2;2;4;6;0;12
hard;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;2;6;6;4;4;6;8;4;10;0;2;4;4;10;4;4;4;40;8;2;4;0;4;2;6;2;8;6;2;0;6;8;2;0;0;10;0;0;2;0;8;4
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;4;6;2;2;16;8;10;0;16;6;4;4;2;2;16;10;0;0;0;6;2;4;6;6;12;4;2;4;2;2;2;4;0;2;4;2;4;0;4
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;8;0;2;2;14;6;2;0;2;6;2;10;0;0;0;4;0;2;4;2;2;10;8;8;2;2;0;0;2;4;8;2;2;2;6;2;4;6;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;4;92;4;8;2;0;16;2;2;4;6;20;2;4;4;18;14;0;6;4;2;10;2;10;2;2;4;6;4;22;2;8;4;4;2;6;4;38
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;6;6;4;2;0;2;2;30;24;2;4;4;2;2;2;2;2;2;2;2;2;2;0;2;2;0;4;0;2;0;0;4;0;0;4;0;2
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;4;6;6;10;2;2;0;4;4;0;2;4;6;0;2;0;2;0;6;0;0;0;4;2;4;6;0;2;0;2;8;8;0;8;2;0;2
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;12;4;0;2;4;6;6;4;12;4;2;4;0;4;6;4;8;4;6;2;6;2;0;0;6;2;4;4;8;4;4;6;8;4;8;2;6
thing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;0;0;2;4;2;0;2;8;0;8;2;12;6;2;2;4;8;4;2;4;20;0;0;16;10;4;2;0;2;0;4;4;2;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;24;6;2;8;8;20;0;4;2;26;8;0;0;4;0;4;2;8;2;2;8;6;6;22;2;2;4;2;0;4;2;28
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;14;4;2;2;6;4;6;0;4;10;8;4;4;6;0;4;2;6;0;2;4;2;10;0;8;6;4;2;2;6;2;4
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;8;6;6;12;0;4;0;6;0;0;0;8;2;4;6;2;4;0;4;0;6;0;4;0;6;6;8;2;2;0
