;illinois;state;de;que;people;care;health;en;covid19;home;la;work;across;#allinillinois;new;help;el;working;para;federal;support;families;public;communities;los;take;million;virus;workers;testing;stay;residents;states;las;together;community;thank;year;una;#covid19;safe;businesses;daily;government;continue;nation;illinoisans;un;lives;students;social;capacity;best;order;por;program;everyone;es;hospital;proud;crisis;medical;local;access;administration;may;face;forward;family;phase;spread;visit;pandemic;con;still;possible;services;business;days;children;child;protect;weeks;place;justice;fight;@idph;important;más;3;next;safety;staying;move;please;essential;response;emergency;food;budget
la;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;82;0;80;12;0;0;0;0;66;0;0;18;0;0;0;0;0;64;0;0;0;0;62;6;0;0;0;0;0;0;0;40;0;0;4;0;0;0;32;0;0;54;4;0;4;2;2;0;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;2;0;0;10;0;38;10;0;0;0;0;0;0;0;0;0;0
work;0;0;0;0;0;0;0;0;0;0;0;0;24;10;12;20;0;14;0;20;22;16;10;4;0;10;8;10;14;6;8;10;4;0;18;8;14;4;0;8;18;16;2;26;10;6;14;0;4;8;10;6;8;8;0;4;8;0;8;10;4;4;4;6;12;2;4;6;2;6;6;2;12;0;12;8;4;2;6;4;12;8;8;10;8;4;2;6;0;4;4;2;8;2;4;6;4;2;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;22;14;26;2;30;0;6;12;30;20;36;0;6;16;6;10;26;8;8;10;0;20;10;24;4;0;18;12;8;4;10;6;22;2;0;6;14;4;12;8;2;0;6;0;0;6;10;14;2;16;10;6;0;8;6;8;2;8;14;8;0;2;10;4;2;6;12;6;4;4;8;6;4;2;0;0;4;12;0;2;2;6;4;4;2;10;2
#allinillinois;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;26;4;10;8;0;16;18;8;20;0;26;8;22;12;2;28;6;4;4;36;14;26;4;8;20;12;2;2;0;6;6;6;2;20;10;14;2;8;6;0;4;12;8;4;12;0;8;2;4;2;14;22;8;12;6;16;14;8;0;10;6;0;2;4;4;0;18;2;2;0;6;14;14;0;10;2;10;24;4;6;8;4;6;10;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;18;0;8;10;14;10;12;0;8;24;6;14;18;6;18;8;0;10;6;2;18;0;6;8;14;4;4;0;4;2;0;4;8;8;18;6;8;0;10;2;0;4;12;4;2;8;4;8;0;4;6;6;10;8;0;2;0;4;4;2;10;4;2;4;4;4;2;2;4;4;2;0;2;4;10;6;4;0;4;6;10;0;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;16;32;20;10;10;0;20;24;8;8;2;6;20;10;0;6;14;8;4;0;10;8;18;2;6;8;4;4;0;2;10;6;2;0;2;0;16;6;0;0;8;16;4;16;14;12;6;2;6;4;0;10;6;8;0;4;2;6;12;0;4;2;6;0;4;2;6;4;8;0;0;8;6;14;2;16;2;8;14;14;0
el;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;12;0;0;0;0;66;0;0;10;0;0;0;0;0;48;0;0;2;0;46;6;0;0;0;0;0;0;0;40;0;0;6;0;0;0;40;0;0;44;2;0;4;2;2;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;2;0;0;0;0;0;0;6;0;38;2;0;0;0;0;0;0;0;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;24;52;4;10;0;2;4;12;10;6;8;12;8;0;28;4;8;12;0;4;2;16;8;14;8;8;8;0;8;0;0;14;4;0;0;2;10;0;2;4;4;2;4;8;26;2;0;8;4;4;6;4;2;0;6;14;4;4;4;8;0;6;2;6;4;2;6;10;0;2;2;10;6;6;4;6;4;2;10;6
para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;66;0;0;12;0;0;0;0;0;54;2;2;0;0;56;6;0;0;0;0;0;0;0;38;0;0;4;0;0;0;28;0;0;52;2;0;4;0;4;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;0;2;0;0;8;0;40;8;0;0;0;0;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;10;8;10;10;8;4;2;14;0;4;22;6;4;4;6;8;6;2;0;10;2;64;10;2;8;4;2;4;0;10;2;6;6;12;2;8;4;0;2;4;10;10;2;2;2;0;0;0;4;2;0;2;2;10;6;4;6;4;2;8;2;2;0;8;2;0;8;0;4;0;0;0;0;2;12;6;4;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;8;20;0;4;22;10;12;6;0;20;6;0;10;10;10;6;0;6;8;34;0;16;10;2;6;0;4;4;6;0;2;2;0;18;6;0;2;6;8;6;8;8;10;6;2;0;2;0;2;6;12;0;0;10;4;4;4;10;6;2;2;4;2;4;4;2;0;0;2;2;4;2;8;4;14;12;6;0
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;18;0;8;10;6;16;0;6;22;10;0;14;10;4;18;0;4;6;14;2;4;16;12;10;0;14;8;0;4;14;2;0;6;6;0;0;16;8;0;8;10;20;4;2;8;14;2;4;6;12;0;6;4;8;0;2;24;10;4;2;4;0;2;0;6;0;0;4;6;6;4;0;8;2;2;8;12
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;16;6;12;8;22;12;6;6;0;6;6;4;0;0;12;10;10;2;8;16;10;4;0;12;6;12;2;12;14;0;4;6;0;2;0;16;2;8;0;0;4;24;6;0;10;12;6;4;0;6;8;4;2;2;8;0;2;2;6;2;2;14;2;0;8;4;12;4;8;8;6;6;2;0;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;16;14;0;20;4;14;2;0;8;6;4;4;0;16;6;8;4;4;10;10;4;0;8;4;4;4;8;0;0;6;2;0;4;4;8;2;10;16;2;0;12;0;10;0;12;8;4;0;2;4;4;0;0;8;2;12;4;2;6;6;6;4;0;2;2;2;2;2;0;2;6;8;6;0
los;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;44;0;0;0;0;42;8;0;0;0;0;0;0;0;32;0;0;6;0;0;0;26;0;0;42;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;0;0;4;0;24;6;0;0;0;0;0;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;22;8;10;14;8;8;0;4;14;4;10;0;12;8;2;4;10;18;2;10;0;14;0;12;2;10;4;0;2;4;0;2;6;8;2;6;0;0;6;4;8;4;6;8;8;2;0;4;2;2;0;0;0;2;10;6;8;2;6;4;8;0;8;4;8;10;10;16;2;6;2;0;4
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;0;10;6;0;8;4;0;14;0;6;0;24;2;4;0;0;4;0;4;4;2;4;0;0;0;24;2;0;0;14;2;6;6;4;8;2;6;2;4;0;0;2;14;0;2;4;4;6;8;4;4;0;10;2;0;4;0;2;0;2;4;0;0;0;0;0;8;18;6;8
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;8;4;12;6;8;6;4;4;10;6;8;6;0;0;4;6;8;4;2;0;8;4;6;8;6;0;10;8;10;6;0;6;2;0;2;4;8;2;4;4;20;2;0;8;12;4;0;2;6;0;0;6;2;4;0;2;8;6;6;0;2;2;6;2;2;2;4;0;0;4
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;14;4;0;8;8;14;6;0;0;18;6;4;4;6;0;8;0;8;4;8;2;10;0;0;8;4;0;4;6;4;6;6;8;4;0;2;6;4;0;4;6;8;0;10;0;4;4;2;4;16;20;2;6;0;8;2;6;0;0;2;4;6;2;8;40;2;10;4;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;0;0;10;4;0;0;18;6;0;8;12;4;10;2;0;0;0;2;16;6;4;0;2;2;0;10;2;4;8;2;8;0;6;4;0;2;2;12;6;0;0;4;6;0;2;6;2;0;2;6;4;2;2;4;2;0;6;4;2;0;2;2;2;2;8;2;0
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;0;2;6;4;2;0;2;18;0;4;2;6;0;12;0;14;2;8;2;2;44;0;2;10;0;2;2;6;2;2;2;2;16;6;2;6;8;2;6;2;0;6;6;2;2;0;8;8;4;6;4;0;2;2;6;0;4;4;2;8;4;10;10;2;2;2;2
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;6;0;4;0;6;14;8;0;2;10;0;2;0;4;4;4;0;4;2;0;4;4;0;2;0;12;6;16;12;2;2;2;6;4;2;6;4;6;0;4;4;16;4;2;4;0;12;2;2;2;6;0;4;0;4;2;18;2;6;2;2;6;6;2;4
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;8;0;6;4;4;4;12;8;16;6;0;4;0;0;6;2;6;0;6;2;0;0;6;4;4;0;6;4;6;4;8;6;4;4;0;4;0;2;0;2;2;8;2;4;4;2;4;2;4;4;0;0;0;2;2;2;6;2;2;12;4;2;6
las;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;10;0;0;0;0;0;0;0;28;0;0;4;0;0;0;30;0;0;36;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0;2;0;32;6;0;0;0;0;0;0;0;0;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;4;18;0;2;2;10;0;4;6;10;8;0;14;4;8;2;6;0;0;2;4;0;2;10;4;2;4;0;8;0;8;8;10;4;0;0;0;0;4;6;0;0;2;2;2;4;0;4;2;4;2;4;0;4;2;6;6;10;2;6;2;0;2;2
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;14;10;4;6;4;2;6;2;0;6;8;2;0;2;4;0;4;4;0;0;2;4;4;8;4;0;2;4;2;14;2;4;4;2;0;2;0;2;2;2;2;0;2;2;2;4;6;2;4;0;2;4;2;4;0;2;2;4;4;8;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;12;0;4;2;0;2;8;0;4;6;4;0;6;0;0;0;8;0;2;4;2;8;0;4;4;0;4;4;2;0;2;0;4;0;2;4;2;0;2;6;2;2;0;4;6;8;4;8;0;0;2;2;6;2;2;4;2;6;4;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;4;8;2;0;2;8;0;4;4;0;0;4;4;0;0;8;0;0;2;4;8;0;0;4;2;0;0;0;4;0;2;2;2;6;0;2;4;4;4;2;2;2;0;4;0;0;2;4;0;2;0;2;0;4;2;16
una;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;32;0;0;2;0;0;0;22;0;0;44;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;2;0;0;8;0;24;4;0;0;0;0;0;0;0;0;0;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;12;2;4;8;8;0;8;0;10;2;6;4;2;4;2;0;0;6;4;0;6;2;2;4;6;4;4;0;20;2;6;2;2;4;2;0;6;2;0;4;4;2;0;6;2;0;2;4;0;6;6;0;4;4;2;4;4;2
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;10;2;8;0;0;4;6;2;4;4;0;2;8;0;2;2;8;2;2;4;6;2;2;0;10;8;4;6;4;0;2;0;4;6;2;4;6;2;4;8;2;2;0;4;0;4;2;4;8;4;6;4;2;2;4;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;2;0;4;0;2;2;0;14;4;0;0;4;4;2;8;0;12;2;2;0;0;2;2;2;2;0;2;2;2;20;0;2;0;4;4;4;0;0;0;0;0;2;6;4;0;2;2;2;2;8;2;2
daily;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;6;0;8;0;2;2;4;0;0;4;4;0;0;0;0;0;4;0;6;4;2;4;4;2;6;4;0;0;0;2;0;2;2;0;0;0;2;4;0;0;6;0;0;2;2;0;0;2;0;0;4;2;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;2;0;2;4;4;4;0;6;0;0;6;4;0;0;4;0;4;4;2;2;2;2;10;0;4;0;2;4;4;0;6;6;2;6;0;0;2;4;2;2;0;4;4;0;0;2;2;8;6;2;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;4;4;2;2;8;2;0;4;2;0;4;0;2;2;4;2;2;2;2;16;6;4;0;2;0;0;2;0;6;0;4;12;2;0;2;0;4;8;6;2;0;4;2;6;0;12;0;2;4;0;4;0
nation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;2;18;0;0;8;2;0;0;6;2;4;0;6;0;2;4;4;6;0;2;0;4;0;4;2;2;0;2;6;4;2;2;2;8;6;0;2;0;2;2;4;0;0;0;2;0;0;0;2
illinoisans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;0;6;4;0;2;2;0;0;4;6;2;2;10;2;8;4;2;4;4;6;4;2;0;2;4;4;4;0;10;4;2;6;2;2;4;0;4;0;2;0;4;6;4;2;2;2;6;4;2
un;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;30;0;0;26;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;4;0;28;2;0;0;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;10;4;0;0;0;0;0;6;4;8;4;0;2;6;2;2;4;0;4;4;4;0;4;12;2;0;0;6;2;6;0;0;2;10;2;2;0;0;0;2;4;0;4;4;2;0;0;4
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;2;0;0;6;6;4;0;0;0;0;2;0;0;4;0;4;0;0;0;2;8;6;0;0;2;2;0;0;2;0;2;2;0;0;0;0;0;2;0;2;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;0;4;0;2;0;2;4;0;4;2;4;20;2;0;10;6;2;0;2;8;4;4;2;8;0;2;4;2;4;0;2;2;6;0;6;0;2;6;2;4;8;0;0;6;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;6;0;22;4;10;4;2;2;2;6;0;0;0;8;6;0;0;0;6;8;0;2;2;2;0;0;6;8;0;2;8;0;0;2;2;6;2;0;0;6;10;2;4;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;6;4;6;2;4;0;0;10;6;2;2;12;2;6;0;2;6;0;2;4;6;4;6;0;4;0;0;4;0;0;0;2;2;2;0;0;6;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;2;2;4;6;2;2;0;10;4;0;0;4;6;4;4;0;4;10;4;0;2;2;0;4;6;0;0;2;0;0;0;2;2;6;4;2;0;0;0;0;4;0
por;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;2;0;0;0;0;22;6;0;0;0;0;0;0;0;0;0;0
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;4;2;14;0;8;2;0;0;2;0;0;4;2;0;0;4;6;10;0;4;8;0;0;6;0;0;0;0;0;2;2;4;0;0;2;2;0;16;2;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;4;8;2;6;2;4;4;6;2;6;4;0;2;6;2;4;4;4;4;2;2;4;4;0;2;2;0;4;0;0;6;4;2;0;2;0;8;0
es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;8;0;24;4;0;0;0;0;0;0;0;0;0;0
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;2;2;2;0;6;4;2;0;0;4;4;0;0;6;0;0;0;2;14;0;2;4;0;2;4;4;2;2;2;0;2;0;2;0;0
proud;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;0;0;0;2;4;4;0;6;0;2;0;0;2;2;2;0;0;4;6;2;0;0;2;4;0;4;0;0;2;0;2;2;2
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;4;6;0;0;0;0;0;4;4;2;2;4;2;0;2;2;6;0;2;0;2;4;4;2;0;0;4;0;0;2;4;10;6;2;4
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;8;6;6;0;0;4;4;4;0;4;4;8;4;4;4;2;6;4;0;0;4;2;4;2;2;0;6;0;4;0;2;0;8;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;4;4;2;2;2;2;2;0;2;8;0;2;4;0;2;2;0;0;0;4;0;6;0;2;2;2;0;0;10;4;8;0
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;4;4;0;2;4;12;4;0;10;10;0;0;0;0;4;0;0;0;4;0;4;0;0;2;2;4;8;18;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;2;0;4;0;4;0;0;2;6;2;0;4;0;0;6;2;0;2;0;2;8;4;0;2
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;4;2;2;0;0;4;0;0;2;4;4;0;0;4;0;2;0;4;4;0;2;6;2;4;2;4;2;0;0;2;2
