;americans;act;president;action;house;#justiceinpolicing;police;american;people;brutality;congress;senate;trump;capitol;full;injustice;justice;supreme;communities;take;country;nationwide;racial;covid19;health;lgbtq;tune;george;secure;protect;reporters;democrats;floyd;together;america;progress;lives;passing;historic;violence;real;leader;across;pass;victory;courts;thank;#heroesact;calling;letter;bigotry;#familiesfirst;legislation;@housedemocrats;ensure;live;end;commitment;coronavirus;mcconnell;vote;black;finally;law;rights;combat;workers;stop;clear;court;square;committed;shameful;shocking;#juneteenth;statement;ruling;discrimination;message;nation;et;may;deserve;step;economic;testing;human;todays;presidents;killed;confront;bold;americas;men;admins;response;care;passed;crisis;confederacy
congress;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;2;2;2;2;4;2;0;0;0;4;2;4;2;0;2;2;0;2;0;2;2;0;2;2;0;2;2;2;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;2;0;0;2;2;0;2
senate;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;6;4;0;0;4;6;4;0;2;2;2;0;4;2;2;2;6;2;6;0;0;4;6;4;10;0;2;0;8;4;4;0;2;6;0;2;0;4;2;2;6;6;0;6;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0
trump;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;0;0;4;2;0;0;2;2;0;0;0;0;2;0;0;0;4;0;2;0;4;2;0;0;0;2;2;0;2;2;0;4;2;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;8;2;4;2;2;0
capitol;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;0;0;0;0;0;10;6;2;0;14;2;4;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0;10;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;0;4;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;4
full;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;0;2;2;2;0;0;0;0;0;0;0;0;4;6;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;4;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
injustice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;8;2;18;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;2;2;0;0;6;0;0;0;0;0;2;0;0;0;2;2;0;0;6;0;0;0;2;4;2;0;0;4;0;0;0;0;0;0;2;2;6;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;2;0;0;0;0;0;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;0;0;0;2;10;10;0;2;0;8;2;0;2;2;4;4;2;2;0;0;2;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;0;2;4;2;0;0;0;2;0;0;0;2;2;0;0;0;0;0;2;2;0;10;12;2;0;0;0;2;0;0;0;0;2;2;2;2;2;2;0;2;4;0;0;0;2;2;6;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0
communities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;2;4;0;0;2;2;0;2;0;2;4;2;0;0;0;2;0;0;2;0;2;2;0;0;0;0;2;0;0;0;2;0;0;4;0;0;0;0;2;2;0;4;0;2;0;2;0;0;6;0;2;0;0;0;0;4;0;0;0;0;2;0;0;0;2;0;2;0;2;0;4;0;2;0;4;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;2;2;2;0;2;2;0;4;0;2;2;2;0;0;0;0;4;0;0;0;4;2;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;4;10;0;0;2;0;2;2;2;0;0;0;2;0;0;8;2;0;4;2;0;2;2;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0
nationwide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;4;2;0;2;2;2;2;4;0;2;2;2;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;2;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;4;0;2;2;0;0;2;2;0;2;0
racial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;2;0;0;0;0;2;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;0;6;0;0;0;0;4;2;0;0;4;0;0;0;0;0;0;2;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;6;2;4;0;0;2;6;2;4;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;4;0;0;2;0;0;0;2;6;0;2;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;2;2;2;0;2;2;2;0;2;2;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;2;2;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;2;0;4;0
lgbtq;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;0;0;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;4;2;0;2;2;0;2;0;0;0;0;2;0;2;0;0;2;0;0;0;2;6;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
tune;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;10;4;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0
george;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;14;0;0;0;2;4;6;2;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2;0;2;0;0;4;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;2;2;6;0;4;0;0;0;0;0;2;0;0
secure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;4;2;4;2;6;2;0;2;0;2;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;2;0;0
reporters;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;0;0;2;0;0;2;0;0;2;4;0;0;0;2;2;0;0;0;0;0;0;0;4;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0
floyd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;6;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;4;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;2;2;6;0;4;0;0;0;0;0;2;0;0
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;2;2;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0
progress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;2;0;0;2;0;0;0;0;4;0;0;0;0;0;2;4;0;2;2;0;4;0;0;0;0;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;0;0;2;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;2;2;0;2;2;0;2;0;0;0;0;0;0;0;2;4;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
passing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0
historic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;2;2;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;0;4;0;2;0;0;0;0;0;2;0;0
violence;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0
real;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0
leader;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;0;6;2;4;0;2;0;0;0;0;2;0;0;8;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;0;2;0;0;8;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
pass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;2;2;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0
victory;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;2;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0
courts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;0;0;2;2;0;2;2;0;0;0;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;2;0;0;0;0;0;0;2;2;6;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
#heroesact;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;0;0;0;2;0;0;0;0
calling;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0
letter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
bigotry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;0
#familiesfirst;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;2;0;0;0;2;0;0
legislation;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;6;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0
@housedemocrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
commitment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;2;0
mcconnell;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
vote;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0
black;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;2;8;0;4;0;0;0;0;0;0;0;0
finally;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0
rights;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;2;0;2;0;0
