;president;trump;states;united;people;great;new;american;house;man;news;democrats;national;government;help;media;world;white;state;thank;country;fbi;court;federal;administration;best;party;nothing;senate;history;justice;york;big;good;fake;obama;republican;congress;important;donald;americans;former;presidential;love;article;police;department;military;washington;investigating;usa;china;left;election;supreme;final;working;year;2016;team;job;bad;lot;committee;report;security;million;totally;end;night;complete;strong;campaign;called;amazing;away;week;support;nfl;information;bill;fire;investigation;money;may;thing;death;law;attack;proud;killed;take;shot;looking;place;press;taking;game;family;political
news;0;0;0;0;0;0;0;0;0;0;0;6;4;6;0;10;4;6;6;2;4;2;0;4;4;0;0;0;0;0;4;4;4;0;38;2;2;0;0;4;2;4;6;0;4;0;8;2;4;6;0;2;6;4;0;0;0;0;8;0;2;0;0;0;2;2;0;2;8;0;2;0;4;2;0;0;4;2;0;0;0;2;4;4;4;2;0;0;4;0;0;0;0;2;4;0;2;2;0;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;2;6;6;4;0;4;0;0;2;0;4;4;4;0;12;12;12;6;4;4;4;0;8;4;6;0;2;4;0;2;4;0;2;0;4;2;2;2;2;2;10;2;2;0;2;0;4;0;2;2;0;0;0;0;0;4;2;2;2;0;2;4;0;0;2;0;0;0;2;0;0;4;0;2;2;0;2;0;0;4;0;0;0;2;0;0;0;4
national;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;4;2;4;2;0;8;0;2;0;4;6;2;0;0;2;0;6;0;0;0;10;0;0;4;4;6;4;0;0;0;2;4;2;4;2;2;4;2;0;0;2;0;4;2;2;0;0;10;4;12;0;2;6;0;2;2;6;2;0;2;0;0;0;0;0;2;6;0;2;0;0;2;0;4;0;2;0;0;2;0;2;2;2;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;4;2;0;0;2;2;18;2;2;2;4;0;0;0;2;4;6;4;2;2;2;2;0;2;2;4;0;2;4;4;0;2;2;0;0;2;4;2;0;6;0;4;0;0;0;0;2;2;2;2;0;0;4;0;2;4;2;0;0;2;4;0;2;6;6;2;4;2;0;2;0;2;0;2;2;0;4;4;0;0;0;4;2
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;4;0;6;4;2;4;4;8;2;2;2;2;2;0;2;6;4;0;2;4;0;4;0;2;2;2;4;2;0;0;0;2;4;0;0;2;0;4;0;0;0;0;4;0;0;4;2;4;2;0;2;2;4;2;0;0;2;0;4;4;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;2;0;4;0;0;0;2;2;4;0;10;0;4;0;0;6;2;0;8;0;0;0;0;0;4;2;2;2;2;2;0;0;2;2;0;0;2;4;2;2;0;0;0;2;0;0;0;0;0;0;0;2;2;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;2;0;0;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;12;0;0;0;0;6;0;0;0;6;0;0;2;0;2;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;6;6;4;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;4;0;0;2;0;0;0;0;0;2;0;0;0;2;0;4;0;2;2;6;0;0;0;2;2;2;0;0;0;0
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;4;0;0;2;2;0;0;0;2;0;2;4;0;0;0;6;0;2;0;0;0;0;2;0;4;2;0;0;2;0;0;0;0;0;0;2;2;0;2;0;6;2;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;4;0
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;2;0;0;2;4;4;0;2;2;2;0;2;2;2;0;2;0;0;8;0;2;0;6;10;0;0;2;0;6;2;2;2;4;0;0;4;0;0;0;0;4;2;0;2;0;0;0;4;0;4;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;2;2;0;4;0;2;4;0;0;2;0;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;2;6;2;0;10;8;0;0;2;6;4;4;0;0;0;2;2;2;0;2;0;0;0;0;0;2;0;2;2;2;0;4;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;6;0;2;0;0;2;2;0;2;0;2;0;0;0;6;0;0;4;2;2;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;2;0;0;2;2;4;2;0;2;2;0;2;2;2;4;0;0;0;0;2;0;6;4;8;2;2;0;0;0;2;0;2;4;0;0;0;0;0;2;0;0;0;4;2;0;2;0;0;4;0;0;0;0;2;0;0;2;0;4;0;2;2;0;0;0;2;0;0;0;2;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;4;2;0;2;0;0;0;2;2;10;2;0;0;0;8;0;4;10;0;0;0;4;0;0;2;2;2;0;4;2;0;2;2;8;0;2;4;2;2;0;2;0;2;2;0;2;0;0;0;4;10;0;0;0;0;4;2;0;6;0;2;2;0;2;0;0;0;4
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;0;2;2;10;0;2;2;0;2;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;2;0;2;2;2;4;2;4;4;6;0;0;2;4;4;0;2;4;8;0;2;6;0;0;0;4;2;0;2;2;2;0;4;2;0;2;0;0;2;0;0;2;2;2;2;2;0;2;0;2;0;0;8;8;0;2;2;0;0;2;0;0;0;0;0;2;2;0;4;0;2;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;2;24;4;6;2;0;0;0;0;0;4;2;0;0;6;0;0;2;2;0;2;0;2;0;2;0;0;2;0;0;0;2;0;2;2;2;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;2;0;2;0;0;4;0;0;0;6;2;0;4;0;2;4;0;0;2;2;0;4;2;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;0;2;0;2;0;0;0;0;0;8;0;2;0;4;0;2;0;0;0;0;0;2;2;0
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;2;4;8;0;0;2;22;0;0;4;2;0;2;0;0;0;0;2;0;0;2;0;2;6;0;0;0;0;2;0;0;4;0;2;0;2;0;6;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;0;0;2
nothing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;0;2;0;4;2;0;2;2;0;0;0;4;0;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;2;2;0;0;0;2;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;2;0;2;4;2;4;0;2;0;2;0;0;0;2;0;2;0;2;0;2;0;2;4;2;0;2;0;0;0;0;8;4;0;4;0;0;0;2;0;0;2;0;0;2;2;0;2;8;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;2;2;4;2;2;0;0;2;0;2;0;0;2;0;0;2;0;2;2;2;2;2;0;2;0;0;2;0;2;2;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;2;0;0;0;2;2;2;2;2;0;0;2;0;0;0;6
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;4;0;2;0;4;0;0;16;0;0;2;0;0;0;0;8;0;0;2;0;0;0;0;0;2;0;0;0;0;2;0;2;0;2;2;2;0;0;2;2;4;0;0;4;2;2;0;0;0;0;0;0;0;0;2;0;4;0;0;2;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;0;2;0;2;0;2;4;0;2;0;0;4;2;0;2;0;0;2;2;0;0;0;0;0;4;2;2;0;0;0;2;4;0;0;4;2;0;0;2;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;2;0;4;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;8;2;0;2;0;2;2;0;0;0;0;4;0;4;0;0;4;8;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;0;2;0;2;0;4;0;0;0;2;0;0;2;0;2;2;0;2;0;0;6;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;0;2;0;2;0;0;2;2;2;2;2;0;0;4;0;2;2;2;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;2;2;6;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;6;2;0;0;0;0;0;0;4;0;0;0;2;2;0;0;4;0;2;0;0;0;0;2;4;0;0;0;0;0;2;0;2;2;0;0;2;0;0;0;0;0;2;0;2;0;0;2
obama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;2;0;0;0;0;0;2;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;4;0;0;2;0;2;0;0;0;0;2;4;2;0;0;0;4;0;0;0;0;4;2;0;0;2;0;0;4;2;4;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;2;0;0;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;2;0;0;8;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;2;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;6;0;0;4;0;4;4;0;2;2;2;2;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;4;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0;6;2;2;0;2;0;2;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;4;0;4;0;4;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0;0;2;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;6;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;6;0;0;6;0;2;0;6;0;0;0;2;2;0;0;0;2;8;0;0;0;0;2;0;2;2;0;2;4;0;0;0;0;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;12;0;0;0;0;12;0;0;2;2;6;0;0;4;0;2;0;0;0;4;0;0;0;2;0;0;4;0;0;4;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;2;4;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4;8;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;2;4;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;2;0;0;2;2;0;4;0;0;0;2;0;4;2;0;0;0;4;0;0;2;2;0;4;2;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;0;2;0;2;0;0;0;0;2;0;0;0;0;2;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0;4;0;0;2;2;2;0;2;0;0;0;0;0;2;4;2;4;0;0;2;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;2;0;2;0;0;0;0;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;2;0;0;2;0;2;2;2;2;2;2;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;8;0;2;0;0
investigating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;2;2;4;0;0;4;0;0;0;2;0;0;0;0;0;2;2;0;0;6;2;2;0;2;0;4;0;0;0;4;0;0;0;0;2;2;0
usa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;4;0;0;0;0;0;0;0;0;2;2;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;0;0;2;0;4;0;0;2;0;0;0;0;0
china;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;4;0;0;0;2;0;0;2;0;4;0;0;2;2;0;0;2;2;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;10;0;0;0;0;2;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;4
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0
final;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;8;6;0;0;0;0;0;0;4;0;0;2;0;0;4;0;0;4;0;0;0;10;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;2;2;0;0;6;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;0;0;0;2
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
team;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;4;0;0;2;0;0;0;0;0;0;0;4;0;2;0;0;4;0;0;2;0;0
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;2;4;0;0;0;0;0;4;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2
bad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0
lot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;2;0;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;4;2;0;0;2;0;4;0;0;0;0;0;0;4;2;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;2;0;0;0
report;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;4;4;2;0;0;0;2;0;0;0;2;2;0;2;0;0;2;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
