;#covid19;state;connecticut;news;live;briefing;updates;county;residents;response;new;provide;health;people;order;efforts;positive;tested;connecticuts;happening;update;@ctdph;states;public;continue;#connecticut;executive;latest;medical;discuss;working;actions;signed;emergency;hospitals;help;online;take;stream;conference;morning;work;info;yesterday;best;ct;tonight;hospital;#coronavirus;students;great;tests;schools;hold;businesses;call;home;guidance;#connecticuts;thank;year;office;thanks;soon;local;healthcare;laboratory;important;additional;taking;testing;community;administration;ensure;stay;lamont;support;town;join;good;workers;case;statewide;service;staff;employees;everyone;families;heres;holding;federal;#ctsots;check;business;preparedness;bringing;system;cases;spread;officials
@ctdph;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;14;2;12;4;4;2;0;4;0;10;4;2;0;2;2;4;2;2;0;0;2;6;4;18;0;0;12;4;8;0;0;4;4;4;0;0;0;2;0;2;4;34;0;2;0;12;0;2;2;0;0;0;0;0;2;2;10;0;0;2;0;0;0;0;2;2;0;4;0;4;2;0;14;2;6
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;4;8;6;0;0;4;10;6;0;4;0;6;4;0;2;0;8;2;2;2;0;0;0;0;0;2;2;4;2;6;2;0;2;0;2;4;8;0;0;2;0;0;0;8;0;4;4;2;2;4;0;0;0;0;2;0;0;2;0;2;2;4;4;2;6;2;2;0;2;0;2;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;12;10;6;4;0;0;10;14;12;0;4;0;10;0;2;4;2;8;0;2;6;2;0;4;0;0;0;10;2;6;4;2;4;2;0;0;0;2;4;4;2;2;2;0;4;0;0;0;0;4;4;2;4;0;2;2;2;4;2;0;0;2;0;4;4;0;2;4;0;14;0;2;0;10;6
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;6;0;4;4;2;4;8;4;0;6;0;4;2;8;0;2;0;6;2;2;12;8;0;2;12;0;2;4;6;8;0;2;4;8;2;0;6;4;2;6;2;2;4;2;0;8;4;0;6;0;0;4;4;2;4;2;6;4;2;2;0;0;2;0;2;4;2;0;2;6;0;0
#connecticut;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;4;2;14;2;0;0;4;2;4;2;0;8;0;4;10;0;0;6;0;6;0;0;8;2;8;2;2;2;6;0;2;0;0;0;0;6;0;10;2;4;12;4;0;2;0;2;0;0;0;0;0;0;6;0;0;2;0;2;2;2;0;0;0;2;0;6;10;0;6;2;2
executive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;16;32;4;2;4;2;6;2;0;4;0;0;2;2;0;6;0;2;2;0;0;8;0;2;0;6;8;0;2;2;0;0;4;0;10;0;0;4;6;0;2;4;2;2;2;2;0;0;2;4;0;4;2;4;2;0;0;8;0;0;0;0;2;2;0;0;0;8;0
latest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;30;0;4;0;0;0;0;6;2;2;6;14;0;12;2;0;2;10;2;8;0;0;2;4;10;0;4;0;4;4;0;0;2;0;2;4;2;6;0;2;2;4;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;2;0;8;4;0;0;0;8
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;6;6;0;0;2;6;2;8;6;0;2;2;0;8;0;0;2;0;0;0;2;6;0;4;0;4;0;0;2;0;0;8;2;0;2;4;8;6;2;4;2;4;8;0;2;0;6;4;2;0;2;0;0;0;0;2;0;0;12;2;2;2;2;2;2;4
discuss;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;4;2;2;10;12;0;4;0;2;2;6;0;4;0;0;0;0;4;0;8;0;0;2;0;0;2;0;0;4;0;4;0;0;2;2;0;2;0;0;4;0;4;2;0;0;0;0;0;2;0;2;2;2;12;2;0;0;2;0;0;0;0;0;10
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;6;4;0;2;0;0;0;12;0;2;4;4;2;2;0;0;0;2;0;0;6;0;6;4;0;6;0;2;0;2;0;0;0;2;2;2;0;4;6;6;2;0;0;0;0;6;0;0;0;0;6;2;0;6;0;0;4;0;0;4;0;0;2;0;0;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;0;0;2;16;2;0;4;2;4;0;0;0;4;0;2;0;0;2;6;8;0;0;2;2;2;0;0;4;0;4;0;2;0;0;4;20;0;2;4;0;0;0;0;2;0;0;0;2;2;0;0;4;0;0;6;0;0;0;2;0;2;0;0;0;10;4
signed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;4;2;8;0;0;2;0;2;4;0;0;8;0;0;2;0;0;4;0;2;2;4;4;0;2;2;0;2;4;0;10;0;0;4;8;0;0;8;0;2;0;2;2;0;4;2;0;0;2;0;0;0;0;8;0;0;0;2;0;6;0;0;0;8;0
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;10;2;6;0;0;2;2;4;2;2;2;2;0;0;0;0;2;4;4;0;4;2;0;0;4;0;0;4;0;0;0;2;0;2;0;4;0;0;2;8;2;0;2;0;0;0;0;0;0;2;2;0;6;4;0;0;0;6;0;10;0;0;2
hospitals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;0;10;0;0;2;2;4;12;6;0;0;0;2;0;0;0;4;0;2;4;2;0;6;0;2;4;0;0;0;2;0;2;2;12;0;0;4;0;2;4;2;2;2;2;12;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;6;2;4;2;0;0;0;4;0;0;2;0;2;0;2;8;4;0;4;0;0;2;4;2;0;6;2;2;0;4;0;0;4;0;0;2;0;2;0;2;2;4;0;4;0;0;0;0;0;2;0;4;0
online;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;26;6;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2;2;0;0;0;0;14;2;0;0;0;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;2;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;4;0;0;2;0;0;4;2;0;0;0;0;2;0;4;4;0;2;0;2;0;0;0;2;0;2;4;0;0;4;2;0;0;0;2;2;0;0;2;2;0;0;0;4;4;0;2;0;0;0;2;0;4;0;0;2;12;2
stream;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;10;0;0;0;0;6;2;2;0;0;0;2;0;0;4;0;0;12;0;2;6;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;4;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;2;0;0;0;0;2;0;12;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;14;0;2;4;0;0;0;2;0;0;0;0;2;0;16;2;0;0;4;4;0;0;0;0;4
morning;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;2;8;0;0;0;0;8;0;4;0;4;0;0;0;2;8;0;4;2;4;2;0;6;2;0;0;0;0;0;2;12;4;2;0;0;0;0;0;6;4;2;8;4;0;0;0;0;4;0;0;0;4;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;2;0;4;4;0;2;0;0;2;4;2;0;4;0;2;2;0;0;4;0;2;0;2;0;0;2;4;0;0;4;0;0;4;4;2;0;0;10;4;2;6;0;0;0;0;2;2;0;0;2;0;0;0
info;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;2;0;0;6;4;2;6;0;4;0;2;0;0;0;4;2;4;0;0;2;4;0;2;0;0;0;0;4;0;0;2;2;0;2;0;0;2;0;2;2;2;0;0;12;2;2;2;0;2;0;2
yesterday;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;24;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;20;0;0;0;2;0;0;0;0;0;0;0;0;0;18;2;0;0;0;0;2;0;0;0;0;0;0;26;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;2;0;0;4;0;2;2;4;2;0;4;4;6;0;2;2;0;0;2;0;0;0;6;2;0;6;0;2;2;0;2;2;0;0;2;0;2;0;2;0;0;0;2;2;4;0;0;0;0;0;0
ct;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;0;6;0;2;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;0;2
tonight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;2;0;0;0;0;4;4;2;0;0;2;0;2;0;4;2;0;0;4;0;2;2;4;2;0;4;0;0;0;2;0;0;4;2;4;2;0;0;2;0;0;0;2;0;0;0;0;2;2
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;2;4;2;0;4;0;0;2;0;0;0;0;2;2;2;4;0;0;2;0;2;2;2;2;2;4;4;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2
#coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;4;0;0;0;6;0;2;0;0;0;0;2;2;14;0;0;0;6;0;0;6;0;2;0;0;0;4;0;0;2;0;2;2;0;0;0;4;4;0;0;0;4;0;0;6;2;4
students;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;2;0;2;0;0;0;4;2;0;2;0;2;0;4;0;0;0;6;0;0;2;0;0;0;0;0;0;2;2;0;4;0;2;6;0;0;0;2;0;0;0;0;2;0;0;0
great;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;8;0;2;0;0;0;0;0;2;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0
tests;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;18;0;4;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;24;0;4;0;0
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;4;4;2;0;2;0;4;0;0;0;2;2;0;2;2;0;0;2;2;6;0;6;0;2;2;2;0;0;0;6;0;0;2;2;4;2;0
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;8;0;0;0;0;14;2;0;2;0;0;6;2;0;4;0;0;0;0;4;0;2;0;4;0;0;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;8
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;2;2;2;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;0;0;2;0;4;2;2;0;0;2;2;0;6;0;0;0;0;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;10;0;0;0;0;0;0;0;0;2;0;0;8;0;0;6;2;4;0;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;4;0;4;0;2;0;0;14;0;0;0;0;2;0;4;0;0;0;6;0;2;0;0;0;0;0;2;0;0;2;2;0;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;2;2;0;2;2;0;4;2;0;2;0;0;0;2;0;0;0;0;2;2;0;0;0;2;0;6;2;0;0;2;2;0;2
#connecticuts;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;2;0;0;0;0;8;2;0;6;2;0;0;0;2;2;0;2;4;0;0;0;0;0;0;0;0;0;10;0;0;0;2;4
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;0;0;0;0;6;4;4;0;0;4;0;2;2;6;0;2;4;6;2;6;0;0;0;0;0;4;2;0;0;0;0;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;2;2;0;2;0;2;0;2;0;4;2;0;2;4;0;2;0;0;0;0;0;0
office;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;2;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;0
thanks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0
soon;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;4;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;4;0;0;2;2;0;2;0;0;0;0;0;0;4;0;0;6;2;0;2;2;0;0;0;4;0;6
