;great;president;united;states;trump;people;new;american;house;national;federal;obama;government;help;working;state;election;party;americans;democrats;white;thank;year;world;news;administration;man;police;department;act;america;york;city;good;court;donald;republican;bill;history;love;best;left;country;fbi;campaign;called;senate;week;media;end;committee;former;washington;huge;job;security;2016;radical;russia;times;russian;military;amazing;million;post;texas;team;free;killed;another;justice;thing;supreme;hillary;big;tuesday;clinton;bad;hard;story;money;support;senator;congress;case;death;report;says;number;part;may;following;reserve;signed;book;terrorist;fake;attack;power;political
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;4;8;4;0;0;0;2;4;0;2;2;10;2;2;2;2;4;0;2;6;2;0;2;0;2;4;2;4;0;0;0;4;4;4;0;0;0;4;4;4;2;6;0;4;4;0;0;2;0;2;0;0;0;4;0;0;0;2;0;0;0;18;0;0;2;0;4;0;0;0;0;2;0;2;0;0;0;4;0;2;0;0;2
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;4;4;2;0;2;4;6;10;2;0;0;2;0;0;0;4;6;2;2;0;0;0;0;4;0;2;0;4;2;0;0;0;0;4;0;4;2;2;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;4;6;0;2;0;4;0;0;2;0;4;4;0;2;0;6;0;0;2;0;2;0;0;0;0
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;4;0;0;2;0;0;2;0;2;4;2;2;0;8;8;0;2;0;2;2;0;8;10;2;4;2;2;2;8;4;2;0;4;4;14;2;2;2;16;0;0;0;0;0;2;2;0;2;2;2;0;6;0;0;4;0;0;4;0;2;2;0;0;0;4;4;2;6;2;2;0;0;2;0;0;0;0;2
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;2;0;2;2;2;4;0;0;2;0;4;0;0;0;4;16;0;2;2;2;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;4;0;2;4;0;0;0;0;0;0;0;0;0;2;4;2;0;2;0;2;0;2;2;0;0;2;2;2;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;2;2;0;2;12;2;2;0;2;0;0;0;2;0;2;0;4;8;0;0;0;0;0;2;4;0;0;4;0;2;6;0;4;2;2;0;2;0;4;2;0;0;0;2;2;0;2;0;0;0;2;0;0;4;2;2;2;0;2;0;0;2;0;2;0;0;2;0;0;0;4;0;4;2;0
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;8;2;0;0;0;0;0;0;0;2;2;2;8;0;2;0;2;12;0;0;0;2;2;2;2;0;4;0;0;2;2;2;2;8;0;0;2;2;2;0;0;0;0;0;0;4;0;2;2;0;0;0;0;2;6;0;4;2;0;2;0;4;0;0;0;0;0;0;2;0;0;0;4;0;0;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;6;6;0;0;0;0;6;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;2;2;0;0;2;0;2;0;0;2;2;0;0;0;0;0;0;2;2;0;0;0;2;0;4;0;2;2;2;2;0;2;4;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;0;8;0;0;0;2;0;6;4;0;4;0;0;6;0;0;2;6;2;0;2;0;0;0;4;2;0;2;2;0;0;0;2;2;0;0;0;2;0;0;0;2;4;2;2;6;2;2;0;0;2;0;4;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;2;0;0;4;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;2;0;2;0;0;4;0;0;0;0;0;0;4;2;0;2;2;0;0;0;0;0;0;0;2;0;2;2;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;4;2;0
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;6;0;2;4;0;0;0;0;0;2;2;0;4;0;0;4;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;4;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;4;0;2;0;4;2;0;0;4;2;2;0;4;4;0;0;0;10;0;4;0;2;0;2;0;4;2;2;4;2;2;0;0;0;0;0;0;0;2;4;2;0;2;2;0;0;2;4;0;0;2;0;0;0;0;2;2;2;0;0;0;0;0;0;0;24;0;0;2
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;2;2;2;0;2;0;0;2;0;0;2;0;2;0;0;0;2;2;0;2;2;0;0;0;6;0;4;0;0;2;0;2;4;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;4;2;0;8;4;0;2;0;2;2;0;0;2;2;4;4;0
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;0;2;0;2;0;2;4;0;0;0;0;4;0;0;2;4;0;0;4;2;0;0;0;0;2;0;2;0;2;4;0;0;0;0;0;0;0;0;6;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;6;0;2;0;0;0;2;0;0;0;4;2;2;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;2;2;0;6;0;2;2;2;0;0;4;0;0;0;0;2;0;2;2;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;4;0;2;0;4;0;0;6;0;0;0;4;0;2;0;0;0;10;0;2;2;0;0;0;0;0;0;0;0;0;0;0
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;0;0;2;0;0;2;2;12;6;0;0;0;4;2;0;8;2;0;0;4;2;0;2;2;4;0;0;0;0;2;0;0;0;2;18;0;0;2;0;2;4;0;2;2;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;4;0;2;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;0;0;8;2;2;0;0;2;0;0;2;0;2;2;0;0;0;2;0;0;2;0;2;0;0;0;4;0;0;2;0;0;4;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;4;4;0;2;0;2;2;0;4;0;2;0;0;0;0;6;0
america;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;2;4;2;0;0;6;0;0;0;0;2;0;0;0;0;2;0;0;2;2;2;0;0;0;4;2;0;2;0;0;2;0;0;0;2;0;0;4;0;0;2;0;2;0;0;6;0;2;0;0;0;0;2;0;2;0;0;2;2;0;4;0;0
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;4;2;4;0;0;0;4;0;0;6;0;0;0;0;0;2;8;4;0;0;2;0;6;0;20;2;2;2;2;2;2;2;0;0;0;0;0;0;2;0;2;0;6;2;0;0;0;0;2;0;0;2;0;0;2;0;0;0;2;4;0;2;0;0;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;2;0;0;0;2;0;4;2;0;0;0;0;2;0;0;2;2;0;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;2;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;0;4;0;0;2;0;0;0;0;0;2;2;0;0;0;0;0;0;2;4;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;2;2;0;2;0;2;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;0;2;4;0;2;2;0;0;0;0;2;2;2;8;0;2;0;2;0;0;2;2;0;0;0;2;0;0;0;0;4;0;28;2;0;2;2;0;0;0;0;0;0;0;12;6;0;0;0;2;2;0;0;0;0;0;0;0;2;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;0;2;4;2;2;4;2;0;4;0;8;2;2;0;4;0;0;4;6;0;0;0;0;4;2;2;0;0;2;0;0;4;0;2;4;0;2;2;2;2;2;0;0;0;2;0;0;2;0;0;2;2;2;0;2;0;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;2;0;0;10;0;0;4;2;0;4;0;0;2;2;0;2;0;0;2;0;0;0;2;2;0;4;2;2;4;2;2;2;2;0;0;4;2;2;2;0;0;0;0;4;2;0;0;0;0;0;0;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;2;0;8;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;2;0;4;2;2;0;0;0;0;0;0;0;2;4;0;0;2;0;0;2;0;0;0;0;0;4;0;0;2;0;0;4;0;0;0;2;0;0
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;2;0;2;2;2;0;0;2;0;2;0;0;0;0;2;2;0;0;2;2;2;0;4;2;0;0;2;0;0;2;0;0;0;2;0;2;0;4;0;0;2;2;2;0;0;4;4
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;2;0;0;0;0;2;2;0;0;0;0;0;0;2;4;0;0;0;4;0;0;0;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;2;0;0;0;0;2;0;2;0;2;4;0;0;0;4;0;0;2;0;4;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;0;0;0;0;0
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;0;0;2;0;16;0;4;0;2;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;2;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;2;0;0;0;2;4;2;0;0;2;0;0;2;0;0;0;2;0;0;2;0;2;0;2;0;2;2;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;2;0;4;4;0;4;0;0;2;4;2;0;2;0;8;0;0;0;2;0;0;2;2;0;12;0;0;4;0;2;4;0;0;0;0;0;0;0;2;2;4;0;4;2;0;2;0;0;0;0;4;2;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;6;6;2;0;4;0;4;4;6;6;8;0;2;0;0;0;6;0;0;0;6;0;2;6;2;2;6;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;4
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;2;2;0;2;0;0;0;0;0;0;4;0;0;0;2;2;0;0;0;0;2;0;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;2;0;0;4;0;0
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;2;2;2;0;2;0;4;0;0;0;2;0;0;2;0;2;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;2;2;0;2;2;0;0;0;0;0;0;0;0;2
week;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;2;0;2;0;0;0;2;2;0;4;0;0;2;0;0;2;2;0;2;0;0;0;0;0;2;0;0;2;4;0;2;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;0;0;2;0;0;2;0;0;2;2;0;0;0;0;4;0;0;4;0;0;2;2;4;0;0;2;0;0;0;2;2;0;0;0;0;0;0;0;0;2;10;0;0;0
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;2;0;0;2;6;2;0;2;0;0;4;2;0;0;0;4;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;4;0;2;2;10;2;0;2;0;0;2;0;0;6;0;0;2;4;0;0;2;0;2;0;0;0;0;2;2;0;4;2;0;0;2;0;0;0;0;0;0;0;0;2
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;4;2;4;0;0;2;0;2;0;0;0;0;6;0;0;4;0;4;4;0;2;0;0;0;0;2;0;0;0;6;0;2;2;0;0;2;0;0;0;0;4;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;4;0;2;2;2;6;0;0;4;0;0;4;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;2;0;0;0
huge;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;6;0;0;2;0;2;0;0;0;0;6;0;2;0;0;2;0;0;4;0;2;0;2;4;0;0;0;0;2;2;2;0;0;0;0;0;0;2
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;2;2;0;0;2;0;2;4;0;0;0;0;0;0;2;0;0;2
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;4;0;0;2;0;0;0;0;0;2;2;0;2;0;2;2;0;2;0;0;4;0;0;0;0;2;2;2;0;0;2;0;4;0;0;0;0;0;2
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;0;2;0;2;0;0;4;2;0;2;0;2;2;0;2;4;0;0;0;2;4;2;0;2;2;0;0;2;0;0;0;0;0
radical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;0;0;2;0;0;2;2;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;4;2;0;4;0;2;0;2;0;2;0;0;0;0;2;0;2;2;0;0;0;0;0;2;0;0;0
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;2;2;2;0;0
russian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;6;0;2;6;0;2;0;0;2;0;0;0;0;4;2;2;2;0;0;0;0;2;0;0;0;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;2;0;0;2;4;0;2;2;0;2;2;0;0;2;0;2;0;0;0;2;0;0;2;0;0;0
amazing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;0;0;0;0;2;0
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;2
texas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
