;health;city;toronto;public;covid19;new;community;work;care;housing;distancing;people;safe;continue;staff;working;physical;home;support;stay;together;important;response;food;services;residents;pandemic;take;torontos;social;@topublichealth;spread;medical;protect;provincial;vulnerable;part;workers;help;ontario;access;officer;citys;province;emergency;service;recovery;system;information;provide;data;affordable;live;safely;torontonians;essential;measures;critical;everyone;music;park;local;follow;ensure;shelter;homelessness;call;crisis;learn;government;still;week;cities;streets;place;plan;contact;move;update;free;across;risk;program;childcare;spaces;next;step;supports;good;virus;find;tips;mental;prevent;child;use;staying;units;parks;shelters
distancing;0;0;0;0;0;0;0;0;0;0;0;24;36;34;14;20;184;40;14;44;34;30;12;4;10;14;6;30;8;68;44;62;26;20;10;2;46;6;14;12;4;24;14;10;8;6;4;12;2;6;4;2;4;20;2;10;28;28;16;0;14;0;28;8;16;2;0;4;26;4;8;10;4;18;6;4;6;8;4;2;10;4;8;0;22;8;2;0;10;12;6;22;12;20;0;4;22;4;28;6
people;0;0;0;0;0;0;0;0;0;0;0;0;42;14;22;32;24;12;16;14;12;18;14;8;6;10;22;10;12;4;6;10;14;16;8;18;14;8;14;4;26;6;8;8;6;4;14;14;8;6;18;12;10;36;6;6;4;2;2;0;6;0;4;8;22;26;4;6;2;2;6;4;6;38;4;4;8;24;10;2;18;14;8;0;18;4;14;8;8;10;6;0;2;2;0;10;6;10;16;12
safe;0;0;0;0;0;0;0;0;0;0;0;0;0;34;26;36;32;20;16;36;20;16;18;8;22;26;24;22;8;6;28;18;6;16;4;14;18;20;16;14;14;6;8;16;22;16;4;4;2;2;8;14;2;8;24;14;16;16;26;2;4;6;18;22;10;6;0;12;16;10;10;4;2;16;8;4;8;18;0;8;8;2;8;4;12;2;4;4;4;4;4;12;4;6;10;12;12;4;6;12
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;28;30;26;28;28;18;12;14;14;20;16;12;26;10;12;24;12;6;20;12;24;12;14;8;16;16;6;10;8;14;4;14;18;10;20;4;4;0;4;16;10;14;16;22;0;8;14;12;20;12;8;6;10;12;14;10;4;0;6;4;8;10;8;10;4;8;8;4;0;2;2;2;6;12;4;8;10;10;4;8;2;8;10;12;8
staff;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;12;8;16;4;0;8;14;12;12;22;24;6;12;8;18;10;14;18;18;14;8;10;14;14;8;8;4;14;10;24;6;22;12;18;16;4;6;12;6;6;10;4;4;10;10;12;4;20;30;8;2;6;6;14;8;8;2;2;20;16;22;8;16;6;6;2;16;2;4;12;6;2;2;4;4;4;0;2;4;8;2;12;6;18
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;22;10;10;34;20;18;20;22;12;14;8;4;8;12;14;14;28;18;20;18;22;6;6;12;8;10;16;10;14;12;10;8;14;6;8;6;8;20;20;18;8;20;4;2;6;2;32;18;12;4;2;8;14;10;12;2;6;8;4;8;10;6;4;12;10;14;2;8;4;4;4;4;10;2;0;0;12;10;0;8;6;10;12
physical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;8;34;18;28;10;4;4;10;6;14;8;2;56;40;16;18;8;0;24;6;8;10;2;16;8;4;0;4;4;8;2;4;4;2;4;18;6;8;16;20;12;0;14;0;36;8;10;2;0;4;20;2;8;8;4;18;6;4;4;6;4;2;10;2;8;0;24;6;2;0;16;12;8;26;24;8;0;6;24;2;28;6
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;106;30;8;10;4;8;12;4;32;6;14;16;26;12;24;4;10;22;20;4;8;6;12;2;4;8;4;2;4;0;2;0;10;4;2;12;22;22;6;16;2;0;8;16;0;8;4;4;0;2;0;6;18;0;2;8;2;4;4;2;12;6;8;4;0;2;2;0;4;8;10;4;18;4;4;6;2;30;0;4;4
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;14;18;12;26;46;16;10;14;16;18;14;6;10;2;8;8;6;12;28;6;26;4;16;10;10;12;16;4;14;16;2;6;18;10;8;8;8;8;8;12;4;16;8;14;18;4;30;12;8;2;12;8;8;2;2;4;0;8;2;14;6;4;14;0;0;4;2;12;0;0;12;14;28;2;8;4;6;0;2;4
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;8;6;4;6;12;6;28;2;18;24;24;8;26;2;10;24;12;6;4;8;8;4;0;4;4;4;6;6;4;2;4;8;4;6;16;18;8;16;0;2;6;26;0;4;2;6;0;6;0;8;14;0;6;4;8;6;6;4;8;10;0;4;0;6;0;2;4;6;6;4;14;10;6;6;2;16;0;10;6
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;14;0;4;4;12;18;4;22;4;32;2;16;2;20;38;8;10;2;2;4;10;6;6;6;2;2;8;2;0;4;8;4;8;4;8;16;18;6;8;0;2;8;2;0;6;0;12;10;8;10;0;0;2;2;4;2;0;2;4;2;0;0;6;8;2;4;20;22;0;0;2;2;2;0;2;2;6;2
important;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;2;10;14;6;16;10;8;32;10;4;14;6;12;8;8;4;4;10;2;16;0;4;10;6;8;18;8;6;6;10;18;14;8;4;6;12;14;6;8;20;2;2;4;16;8;16;6;8;6;2;12;2;0;0;8;2;2;8;6;12;6;4;8;16;6;8;12;6;20;18;6;0;8;14;2;8;2
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;12;26;8;30;10;6;8;26;18;8;36;10;6;4;4;12;26;38;4;20;12;12;8;8;22;18;2;2;0;16;4;4;4;10;4;4;4;2;8;12;8;2;16;0;6;4;4;0;0;10;10;4;2;32;6;8;6;6;4;12;4;4;10;0;6;0;0;2;6;0;8;2;8;4;6
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;22;8;2;0;0;8;0;6;0;0;8;2;4;8;0;36;0;2;2;2;8;6;2;8;10;0;4;2;6;6;6;2;4;16;0;0;20;6;10;6;2;22;0;6;0;4;4;0;4;0;2;0;0;4;18;10;0;16;4;0;0;0;14;8;2;6;6;10;0;0;2;0;4;0;6
services;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;10;6;14;38;4;4;12;4;6;12;6;6;8;6;14;8;16;16;22;24;18;6;28;10;4;4;4;4;10;20;8;14;6;0;0;6;2;8;6;4;26;10;0;4;4;4;4;6;0;4;6;2;0;6;6;2;8;0;2;2;4;20;0;6;4;0;10;2;10;10;0;2;4;10
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;10;18;0;8;8;14;4;22;4;12;8;6;16;8;8;6;8;24;4;0;24;4;6;4;0;4;8;10;8;4;2;0;4;6;0;8;8;8;24;4;0;2;2;8;2;6;4;8;2;8;10;14;8;24;12;0;0;6;6;22;0;0;2;0;12;8;0;2;6;0;2;16
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;6;4;6;10;18;24;8;4;8;14;14;6;12;10;12;4;14;22;6;16;20;14;6;8;8;6;0;4;10;6;0;2;2;6;6;2;0;10;0;12;14;2;12;6;10;6;4;12;10;8;8;6;2;8;4;4;6;12;8;4;2;2;4;2;4;6;2;2;2;12
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;22;12;14;6;6;6;14;10;18;4;10;6;4;2;6;10;4;8;2;2;6;4;0;0;8;4;12;10;4;8;0;12;4;6;4;2;2;6;6;4;4;6;14;10;0;10;10;2;6;4;8;2;2;0;6;6;12;10;4;4;8;0;6;4;6;8;8;6;2;8;2
torontos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;48;6;8;10;10;2;2;8;0;50;12;4;6;6;6;8;2;16;4;4;4;2;8;0;8;6;2;10;6;0;2;6;16;14;2;8;0;2;2;4;0;4;2;10;6;0;30;4;0;10;4;2;6;4;8;0;8;0;2;0;0;6;2;4;0;2;0;4
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;28;14;8;4;8;24;4;6;4;4;12;12;10;12;24;6;8;20;6;4;2;4;0;4;4;16;10;8;0;0;4;2;2;6;2;20;6;10;2;2;2;4;0;0;0;2;2;0;2;4;6;0;0;2;2;2;14;2;2;0;0;2;16;4;2;4;4;2;2
@topublichealth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;28;4;2;12;2;12;0;6;6;2;2;2;10;8;2;6;2;6;0;0;48;8;2;6;12;16;0;2;8;76;2;2;0;4;0;44;2;12;6;0;0;2;4;10;6;2;0;6;2;0;0;2;0;2;2;8;6;4;72;24;2;0;6;20;0;4;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;12;0;4;40;2;16;2;8;30;6;4;2;4;0;8;8;2;10;0;0;0;8;2;22;30;6;0;8;6;12;0;2;2;0;0;14;2;4;6;0;0;6;2;10;2;4;0;4;2;0;0;12;6;4;0;4;36;2;4;0;36;2;0;12;4;6;4
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;4;10;0;16;4;2;132;22;8;10;0;12;8;2;16;6;0;2;2;10;4;18;18;6;0;6;4;10;6;8;4;0;0;2;2;0;4;0;0;4;8;8;2;36;0;0;10;4;0;6;4;0;6;0;8;0;6;0;12;0;0;6;2;2;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;26;18;16;0;4;10;10;0;4;4;6;6;4;8;2;6;4;10;18;10;12;8;12;4;2;4;12;8;8;10;2;6;16;6;8;0;0;2;8;4;4;4;6;0;6;2;0;0;2;0;4;0;0;6;4;8;0;6;0;2;12;4;4;10
provincial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;20;2;6;2;18;8;12;10;20;6;8;12;6;4;2;2;8;6;6;0;0;6;6;2;6;10;2;0;0;0;28;8;2;4;0;10;6;10;0;6;2;2;10;2;12;10;2;10;2;0;2;0;0;0;8;4;4;0;8;10;8
vulnerable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;16;6;2;18;4;20;4;4;10;8;8;2;0;10;6;0;4;6;8;8;10;12;0;0;2;0;14;12;14;2;6;0;6;8;0;0;2;2;10;2;8;6;4;8;10;0;0;2;2;2;6;2;8;0;0;4;0;0;4;4;4;2;20
part;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;16;2;2;10;10;4;0;2;8;4;0;0;2;6;6;4;4;10;4;18;2;10;4;12;4;4;2;8;0;6;6;0;0;10;0;8;0;6;12;0;4;0;4;4;8;0;4;2;2;2;4;10;0;4;2;10;0;2;10;2;2;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;8;2;0;8;10;18;24;0;2;0;14;0;0;0;4;2;48;2;12;2;0;2;2;0;2;10;2;2;4;0;4;0;8;4;2;0;0;0;2;2;22;12;2;0;12;2;2;0;4;0;0;0;0;6;2;26;0;8;2;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;10;8;14;4;8;6;4;6;2;4;2;10;16;2;4;4;6;0;2;2;16;4;2;4;2;10;0;12;2;4;6;6;2;0;8;8;4;2;4;2;2;0;0;2;0;6;12;0;6;8;4;6;8;2;4;4;4;2;4
ontario;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;4;28;10;10;0;20;8;2;12;4;0;4;8;8;8;6;8;0;4;10;4;6;2;0;2;2;0;18;8;4;0;0;18;10;6;8;4;4;2;0;0;8;4;2;6;0;2;0;8;2;0;2;10;2;0;14;6;4
access;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;0;4;12;4;12;10;6;14;0;8;8;4;0;6;20;0;0;8;0;18;12;6;16;2;6;6;6;2;0;6;0;4;4;2;2;14;10;0;10;4;4;0;2;18;12;2;8;0;14;0;4;8;2;8;2;10
officer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;6;10;0;0;4;4;16;2;0;2;0;10;4;16;18;6;0;6;4;10;4;4;0;0;0;2;2;0;2;0;0;4;8;8;2;34;0;0;10;2;0;6;4;0;0;0;6;0;6;0;12;0;0;6;2;2;0
citys;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;20;4;4;2;0;6;0;4;10;6;2;10;2;6;2;6;2;2;6;8;12;2;12;6;10;2;2;4;0;4;0;10;2;0;10;8;0;4;12;2;6;8;0;2;2;4;8;2;4;4;0;8;0;4;8;4
province;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;4;4;10;8;12;6;2;0;2;6;6;6;2;0;0;8;0;10;6;2;0;4;6;20;4;4;2;0;8;6;6;6;2;2;4;2;6;8;2;2;8;2;2;4;2;0;0;10;12;2;0;10;2;10
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;2;2;12;0;2;6;0;10;16;10;8;4;0;2;0;4;4;8;0;8;10;0;2;4;6;2;2;20;0;0;0;2;16;2;4;0;8;2;4;4;8;0;0;4;2;6;2;12;4;0;4;2;16
service;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;12;2;2;0;8;0;30;2;10;10;0;2;6;6;2;8;0;20;0;4;6;4;4;0;0;4;2;0;0;0;22;14;2;0;10;2;4;0;14;0;0;2;6;10;0;14;2;0;0;0;8
recovery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;4;14;2;12;2;2;4;4;0;2;0;8;2;2;4;10;0;6;0;6;4;4;18;8;2;8;2;10;4;0;2;0;6;4;0;2;6;8;2;6;0;0;0;0;12;10;2;0;2;2
system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;6;24;8;2;2;10;6;2;4;2;0;0;4;4;4;26;8;0;6;0;8;2;0;0;2;6;2;10;2;6;0;0;6;2;8;2;4;0;0;0;8;2;0;0;10;2;6;0;12;2;4
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;0;0;0;4;0;2;10;2;0;4;8;4;4;4;4;28;0;2;6;4;2;0;0;10;4;14;2;4;0;2;6;6;0;0;2;0;12;2;8;12;0;0;2;2;6;6;4;0;2
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;10;0;8;18;4;4;6;10;0;4;2;8;12;12;6;10;2;4;2;2;2;0;2;6;2;2;24;10;10;4;0;6;6;0;2;4;4;0;4;0;0;0;12;2;0;6;0;4
data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;0;0;0;0;8;2;2;0;2;0;2;0;8;2;2;10;0;6;4;6;8;2;2;2;12;2;0;0;0;6;2;0;8;0;0;2;0;0;6;0;8;0;4
affordable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;2;0;2;0;6;6;14;0;14;0;10;0;0;2;2;0;4;0;6;2;0;2;0;6;16;6;0;4;0;0;0;2;0;2;0;6;6;0;12;0;4
live;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;8;2;4;0;48;2;10;2;4;0;2;2;0;6;0;2;2;0;4;0;2;2;2;0;0;2;8;0;0;2;0;6;0;2;4;2;0;0;2;0;2;0;0;6;0
safely;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;2;8;0;2;6;24;6;0;0;0;0;16;0;12;2;0;22;0;8;2;14;0;0;8;6;4;2;4;0;8;2;4;2;0;28;2;0;0;8;2;0;10;4
torontonians;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;6;4;0;0;4;6;8;2;0;2;6;4;0;0;0;0;6;12;0;2;0;4;0;2;10;2;0;2;0;4;4;2;6;2;0;0;4;0;2;0;0;0;2
essential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;2;6;0;4;0;2;0;0;2;0;2;2;2;10;0;8;2;2;0;2;2;20;6;2;2;12;2;2;2;2;2;0;2;0;2;6;22;0;8;0;2;4
measures;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;0;4;2;8;8;4;2;0;8;4;2;8;4;0;6;22;4;0;4;2;2;0;0;0;4;0;0;2;0;2;6;0;4;0;10;0;2;14;0;2;4
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;4;6;6;8;2;2;4;0;0;8;8;0;4;0;0;4;2;4;4;2;2;4;2;0;4;4;14;6;2;4;8;2;2;0;6;0;0;4;2;2;4
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;8;16;4;4;4;2;8;4;16;2;2;2;6;2;2;2;0;4;8;2;2;4;2;4;0;12;8;2;4;10;6;0;0;0;2;0;6;0
music;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;0;2;0;0;2;0;0;0;2;0;2;0;0;0;4;4;0;6;2;8;0;2;0;0;0;0;0;0;6;0;0;0;0
park;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;2;0;2;4;6;0;6;4;0;2;0;0;4;2;0;0;8;10;16;0;2;0;2;2;0;0;0;0;0;0;14;2
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;0;2;0;4;4;2;4;2;2;6;2;10;6;2;2;8;2;2;0;0;0;0;0;0;4;4;4;0;2;0;2;4;8;2;0
follow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;22;2;2;4;0;0;4;2;0;0;0;0;2;2;2;0;4;0;2;0;8;4;6;64;16;4;0;4;22;0;6;0
ensure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;4;0;0;8;0;2;0;4;8;8;8;6;6;6;0;6;2;4;6;0;0;8;2;0;4;0;6;0;2;2;0;4;12;4
shelter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;4;0;2;2;0;0;0;2;4;2;2;6;2;0;0;2;0;10;0;4;6;0;4;0;0;0;0;0;2;0;8;0;8
homelessness;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;12;2;2;4;4;0;4;0;6;8;0;8;10;6;0;6;2;6;6;0;2;0;0;0;4;0;2;2;8;0;8
