;#covid19;state;live;indiana;hoosiers;health;services;order;provide;executive;may;care;@statehealthin;website;public;help;work;spread;continue;emergency;information;updates;found;coronavirus;call;watch;fight;guidance;center;conference;press;facebook;hold;businesses;steps;critical;food;states;medical;local;additional;announced;protect;230;home;click;indianas;april;unemployment;operations;slow;safety;testing;facilities;actions;closed;government;available;orders;employees;dr;child;workers;covid19;schools;taking;stay;eo;federal;@cdcgov;needed;healthcare;required;use;questions;release;restaurants;essential;days;benefits;visit;meals;virtual;hospital;school;professionals;regarding;etwatch;et;delivery;inperson;agencies;@fssaindiana;working;centers;hour;signed;commissioner;safe;efforts
may;0;0;0;0;0;0;0;0;0;0;0;2;16;20;8;2;2;0;2;6;24;0;26;0;4;2;0;2;0;4;2;0;0;4;2;0;0;0;0;0;2;2;2;0;2;4;0;6;0;0;0;2;2;2;2;6;2;0;2;0;0;0;0;0;2;0;2;0;2;14;0;0;2;0;0;2;6;0;4;0;0;0;0;0;0;0;0;0;0;6;2;0;0;0;0;0;0;2;0;0
care;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;0;2;4;0;2;0;2;2;0;0;6;0;0;0;0;0;0;6;8;2;6;2;2;2;0;2;0;2;0;4;2;0;0;0;2;2;10;0;0;0;2;0;0;4;16;8;0;4;6;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;2;0;4;6;0;0;0;0;2;0;0;6;4;4;0;0;4;4;2
@statehealthin;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;0;4;10;4;0;22;4;16;4;10;0;0;2;8;0;0;0;0;0;4;0;0;2;6;0;0;4;10;0;2;0;4;0;0;0;4;2;6;0;2;0;0;0;0;0;10;0;0;4;0;2;2;0;2;14;2;4;0;0;4;2;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;4
website;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;24;2;20;0;4;2;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;10;18;2;0;2;6;8;0;0;4;8;2;0;0;0;0;8;0;0;2;2;2;4;4;2;0;0;0;0;4;0;0;0;6;0;0;2;12;2;2;0;2;2;2;0;2;6;4;2;0;2;0;0;4;4;0;0;0;0;6;6;0;2;0;0;0;2;0;0;0;0;0;2;4;2;2;0;0;0;0;0;4
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;2;4;0;0;0;10;4;2;0;4;4;0;0;0;0;6;6;4;8;4;0;4;4;8;0;0;0;2;2;2;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;6;4;0;4;0;2;2;2;2;4;2;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;2;2;0;2;0;2;0;6;0
work;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;0;2;0;0;2;0;2;0;2;2;4;0;0;0;2;0;2;2;0;0;0;0;4;0;2;0;2;4;6;4;2;4;2;0;0;0;2;0;0;6;2;2;0;0;0;2;2;0;8;0;2;0;2;2;0;2;0;0;2;4;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;2;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;6;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;0;4;8;6;0;0;2;0;0;0;0;14;2;2;0;6;0;0;0;2;0;0;0;0;8;0;6;0;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;4
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;8;2;0;0;2;0;0;0;0;0;2;0;0;0;6;0;6;0;0;0;0;0;0;2;2;2;4;0;6;2;0;4;4;0;6;0;4;4;0;2;4;0;0;4;2;4;0;0;0;0;0;0;0;4;2;2;2;2;0;0;0;0;0;2;0;0;2;6;8;0;2;2;0;0;2;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;4;0;0;0;0;2;2;0;4;6;2;2;4;0;0;0;0;0;2;2;0;4;0;4;2;2;2;2;0;0;0;0;2;2;2;4;4;4;0;0;2;0;2;2;0;6;0;0;0;4;2;0;0;0;0;0;2;0;0;0;0;4;0;4;2;2;0;0;4;0;4;0
information;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;24;2;6;2;0;0;4;4;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;6;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
updates;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;20;24;0;2;24;24;22;20;0;0;0;0;2;0;0;0;0;0;22;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;14;8;0;0;0;0;2;2;12;0;0;0;0
found;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;2;0;0;0;2;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;4;6;2;0;2;0;6;4;6;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;2;0;6;4;0;6;0;2;0;0;0;0;2;0;2;0;0;4;0;0;2;0;0;0;0;0;0;0;2;0;4;2;0;0;2;0;0
call;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;12;2;0;0;0;2;4;0;0;2;2;2;0;0;4;0;0;0;2;2;0;2;0;4;0;0;0;2;2;0;0;0;2;0;2;0;0;2;0;0;4;0;0;6;0;0;8;0;4;2;0;0;4;0;0;0;0;0;0;0;0;2;0;0;2;2;2;0;0;0;2;0
watch;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;2;22;22;26;20;0;0;0;0;0;0;0;0;0;0;20;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;6;0;0;0;6;16;8;0;0;0;0;0;0;14;0;0;0;0
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;24;22;20;2;0;0;0;0;0;0;0;2;0;22;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;14;8;0;0;0;0;0;0;12;2;0;0;0
guidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;4;0;0;0;0;2;0;4;2;0;0;0;0;0;0;0;0;0;2;2;0;4;0;0;0;0;0;2;4;2;6;0;0;0;0;4;0;4;2;0;0;0;0;2;4;0;2;2;0;0;4;0;2;0;0;0;2;2;2;2;4;0;0;0;2;0
center;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;10;0;0;2;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
conference;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;22;20;0;2;0;0;0;0;0;0;0;2;22;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;14;8;0;0;0;0;0;0;12;0;0;0;0
press;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;20;0;0;0;0;0;0;0;0;0;0;22;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;8;0;0;0;0;14;8;0;0;0;0;0;0;12;0;0;0;0
facebook;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;6;16;10;0;0;0;0;0;0;14;0;0;0;0
hold;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;20;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;14;8;0;0;0;0;0;0;12;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;4;2;0;2;0;2;0;2;0;0;2;2;0;2;2;0;4;2;0;0;0;2;0;2;0;0;0;0;0;2;0;0;2;2;0;2;0;2;2;0;2;0;0;0;0;0;0;0;4;0;2;0;0;2;0;2;0;0;0
steps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;10;6;0;0;0;0;0;0;0;4;0;0;4;0;2;0;0;0;0;2;2;2;2;4;6;2;0;4;0;2;0;0;0;0;4;0;2;2;0;0;0;0;2;6;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0
critical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;0;0;0;0;0;2;0;0;0;4;0;0;4;0;0;0;2;4;0;0;2;2;0;0;4;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;0;0;2;0;0;6;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;2;0;0;0;4;0;0;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;2;4;0;0;2;0;2;2;4;0;0;0;0;0;0;2;0;2;2;0;2;0;0;0;0;4;2;0;2;0;0;0;0;2;0;0;0;0;2;0;4;0;0;0;0;0;2;2;2;4;0;0;0;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;6;0;0;0;0;0;2;0;2;0;0;0;2;2;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;0;0;0;0;4;0;2;4;0;0;2;2;0;0;0;2;2;2;6;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;0;0;0;2;2;0;2;2;0;0;2;0;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;2;2;0;0;0;0;0;0;4;4;0;0;2;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;2;0;0;6;0;2;2;0;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;4
announced;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;4;0;4;0;0;4;0;0;0;0;0;0;0;4;4;4;2;0;2;0;0;0;0;0;0;4;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;2;2;0;0;6;0;0;0;2;2;6;0;2;2;2;2;2;0;2;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;14;8;0;0;0;0;0;0;12;0;0;0;0
home;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;2;2;0;2;2;0;0;0;0;0;10;6;0;0;0;0;0;4;0;0;0;2;0;0;0;8;0;0;0;0;0;0;0;2;0;2;2;0;2;0;2;2;0;0
click;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;0;0;0
indianas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;4;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;2;0;0
april;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;6;6;0;0;0;0;0;0;0;2;2;2;2;2;0;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;0;0;4;2;2;0;0;0;0;0;0;0;0;0
unemployment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;0;2;0;0;0;2;0;0;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
operations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;2;2;0;0;0;0;0;2;2;0;4;4;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;2;0;2;0;0;0
slow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;2;0;4;0;0;2;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0
safety;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;6;0;0;2;2;0;4;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
facilities;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;4;2;2;2;0;0;0;0;4;2;0;2;0;0;0;2;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0
actions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;2;2;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0
closed;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;8;0;2;0;0;0;0;0;2;0;0;0;4;0;8;0;0;2;0;0;2;0;2;0;0;4;2;0;0;2;0;0;0;0;0;2
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;0;0
available;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;2;0;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;0;4;0;0;0;2;0;0;2;2;0;0;0;0;0
orders;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0
employees;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
dr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;6;2;2
child;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;4;0;0;0;0;2;0;0;6;2;0;0;0;0;2;2
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;0;2;0;6;0;0;0;0;0;2;2;0;0;0;0;0;4;0;0;0;0;0;0;2;4;2;0;0;0;0;6;0
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2
schools;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;8;2;0;2;0;0;6;0;2;0;0;0;0;0;2;4;0;0;0;0;4;2
