;president;people;great;trump;states;united;new;administration;obama;american;national;government;house;federal;news;democrats;state;republican;white;good;2016;russia;washington;world;working;court;presidential;department;country;york;election;thank;media;man;police;fbi;act;billion;campaign;party;best;help;fake;senate;massive;post;bill;military;history;americans;city;released;russian;supreme;former;trying;donald;major;story;justice;security;law;article;may;congress;big;following;killed;source;number;democratic;investigation;free;committee;left;hit;year;end;deal;men;bernie;million;important;work;times;china;lot;war;real;woman;women;2017;clinton;investigating;support;shooting;season;week;reserve;democrat
national;0;0;0;0;0;0;0;0;0;0;0;4;2;6;0;6;6;12;2;0;4;6;6;2;4;2;2;4;0;2;6;2;0;0;0;2;4;4;8;8;4;2;2;4;4;4;0;4;4;0;2;8;2;0;4;0;4;0;0;2;20;0;0;0;2;0;2;0;2;6;18;0;2;16;2;0;0;0;0;0;4;2;0;2;0;0;2;0;0;0;2;0;2;0;4;4;0;2;0;4
government;0;0;0;0;0;0;0;0;0;0;0;0;2;22;4;4;6;0;2;2;0;0;0;2;8;6;0;2;2;0;2;2;0;0;0;0;4;4;0;0;2;2;2;0;2;0;2;2;4;0;0;4;6;4;0;2;0;0;0;0;8;2;2;4;0;0;2;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0;2;0;2;2;0;0;0;0;0;0;0;4;0;0;0;0;0
house;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;50;0;8;4;8;0;6;0;2;4;2;4;0;2;0;0;2;2;0;0;2;2;0;2;2;4;0;2;4;2;0;0;4;4;2;0;4;2;2;0;4;4;0;2;0;2;2;2;0;4;2;2;2;2;0;10;2;2;0;0;2;2;0;2;6;0;2;0;0;0;2;4;2;2;0;0;0;4;0;2;2;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;4;2;2;2;0;4;8;0;4;0;4;6;2;0;0;2;0;2;2;0;2;4;2;0;2;4;0;2;4;2;0;0;0;2;2;2;0;4;0;4;2;6;4;2;4;0;2;0;0;2;0;2;2;0;0;0;0;4;2;0;0;0;2;0;0;2;2;0;0;4;0;0;0;0;0;0;0;0;0;24;0
news;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;8;2;10;4;2;4;0;2;2;2;0;4;6;4;2;16;2;4;2;2;0;2;4;4;0;30;2;6;6;0;0;0;2;0;2;2;2;0;4;8;0;0;0;0;2;2;0;0;4;4;2;0;0;0;0;2;0;2;0;0;0;2;0;2;0;0;0;4;0;0;0;0;2;0;6;0;0;4;2;2;0;2;2
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;16;0;6;4;6;2;0;6;0;4;2;8;2;6;2;8;2;0;2;4;4;4;8;4;2;4;8;2;0;6;2;2;4;0;0;0;0;2;6;2;0;0;2;0;2;0;0;8;0;0;0;0;0;0;2;0;2;12;4;4;2;0;0;4;2;2;2;0;2;2;0;4;0;0;0;6;0;2;0;0;2;0;6
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;4;2;2;4;4;2;8;0;0;0;0;0;4;4;0;4;2;2;2;2;4;0;4;6;0;4;6;2;0;2;2;0;4;2;4;0;2;0;4;4;6;0;0;2;0;2;0;2;2;0;0;0;0;2;0;0;0;0;4;0;2;4;2;0;2;0;0;0;0;2;0;0;4;0;0;0;2;0;0
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;2;0;12;2;0;4;6;4;6;2;2;0;2;0;0;20;2;2;4;0;4;0;0;2;2;0;0;2;0;0;4;4;8;0;0;4;2;0;2;2;4;0;2;0;0;0;4;2;0;4;6;0;0;0;0;0;4;2;0;4;0;0;0;0;2;0;2;2;0;0;2;4;0;0;2;2
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;8;0;2;2;0;4;2;4;0;2;0;2;2;2;0;0;0;0;0;2;2;2;0;2;0;0;0;0;4;2;2;2;2;0;2;0;6;4;2;0;0;0;2;0;0;4;2;2;2;2;0;6;0;2;0;0;2;0;0;2;4;0;2;0;0;0;4;4;0;2;0;2;0;4;0;2;0;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;4;0;2;0;0;4;2;2;2;2;0;0;2;2;2;2;8;0;6;2;2;0;2;0;2;4;2;0;0;0;0;0;2;2;2;0;0;0;0;0;0;2;2;0;0;0;2;0;2;0;4;0;0;2;6;0;10;0;0;2;2;0;2;0;2;2;0;6;0;0;0;0;2;2;2;0
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;4;0;2;0;22;2;2;4;22;2;0;2;0;8;2;0;12;4;0;2;0;4;2;4;4;0;0;2;0;4;4;0;2;0;6;2;4;0;0;0;0;0;2;4;2;2;0;2;4;8;2;6;2;0;2;0;0;0;2;6;4;2;2;0;2;0;4;2;2;0;2;8;2;2;2;2;2;0
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;6;4;0;0;14;2;4;0;0;2;0;0;12;0;0;0;2;4;2;4;2;4;2;4;0;4;4;0;2;2;0;0;4;2;0;0;0;0;2;2;0;0;0;4;6;2;2;10;4;0;0;0;0;2;2;0;2;0;0;4;2;4;8;0;0;0;0;6;0;0;0;4;2;0
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;8;2;2;2;0;0;2;0;2;2;0;4;0;4;2;4;16;2;0;2;6;4;2;2;0;4;2;4;4;2;0;0;0;2;2;4;4;2;0;2;2;6;2;4;2;2;4;0;4;2;2;2;0;0;0;4;0;2;2;0;0;0;2;2;2;0;2;0;0;0;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;2;2;2;0;0;0;0;0;0;0;0;0;0;4;0;2;0;6;0;0;0;0;6;0;2;0;2;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;2;0;0;2;6;0;0;0;2;0;2;0;4;4;2;2;0;4;2;2;4;2;0;0;2;2;0;2;2;0;0;4;4;0;0;2;0;0;0;0;0;2;2;0;0;4;0;2;0;0;0;0;2;2;2;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;4;0;0;0;2;0;0;4;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;32;2;0;2;2;2;0;2;0;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;2;2;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0
presidential;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;14;0;2;2;0;6;0;2;12;4;0;0;0;2;4;0;0;0;4;0;0;2;4;0;4;0;4;4;2;0;0;2;0;0;0;0;0;0;0;0;4;6;2;2;2;2;0;0;0;0;6;2;2;0;4;0;0;0;0;0;0;4;4;8;0;0;0;0;0;2
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;2;6;6;12;2;2;4;0;2;2;0;0;4;2;0;2;0;2;2;2;4;0;0;2;0;0;0;32;4;2;0;2;2;0;2;0;0;0;4;0;0;2;2;0;0;2;0;2;0;2;2;0;2;0;0;0;0;0;4;0;2;14;0;2;0;0;0;0
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;2;2;2;2;4;2;0;0;0;0;0;0;6;0;0;0;2;0;2;0;4;0;0;0;4;4;0;8;0;0;0;0;0;0;2;2;0;2;6;0;0;0;0;0;0;0;2;0;0;0;0;4;0;0;0;2;0;8;0;0;0;0;2
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;2;0;0;0;2;6;0;4;0;0;2;0;2;0;2;10;0;6;0;2;2;2;4;6;6;2;0;0;0;2;0;0;0;2;0;4;2;2;0;0;6;0;2;2;2;2;0;2;4;16;0;2;0;2;0;4;2;0;4;0;0;0;0;0;2
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;6;2;2;10;0;0;0;2;4;2;2;0;0;4;2;0;4;6;0;0;4;4;0;4;2;0;0;0;0;2;6;0;2;0;0;4;10;0;6;0;0;0;2;0;0;4;2;0;0;0;0;2;0;4;0;0;0;6;4;4;0;2;0;2;0
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;2;4;0;0;2;0;2;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;0;0;0;2;0;0;0;0;2;0;2;2;0;0;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;6;2;0;0;16;2;2;0;0;0;2;0;0;2;0;0;0;6;0;0;0;2;0;0;0;0;2;6;0;0;0;0;0;2;2;0;2;0;0;0;0;2;2;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;0;4
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;2;0;0;0;0;0;4;0;2;0;0;0;2;0;0;2;4;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;0;2;0;0;0;4;0;2;0;0;0;0
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;6;0;0;2;2;0;0;0;2;2;2;0;0;0;2;0;0;4;0;0;2;0;0;0;0;2;12;0;0;0;0;0;0;2;0;0;0;0;6;0;0;0;0;0;0;2;0;0;2;0;0;0;2;0;4;0;0;0;2
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;8;0;0;0;0;2;0;4;2;0;0;0;0;2;4;0;6;2;0;0;2;12;4;2;2;0;2;2;2;0;0;2;0;12;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;8;12;0;0;0;0;0;0
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;4;2;0;6;0;2;4;0;0;0;4;2;0;2;2;0;0;2;4;0;4;2;0;2;0;0;4;0;0;4;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;2;0;0;0;2;0;0;2;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;2;2;4;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;4;4;2;4;2;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;2;0;8;2;2;2;4;2;0;0;2;2;0;0;0;0;2;0;2;0;0;4;2;2;10;0;0;0;2;0;0;6;0;0;0;0;0;0;0;2;0;0;0;12;6;0;0;0;0;0;4
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;4;2;0;2;0;0;0;0;0;4;2;0;2;2;4;0;6;0;0;4;0;0;2;12;0;0;0;4;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;2;2;8
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;4;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;2;0;0;0;0;0;2;2;0;0;2;0;0;0;2;2;2;2;0;0;2;0;2;0;0;2;0;2;0;2;0;0;4;0;2;0;4;0;0;4;0;0;0;0;0;0;0;4;2;0;2;2;0
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;2;2;0;0;0;0;2;2;0;0;4;2;0;0;0;2;0;2;0;0;2;4;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;12;0;2;2;0;2;4;0;2;0;0;0;0;0;2;0;0;0;0;2;0;0;0;6;0;2;2;10;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0
massive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;4;2;0;0;0;0;2;4;2;0;0;4;0;0;0;2;2;2;0;2;2;2;2;0;2;6;0;0;4;2;0;2;0;2;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;2;2
post;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;0;0;2;0;0;2;4;2;0;0;2;2;0;0;4;0;0;4;2;2;0;2;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;4;0;2;2;0;0;0;2;0;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;4;2;2;0;2;0;0;0;2;2;2;2;2;2;0;4;0;0;0;0;0;4;0;0;0;0;0;0;2;0;0;2;0;2;0;0;2;0;0
military;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;0;0;0;0;2;0;2;0;0;0;0;2;0;4;0;0;0;0;2;0;0;2;2;4;0;0;0;2;0;2;2;0;0;0;4;0;0;0;0;0;0;2;0;2
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;2;0;2;0;0;2;2;4;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;0;4;0;2;0;2;0;0;0;0;2;0;0;4;2;0;0;0;2;4;0;0;2;2;2;0;0;0;4;2;0;0;0;2;0;0;0;0;0;0;2
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;2;2;0;0;0;0;0;2;0;4;4;0;2;0;2;0;2;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;2
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;2;0;0;0;2;2;0;0;0;0;0;6;2;0;0;4;2;2;8;0;0;2;0;0;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0
russian;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;2;0;0;2;2;6;0;4;0;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;8;2;0;0;0;0;0
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;2;4;2;4;0;0;0;0;2;2;2;0;2;2;0;0;0;0;0;4;2;2;2;2;2;0;0;0;0;0;2;2;0;0;0;2;0;0;0
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;2;0;6;0;2;2;2;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;2;0;2;4;0;2;0;2;0;2;0;0;0;0;6
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;2;0;0;0;2;0;2;4;0;0;0;0;2;2;0;0;0;0;0;2;0;4;0;0;2;0;0;2;0
major;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;2;4;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;2;0;0;0;0;0
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;6;0;0;0;8;0;0;0;0;0;0;2;2;2;2;0
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;2;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;4;0;2;6;0;2;0;0;0;0
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;2;2;0;0;0;0;0;2;0;0;0;0;2;0;0;2;0;0;0;0;2;0;0;0;0;0;0
law;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;12;0;0;2;2;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;2;0;2;0;0;0
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;2;0
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;2;0;0;4;2;0;0;0;2;0;0;0;0;0;0;2;0;0;2;2;0;0;0;0;2
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;4;0;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;2;0
