;trump;president;great;united;states;people;new;house;american;government;federal;national;news;administration;obama;state;white;democrats;country;world;republican;working;media;man;fbi;thank;court;department;york;campaign;party;washington;best;big;donald;russia;senate;election;help;congress;former;may;article;job;good;bill;city;security;history;americans;police;committee;fake;2016;support;love;justice;left;supreme;times;year;released;million;story;trying;called;presidential;america;law;post;hard;proud;senator;war;military;act;russian;clinton;work;night;another;think;following;hillary;report;end;reserve;thing;killed;china;nothing;win;radical;announce;investigation;democratic;free;money;information;political
state;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;10;4;6;26;14;12;8;6;10;32;68;30;10;22;22;6;10;8;20;20;10;14;10;20;10;8;12;8;16;32;14;6;10;16;10;4;10;14;12;4;6;26;2;10;26;18;4;4;12;8;8;16;6;2;20;16;10;8;8;10;24;8;4;10;2;12;28;16;6;2;4;14;8;6;10;10;14;10;10;8;6;4;6
white;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;10;14;18;22;14;14;28;16;14;10;8;16;12;36;6;8;22;12;12;8;8;10;22;10;8;8;8;14;4;10;8;8;6;18;18;4;12;10;4;18;14;14;6;24;4;4;6;18;14;8;4;18;8;12;6;0;8;0;6;2;10;16;10;6;2;0;10;6;0;12;6;4;8;6;2;10;12;6;4;2;12;8
democrats;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;4;40;26;36;8;12;18;12;14;14;8;38;18;8;18;20;14;26;24;22;26;6;10;8;8;8;12;2;12;16;8;6;20;40;8;4;4;14;62;12;6;6;6;14;10;46;10;10;2;14;8;32;2;16;6;2;10;10;10;6;2;14;4;2;14;6;6;0;6;4;6;48;18;60;0;6;26;8;6;8;8
country;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;8;22;12;12;2;16;8;4;8;6;8;4;20;22;14;8;0;20;12;10;8;2;0;18;16;6;6;10;20;14;4;0;4;16;12;26;10;20;6;8;8;4;4;8;12;14;6;32;18;0;14;10;12;8;14;14;0;4;10;6;4;8;4;2;2;8;0;18;2;10;12;10;16;0;2;2;4;10;0;4
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;8;10;2;12;6;8;6;4;6;6;26;10;2;2;4;2;10;8;4;6;10;14;10;8;2;16;20;18;2;2;4;4;4;10;4;2;6;10;6;8;8;12;6;8;4;12;0;8;14;8;8;20;8;6;0;2;16;2;4;6;8;2;4;18;6;6;4;10;2;4;4;0;4;0;10;12;6;14
republican;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;18;2;6;10;10;8;8;34;126;14;8;16;50;4;26;22;8;14;10;14;6;10;14;20;10;8;16;10;6;54;10;14;12;6;8;18;10;6;4;14;4;4;12;18;48;12;4;8;20;8;26;6;4;8;2;12;8;8;12;6;2;14;6;2;2;14;2;4;8;12;16;6;2;22;4;0;2;6
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;2;14;36;8;20;4;6;10;16;12;12;10;8;8;12;24;22;10;2;4;8;8;12;2;10;4;20;2;14;10;10;14;4;16;4;8;2;4;2;10;6;6;12;6;10;22;6;98;16;12;2;8;12;10;4;16;4;8;8;10;4;6;4;4;4;2;12;10;2;6;12;6;10;4;0;6;4
media;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;20;8;0;18;12;22;18;10;8;6;18;10;12;16;4;4;6;12;8;16;8;6;6;6;4;4;8;8;90;16;0;2;10;18;2;10;10;10;0;26;36;8;14;2;6;10;10;4;4;2;6;4;6;10;2;12;4;16;2;10;12;6;2;12;4;0;16;4;6;4;10;4;4;0;12;2
man;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;10;14;18;8;2;6;6;6;6;4;4;2;2;10;4;10;16;6;6;10;4;16;4;8;0;46;6;4;2;0;8;8;6;12;14;12;6;4;14;4;10;0;10;2;2;2;4;4;2;6;0;6;8;0;12;6;4;8;6;4;2;0;2;26;4;0;0;0;4;0;6;4;4;6;0
fbi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;38;12;48;12;14;8;8;22;46;14;36;6;20;52;24;0;14;8;4;4;26;0;6;4;18;12;34;0;0;48;6;2;6;2;12;4;14;8;8;20;0;20;0;4;2;2;2;0;4;40;28;2;6;2;2;6;26;14;4;0;10;2;0;8;4;4;2;74;2;4;4;30;2
thank;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;10;4;2;8;8;14;2;2;14;12;20;14;2;10;10;16;22;12;8;0;8;4;6;0;6;6;32;22;2;6;2;2;2;0;2;4;6;2;4;16;10;12;16;16;10;0;10;6;4;4;10;8;6;6;4;4;0;8;6;6;4;6;12;8;8;2;2;2;2;2;10;8
court;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;8;8;10;4;20;14;4;6;2;2;6;12;10;4;0;0;0;2;4;6;12;10;0;0;6;4;2;28;4;220;2;6;0;4;0;2;2;2;8;26;4;4;2;2;2;4;10;0;0;0;4;2;0;8;0;0;4;0;0;2;2;0;8;0;4;2;0;10;2;0;6
department;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;24;4;16;0;8;6;16;8;16;14;6;14;16;2;6;0;0;24;32;4;12;46;12;2;22;4;0;130;6;6;4;2;36;12;12;2;2;12;2;18;10;4;8;2;4;0;8;16;20;4;2;6;0;8;18;16;8;6;2;4;0;6;6;8;2;34;2;6;4;18;6
york;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;12;8;8;10;12;8;8;8;6;20;2;38;4;6;0;52;12;16;4;10;4;12;6;4;4;12;4;2;148;6;20;4;20;8;4;4;6;6;20;8;8;4;2;6;6;2;4;4;0;10;4;4;8;4;2;4;10;8;6;4;4;2;6;8;6;6;6;2;2
campaign;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14;2;10;36;64;14;34;4;4;22;14;6;4;10;0;6;4;14;8;0;44;8;50;6;2;18;0;6;16;4;22;2;12;6;8;54;2;4;4;0;4;10;6;4;6;28;38;4;0;4;0;8;30;8;8;4;4;0;2;8;12;0;6;22;34;2;10;4;8
party;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;10;18;4;14;20;6;6;6;6;0;8;12;4;6;6;14;8;4;12;10;8;8;6;10;32;8;8;6;8;4;2;10;8;16;4;2;8;2;4;18;6;2;4;4;14;2;6;12;8;6;10;2;6;4;8;0;4;8;20;34;6;2;54;8;6;4;6
washington;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;28;8;12;8;12;6;16;4;10;8;2;6;2;6;6;4;2;10;4;14;4;2;6;6;6;10;8;4;4;14;10;8;14;6;4;66;8;0;10;4;4;6;10;4;6;4;6;4;2;8;4;2;6;0;4;8;4;4;2;4;2;10;2;4;2;12
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;2;6;6;4;2;8;4;12;12;2;2;8;10;8;0;8;6;4;2;16;2;4;4;6;10;2;8;10;6;10;4;8;6;6;6;6;0;8;8;2;0;2;12;2;4;6;2;8;0;10;2;30;0;6;8;10;2;6;2;4;8;2;0;0
big;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;16;12;12;14;6;6;6;8;10;18;10;2;2;6;2;4;2;6;4;6;14;6;12;0;14;6;8;6;6;2;4;6;8;6;14;10;10;0;6;10;2;0;2;8;14;4;2;2;0;6;10;4;2;2;2;36;6;6;0;4;4;2;2;0
donald;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;26;12;4;12;10;4;14;8;8;6;6;8;12;0;12;4;10;6;4;6;4;4;12;6;6;8;8;10;6;46;4;8;10;6;10;8;6;6;6;10;18;2;8;2;6;8;22;10;2;4;8;2;14;4;4;4;0;10;8;2;2;4;6
russia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;38;6;10;12;14;6;2;2;4;2;6;6;4;2;22;10;38;4;0;14;14;4;6;2;10;2;12;4;10;20;2;6;4;2;0;4;8;6;2;22;6;0;0;4;2;2;4;14;0;0;8;0;10;6;8;8;2;28;4;4;4;10;10
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;10;14;12;10;4;12;10;50;2;6;8;10;4;66;2;22;10;4;12;14;6;10;12;14;2;6;8;4;12;0;4;2;12;2;26;2;8;18;20;0;4;12;12;4;6;2;18;12;2;10;2;0;6;4;10;6;6;6;2;4;8;8
election;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;12;14;6;12;6;4;2;6;12;12;0;40;10;98;8;0;16;20;0;12;6;18;2;8;34;10;60;10;8;2;10;0;6;10;2;6;42;10;0;8;6;0;10;14;14;4;4;4;2;0;10;20;16;2;24;12;8;2;6;8
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;4;6;4;8;8;10;0;10;12;8;4;0;4;16;8;8;2;2;2;4;2;22;6;12;6;12;10;8;8;6;10;6;4;8;8;6;0;6;4;0;2;0;0;2;8;0;2;8;2;12;4;4;6;0;2;10;18;4;4
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;4;4;10;24;8;12;6;12;0;2;4;4;8;0;4;6;6;6;4;4;8;6;6;14;4;4;10;0;6;6;10;6;8;38;14;4;6;4;12;4;4;2;10;12;2;6;0;2;6;6;8;0;12;2;2;2;6;6
former;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;10;6;8;10;30;4;2;12;24;6;12;2;0;10;4;4;6;4;6;8;6;2;2;16;0;2;8;2;4;4;10;4;2;18;20;2;10;8;0;2;6;6;6;6;4;2;4;2;2;2;4;26;16;6;12;2;4
may;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;4;6;8;2;4;8;6;8;6;2;10;4;4;10;2;8;4;4;6;4;12;4;8;6;2;8;6;2;0;2;2;2;8;10;6;2;6;10;4;0;4;10;4;4;2;4;2;0;2;2;4;6;6;0;2;12;2
article;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;10;6;0;2;2;8;4;4;2;4;2;32;4;6;10;2;6;6;6;8;2;18;4;0;6;6;2;2;6;2;2;2;4;0;16;2;2;2;2;6;0;6;2;2;2;0;6;2;0;2;10;6
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;2;8;8;10;6;2;4;2;6;4;4;4;0;8;6;8;2;0;10;0;4;2;0;8;6;6;6;2;4;2;4;4;6;6;6;10;6;2;6;0;12;6;2;0;0;8;6;0;2;0;2;4;8;0
good;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;4;8;0;4;0;0;6;4;4;18;2;6;0;8;12;0;4;2;6;0;4;8;8;8;6;8;8;2;0;8;4;8;10;6;4;18;4;4;2;2;8;8;0;2;8;12;4;4;2;4;2;2;2;2
bill;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;6;10;10;10;6;0;8;0;2;6;0;2;2;10;4;4;6;6;4;4;12;0;6;6;8;2;8;30;0;14;8;2;8;4;4;4;12;4;0;8;0;0;4;2;4;0;8;6;2;2;6;0
city;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;22;2;0;10;6;2;4;2;0;4;8;10;18;0;0;2;8;8;8;0;4;12;4;2;10;4;2;2;4;6;6;0;2;2;0;0;0;0;10;2;0;2;4;10;2;4;4;6;2;4
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;2;8;6;8;6;2;12;4;2;8;8;6;8;4;4;2;4;6;8;8;0;2;4;4;6;10;12;4;2;2;4;6;8;6;6;6;0;2;2;2;2;0;2;2;10;0;4;8;8;4
history;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;8;14;4;4;6;6;6;6;0;4;10;6;6;4;20;12;4;0;0;8;4;8;12;2;0;6;0;6;6;2;2;8;2;6;4;6;2;0;12;6;6;4;2;4;6;2;2;16
americans;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;10;10;8;14;6;10;2;8;4;16;6;6;4;8;6;4;8;6;12;8;6;6;14;2;4;8;6;4;10;6;4;4;10;4;6;12;0;6;4;8;4;2;4;0;4;4;6
police;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;6;2;6;4;6;12;4;8;0;2;0;2;2;2;0;4;0;2;8;4;0;0;2;8;2;0;6;0;2;6;0;0;26;0;2;2;4;2;8;0;0;2;2;0
committee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;32;6;2;12;4;0;8;2;24;2;4;12;2;18;2;8;2;8;0;4;2;4;6;34;12;10;8;2;0;10;16;16;2;0;4;2;0;0;2;2;8;8;76;0;4;10;2
fake;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;0;22;0;14;8;2;0;20;30;4;2;2;4;4;4;2;0;2;2;0;4;8;4;4;12;4;2;8;8;6;2;8;0;4;18;6;16;2;4;4;2;4;2;4
2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;14;6;4;6;10;20;2;0;8;0;70;2;10;8;4;2;2;0;4;2;34;8;4;6;4;0;0;12;10;2;6;2;2;0;0;6;6;8;22;10;4;4;6;4
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;2;4;2;12;0;8;0;2;4;4;10;6;4;8;10;8;0;8;6;0;4;4;6;2;6;4;8;4;4;4;2;0;2;4;2;2;4;4;4;0;8;2;4
love;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;0;8;2;0;10;2;4;4;8;4;6;0;2;4;4;0;0;0;0;4;6;2;8;0;0;2;4;0;12;0;2;6;6;0;4;0;0;4;0;2;2
justice;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;6;0;8;4;10;2;2;12;2;14;6;2;6;6;6;4;6;6;8;0;2;2;2;2;8;4;8;4;10;2;0;4;4;4;6;26;6;6;0;18;4
left;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;0;6;18;10;2;4;8;4;2;0;4;6;2;4;2;6;8;6;2;8;0;0;0;6;0;6;4;4;32;4;116;2;4;8;4;0;2;2
supreme;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;0;0;2;0;4;24;2;2;2;2;2;2;6;0;0;0;4;2;0;6;0;0;4;0;2;2;2;0;8;2;2;0;0;10;2;0;6
times;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;12;6;6;4;2;2;8;0;2;4;2;2;4;4;2;0;0;4;2;4;4;8;6;2;6;2;2;2;2;2;0;8;8;2;4;2;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;28;2;6;6;4;4;6;4;0;8;2;6;6;8;2;2;0;2;6;2;0;2;2;10;8;2;6;2;0;4;0;2;2;0;2;2;2;0
released;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;2;16;2;2;2;2;4;4;4;0;2;12;16;2;8;4;4;24;14;36;4;2;0;4;4;2;2;0;2;8;8;4;0;8;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;4;2;6;6;2;8;6;0;6;2;0;6;2;4;0;2;0;2;4;10;6;0;2;8;4;2;2;0;6;0;0;8;10;2;6
story;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;2;0;0;12;6;4;6;10;2;2;8;4;8;8;8;4;10;6;2;4;2;8;2;8;4;2;6;0;4;2;2;2;4;2
trying;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;4;6;6;8;0;2;8;6;2;8;0;0;2;0;8;4;6;2;0;0;6;4;0;8;6;12;0;2;12;2;4;4;12
called;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;2;8;0;6;6;2;8;2;4;2;4;4;2;0;4;8;8;4;8;4;2;2;2;6;0;6;2;2;2;0;2
