;illinois;state;de;en;que;federal;care;health;home;working;para;people;work;across;la;help;covid19;los;virus;take;stay;public;workers;new;community;el;las;businesses;testing;government;#covid19;medical;statewide;order;everyone;una;capacity;additional;crisis;administration;cases;spread;support;states;response;continue;residents;possible;able;food;clear;es;por;please;program;hospital;business;best;lo;local;still;emergency;children;homes;social;lives;communities;access;call;casa;hospitals;safe;del;protect;case;un;nation;ppe;vulnerable;thank;days;families;officials;estamos;school;taking;week;place;national;con;healthcare;test;todos;patients;nuestros;unprecedented;services;means;team;family
para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;2;24;6;0;0;0;0;0;0;18;22;0;0;0;4;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;16;0;0;2;0;0;20;2;0;0;0;0;2;0;0;0;0;14;0;0;10;0;0;14;0;0;0;0;0;0;0;16;0;0;0;2;0;10;0;0;16;0;10;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;8;10;0;4;4;0;4;4;6;4;2;4;2;0;0;2;0;4;2;4;0;2;2;0;0;0;2;2;2;0;2;2;0;0;0;8;6;4;0;0;0;4;0;0;4;6;0;0;6;0;0;2;2;10;0;0;2;0;0;4;0;4;0;0;2;6;2;2;2;2;0;0;0;2;0;0;2;0;0;2;0;4;0;4;2;0;4;2
work;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;10;2;0;4;2;2;2;6;6;6;0;0;6;0;10;4;2;0;0;0;0;2;2;0;4;0;2;6;2;2;4;0;2;6;0;0;0;0;2;0;2;2;4;0;2;2;0;4;0;4;2;0;0;2;0;2;4;0;4;0;0;2;4;2;4;4;0;0;0;2;6;0;4;2;0;4;0;0;0;0;4;0;0;2;0
across;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;2;4;2;4;2;2;4;0;0;0;2;4;4;2;0;2;0;0;2;2;4;2;0;8;0;6;2;0;0;6;4;4;0;0;0;2;0;2;0;2;0;6;0;0;4;2;2;2;2;2;4;0;0;2;0;2;0;0;4;4;4;8;2;4;2;0;2;6;0;2;0;0;0;0;0;0;0;0;4;0;8;4
la;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;18;8;0;0;0;0;0;0;14;20;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;0;0;0;10;2;0;0;0;0;0;0;0;0;0;14;0;0;14;0;0;4;0;0;0;0;0;0;0;10;0;0;0;0;0;8;0;0;8;0;10;0;0;0;0;0
help;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;2;4;6;2;10;0;0;2;0;2;2;2;0;2;2;0;0;0;12;6;0;0;4;6;2;2;4;0;4;6;0;0;0;8;8;0;6;0;0;0;0;6;0;2;2;0;2;0;2;0;0;2;0;6;2;0;4;4;0;4;0;4;4;0;0;2;0;0;2;0;2;0;0;0;0;6;2;0;0;2
covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;4;6;4;6;0;0;2;6;0;2;8;4;0;0;2;4;2;4;6;12;6;2;0;8;4;6;0;2;0;0;0;0;0;2;2;0;4;0;2;0;4;0;0;0;4;0;2;0;0;8;0;0;2;6;0;4;0;2;0;0;2;2;0;2;2;2;2;2;0;2;8;0;6;0;0;4;0;0;2
los;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;14;10;0;0;0;4;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;10;0;0;0;0;0;12;2;0;0;0;0;2;0;0;0;0;8;0;0;12;0;0;8;0;0;0;0;0;0;0;10;0;0;0;0;0;12;0;0;12;0;10;0;0;0;0;0
virus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;4;2;0;2;2;2;0;0;4;2;2;2;4;2;6;0;0;10;6;4;2;2;0;0;0;0;0;2;4;2;0;0;4;0;2;2;0;2;0;0;2;2;0;4;0;0;2;2;0;6;2;4;0;2;0;2;0;2;0;2;2;0;6;0;4;0;4;0;0;0;6;6;0;0;0;0;0
take;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;0;2;4;0;0;0;2;4;4;0;4;4;2;0;0;0;6;0;2;2;0;2;6;4;6;2;0;0;2;0;0;8;0;0;0;6;0;4;0;0;0;0;4;8;6;0;2;0;0;4;0;2;0;0;0;2;2;0;0;4;2;0;0;0;0;4;2;0;0;0;0;0;0;0;0;4;0;2
stay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;2;0;0;0;0;0;0;0;0;2;18;6;0;0;2;0;2;2;0;0;0;2;4;6;4;2;2;2;0;0;8;0;0;0;2;0;0;0;2;4;0;2;8;2;0;2;0;0;4;0;2;2;0;0;0;2;0;0;2;2;0;2;0;2;2;0;0;0;0;0;0;0;0;2;6;0;2
public;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;4;6;2;0;2;2;0;0;2;0;8;0;0;2;0;0;4;6;0;6;4;0;2;0;0;2;0;0;2;4;0;0;0;2;0;0;0;4;2;0;0;0;0;4;0;0;10;0;6;2;0;2;0;0;6;0;2;2;2;0;2;0;0;4;0;0;0;2;0;2;0;0
workers;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;0;0;0;2;2;0;2;0;2;2;0;2;2;2;0;0;0;0;4;0;0;0;2;0;0;4;0;4;4;2;0;0;0;6;2;4;2;0;0;4;2;0;4;4;0;6;0;0;0;6;0;0;0;2;0;0;0;0;0;2;0;0;6;2;0;0;0;2;2;0;2;0
new;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0;4;2;2;2;0;0;6;4;2;4;12;6;8;2;4;0;2;2;2;0;4;0;0;0;2;0;2;4;0;0;2;6;0;0;2;2;6;2;2;0;2;0;0;0;4;0;0;2;6;0;4;2;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0
community;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;2;2;0;6;4;2;2;4;0;0;0;0;2;2;0;0;2;4;0;2;0;0;4;0;2;0;0;0;2;0;0;2;0;0;2;0;0;2;0;2;0;0;2;2;4;6;0;2;0;0;0;0;0;2;4;0;0;0;0;0;2;0;6
el;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;4;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;8;0;0;0;0;0;6;0;0;0;0;0;2;0;0;0;0;6;0;0;10;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;6;0;0;6;0;8;0;0;0;0;0
las;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;12;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;16;0;0;8;0;0;6;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;0;6;0;10;0;0;0;0;0
businesses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;4;0;0;0;4;4;2;2;12;2;2;0;0;2;2;0;2;0;0;0;8;0;12;0;0;4;0;6;0;2;2;0;2;0;2;0;0;0;0;4;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;4;0;2;2;0
testing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;2;2;2;0;8;2;2;0;2;6;4;0;0;2;0;4;6;0;2;0;0;0;0;6;0;2;0;0;2;2;2;0;0;0;2;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0;0;0;2;0;2;4;0;0;4;0;2;0;0;0;0;0;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;4;0;0;2;2;10;2;4;4;8;0;2;2;0;2;0;0;0;2;2;0;4;0;2;2;0;2;0;2;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;2;0;0;0;0;4;0;0;2;0;2;2;0;2;0;2;0;0;2;0
#covid19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;6;2;0;2;2;0;4;0;4;0;0;2;0;0;0;0;0;0;4;0;2;2;0;8;4;4;0;2;2;0;0;2;2;0;0;0;2;2;2;2;2;0;2;2;2;0;2;0;0;0;0;4;0;0;6;2;0;0;0
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;2;6;4;2;4;0;0;2;0;4;0;2;0;0;0;2;2;0;4;0;0;4;2;2;0;2;0;0;4;2;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;6;0;0;0
statewide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;2;2;0;6;2;6;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;4;0;0;0;0;2;4;0;6;0;0;0;2;0;0;0;2;0;0;4;0;0;2;0;2;4;0;0;2;0;0;2;0;2;0;0;0;0
order;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;6;4;0;2;0;0;2;4;2;4;2;0;0;0;0;0;0;2;0;0;0;0;2;0;2;4;0;2;0;0;0;2;0;2;0;0;0;2;2;0;0;0;0;0;2;0;2;0;2;0;0;0;0;4;0;0;4;6;0;0
everyone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;0;0;0;0;0;2;4;2;4;4;4;0;0;0;0;2;2;0;0;4;0;0;2;2;2;0;2;6;0;0;0;2;0;2;0;0;0;0;0;2;0;2;0;0;0;2;0;0;2;0;0;6;0;0;0;2;2;4;0;2
una;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;2;0;0;6;0;0;0;0;0;0;0;0;0;0;12;0;0;6;0;0;10;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;6;0;10;0;0;0;0;0
capacity;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;4;0;0;4;2;0;4;2;2;0;0;0;0;0;4;0;0;0;0;2;2;2;0;0;0;0;0;0;0;6;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;0;2;0;0;2;2;0;0;0;2;0;0;0;0
additional;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;4;0;0;0;0;4;0;2;2;0;0;0;0;4;6;0;2;0;2;2;0;0;2;0;0;6;0;2;0;2;0;0;2;4;0;0;0;0;0;0;2;0;0;0;4;0;6;0;0;0;0;0;4;0;2;0;0;0;0
crisis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;0;4;0;6;0;0;0;2;0;0;2;4;2;2;0;0;0;0;6;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;2;0;4;0;0;2;0;0;0;4;0;0;0;0;0;0;6;2;2;0;0
administration;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;6;2;0;0;0;0;2;0;0;0;6;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;6;0;0;0;0;0;0;2;0;2;0;0;0;0;4;2;2;0;0
cases;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;2;0;2;0;2;0;2;0;0;0;0;2;0;6;0;0;0;0;0;0;2;0;2;0;0;0;4;0;0;0;4;0;0;0;2;0;0;0;2;0;2;2;0;0;2;0;0;2;0;8;0;0;0;0;0;0
spread;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;2;0;0;0;0;0;0;6;0;2;0;0;0;0;6;4;6;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;2;2;0;0;0;0;2;0;0;0;0;0;0
support;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;2;0;0;0;6;0;2;0;0;4;0;4;4;0;0;0;2;2;0;0;0;0;0;0;2;0;0;0;0;0;2;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;4;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;2;2;2;0;0;0;2;0;2;0;0;0;0;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;4;2;2;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
response;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;4;0;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;4;0;0;0;0;2;4;0;0;0;0;0;0;0;0;2;0;0
continue;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;2;2;0;2;0;0;0;0;6;0;0;2;2;2;2;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2
residents;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;2;2;0;0;0;2;0;0;2;6;0;2;4;6;0;0;0;2;0;4;2;0;0;0;6;0;0;6;0;0;2;2;0;0;2;0;2;2;0;0;0;2;2;0;2;0
possible;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;2;0;0;0;0;2;0;2;8;2;2;0;0;0;0;0;4;4;0;0;4;0;2;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;6;0
able;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;2;0;0;4;2;0;0;2;2;0;4;2;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;4;0;2;2;0;0;6;0;2;0;0;2;0;0;2
food;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;6;0;0;8;2;4;0;2;6;0;0;0;2;0;0;0;0;0;0;4;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;2;4;0;0;0
clear;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;0;0;4;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;6;0;0;2;0;0;0;2;0;0;0;0;0;6;0;0
es;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;8;0;0;8;0;0;6;0;0;0;0;0;0;0;8;0;0;0;0;0;10;0;0;4;0;4;0;0;0;0;0
por;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;8;0;0;8;0;0;4;0;0;0;0;0;0;0;4;0;0;0;2;0;4;0;0;10;0;4;0;0;0;0;0
please;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;2;0;0;4;0;0;4;0;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4
program;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;0;6;4;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0
hospital;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;2;4;0;0;0;2;2;0;0;0;0;2;0;0;0;0;2;0;8;0;0;0;2;0;4;0;2;0;0;0;0
business;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;2;0;0;0;0;0;0;2;0;4;0;0;0;4;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0
best;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;0;0;4;4;0;0;0;0;0;0;2;0;0;6;0;2;2;2;0;0;0;2;0;0;0;2;0;0;0;0;4;0;0;0;0;2;0
lo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;8;0;0;6;0;0;4;0;0;0;0;0;0;0;6;0;0;0;2;0;6;0;0;8;0;6;0;0;0;0;0
local;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;2;0;0;0;2;2;2;0;0;2;0;0;0;0;2;0;4
still;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;2;0;2;2;0;0;0;0;0;0;0;2
emergency;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0
children;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;0;0;4;0;2;0;0;0;0;4;2;0;4;0;0;4;2;0;2;0;0;0;0;0;0;0;0;0;0;6;0
homes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;6;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;4;0;0;0
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;2;0;4;0;0;0;0;0;2;4;2;4;0;0;0;0;2;2;0;0;0;0;0;2;0;0;0;4;0;0;0
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;2;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;2;0;2
