;people;health;workers;care;country;trump;america;american;americans;crisis;war;pandemic;million;congress;working;pay;millions;jobs;end;act;paid;sick;coronavirus;medicare;stand;cannot;protect;president;corporate;government;families;lives;medical;senate;world;billion;states;job;guarantee;richest;system;human;economic;stop;leave;provide;corporations;wage;united;tax;trumps;security;year;fight;federal;wall;street;social;pass;together;billionaires;1;change;benefits;put;debt;afford;big;legislation;enough;free;bill;work;greed;fossil;worker;climate;unemployment;support;live;justice;minimum;emergency;fighting;power;postal;history;lost;without;everyone;new;protective;money;cant;radical;15;living;children;paycheck;thousands
war;0;0;0;0;0;0;0;0;0;0;0;6;4;24;10;4;8;6;24;12;0;2;6;0;16;6;0;20;2;0;0;4;2;12;6;4;6;2;0;4;0;2;2;22;0;2;0;4;6;4;2;0;2;14;0;0;0;0;8;10;12;2;4;0;4;0;0;0;4;2;0;8;0;0;0;2;2;0;0;0;0;2;0;4;10;0;4;2;4;0;2;0;0;0;0;0;2;6;2;4
pandemic;0;0;0;0;0;0;0;0;0;0;0;0;8;16;8;12;12;8;6;12;12;12;8;12;6;14;6;6;0;6;6;4;8;6;0;6;4;4;14;2;4;4;6;6;14;14;6;2;2;0;2;4;6;4;10;0;4;2;2;4;6;4;2;4;0;4;4;2;12;8;4;0;6;4;2;4;0;2;8;8;6;2;10;8;0;8;4;4;2;4;2;6;0;6;4;0;2;2;6;2
million;0;0;0;0;0;0;0;0;0;0;0;0;0;4;16;12;12;26;10;4;4;0;12;12;2;8;4;6;8;8;6;6;6;4;2;10;4;0;4;4;6;6;4;4;0;8;6;6;2;10;6;2;8;4;0;4;4;0;6;2;6;16;2;6;4;0;4;2;6;10;2;4;6;2;2;2;0;8;2;6;2;6;4;0;0;0;4;22;4;6;4;0;0;0;2;8;2;8;0;4
congress;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;10;10;8;24;4;6;6;4;12;8;10;24;4;4;6;6;4;14;6;12;0;10;8;4;4;2;4;12;4;12;6;4;0;2;6;2;2;2;8;2;2;2;10;8;0;2;2;4;0;2;0;4;6;2;2;6;0;0;0;8;2;8;6;0;2;2;6;2;12;8;4;0;6;0;4;0;4;2;2;2;0;0;6;2
working;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;18;8;6;6;6;6;6;6;14;2;18;4;6;8;36;0;2;6;4;8;2;8;4;10;4;4;6;8;2;4;8;12;2;14;2;4;0;10;2;10;10;6;6;6;16;6;2;6;8;4;4;2;4;4;0;4;4;10;4;6;0;6;0;10;4;8;6;0;0;0;2;6;4;0;2;0;0;6;4;8;8;2;6;2
pay;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;10;10;8;16;16;2;14;8;6;4;4;8;2;4;4;10;4;8;6;4;6;10;20;6;8;10;10;12;6;6;8;4;12;2;4;12;10;0;4;4;4;4;0;8;16;2;6;0;6;6;4;4;6;4;2;6;2;4;4;0;0;2;2;2;6;6;2;4;2;0;4;4;6;4;8;4;2;6;10;8;2;4;2
millions;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;16;6;2;4;12;0;6;10;12;4;8;6;10;2;4;4;8;4;2;10;4;2;8;4;8;4;0;6;6;0;4;2;2;6;2;4;10;0;0;4;4;6;6;4;2;12;4;2;4;4;10;4;4;6;2;2;10;6;2;14;4;4;2;0;4;2;2;2;2;6;6;2;4;0;12;4;2;2;0;2;4;4
jobs;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;4;6;6;6;6;12;10;4;4;6;10;2;2;4;6;12;10;6;4;0;10;4;4;4;4;6;8;2;10;6;8;2;0;4;2;0;0;0;8;2;6;6;6;8;4;0;2;4;4;4;2;6;4;2;8;4;8;8;2;0;0;0;6;4;4;10;0;20;0;4;4;4;4;0;2;2;2;0;2;8
end;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;8;2;12;2;4;6;10;4;0;4;0;2;10;4;4;4;0;6;6;4;6;6;2;10;0;4;4;6;10;2;8;4;2;6;8;0;4;8;0;12;6;2;12;0;2;2;6;4;4;6;2;12;4;0;6;4;4;4;2;2;0;2;4;0;2;0;4;4;0;0;2;0;4;4;4;8;2;6
act;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;6;8;2;4;6;4;0;8;16;10;2;6;2;6;12;2;4;2;10;6;0;6;2;2;0;2;4;8;4;4;2;4;4;4;22;4;2;2;2;8;4;4;0;4;8;0;4;2;4;0;4;4;2;4;2;2;2;2;6;2;2;6;0;0;2;4;0;4;0;4;0;2;2;2;10;0
paid;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;8;2;4;2;4;2;12;4;2;4;6;2;6;10;4;4;22;16;0;2;2;2;60;14;8;4;2;6;0;2;6;6;2;4;2;2;2;0;0;8;4;6;2;4;10;2;4;8;6;2;6;2;0;16;0;0;4;2;2;6;0;4;4;0;0;0;2;0;2;16;2;4;2;0;4;2;2;0
sick;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;6;8;4;10;6;6;4;2;6;12;2;8;4;6;6;18;10;6;8;2;4;54;12;6;4;4;0;0;0;2;4;2;0;0;0;2;0;0;0;4;0;4;2;4;2;4;4;8;2;8;0;2;12;0;0;4;0;2;8;4;8;2;0;0;0;8;0;2;22;2;2;2;0;4;0;2;4
coronavirus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;8;8;4;10;0;6;4;10;4;2;6;4;4;8;0;4;10;10;2;6;4;0;0;2;2;6;2;0;2;6;0;0;0;2;10;0;2;0;0;12;0;0;0;8;0;10;10;6;0;6;2;0;2;4;2;4;0;0;2;2;0;0;4;6;4;2;4;0;2;2;0;0;0;0;0
medicare;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;6;0;0;0;4;4;8;2;4;4;10;4;8;2;20;10;0;0;2;8;0;0;6;0;0;6;12;2;0;0;0;6;8;2;0;6;0;2;0;0;4;0;6;0;0;2;4;4;0;0;0;0;6;2;2;0;4;4;2;0;0;2;2;8;4;0;0;2;0;0;0;0;0;8
stand;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;6;4;6;6;2;4;0;6;6;6;2;2;2;2;0;4;2;10;4;4;2;2;2;6;6;0;0;14;2;2;2;2;6;8;6;0;12;2;4;2;0;4;4;2;0;4;6;6;8;0;8;0;4;4;6;0;0;14;2;0;2;2;0;2;2;6;0;0;2;0;2;2;4;0
cannot;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8;6;6;2;0;8;4;2;6;8;2;6;0;8;6;4;6;2;2;2;0;6;4;2;4;2;2;2;0;2;6;6;6;4;2;6;6;2;2;8;2;10;2;4;0;2;4;6;4;4;2;6;2;2;0;0;4;2;4;0;6;4;2;0;2;4;2;0;4;0;4;0;0
protect;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;8;10;10;10;12;2;4;6;2;10;0;4;0;2;6;4;2;6;8;0;2;2;2;8;0;0;2;4;4;8;2;2;2;2;0;0;2;2;2;2;4;2;2;4;4;2;8;0;4;0;0;0;2;0;4;2;4;8;0;2;4;0;6;4;8;4;0;2;2;0;2;2
president;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;4;12;2;4;4;0;0;0;0;2;2;10;0;6;8;0;2;2;8;2;2;6;0;0;0;2;0;2;2;2;2;4;4;0;0;2;0;0;2;2;2;0;4;0;2;6;2;0;0;0;4;0;14;4;2;2;6;2;0;2;2;2;2;4;0;0;0;4
corporate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;4;4;4;2;10;2;0;4;6;2;6;2;4;4;4;6;2;4;10;0;0;2;2;2;2;2;0;4;4;4;6;4;0;14;0;2;2;2;0;2;6;0;12;2;6;0;0;2;2;0;6;2;2;4;0;0;0;0;2;2;4;4;0;4;2;0;8;2;0
government;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;2;6;2;4;6;2;6;4;2;0;4;2;2;4;8;0;6;4;2;4;0;0;22;14;14;2;6;2;4;0;0;6;8;0;6;6;4;2;6;0;0;2;0;0;2;4;4;0;2;2;4;0;2;4;2;4;2;0;0;2;2;4;2;2;0;0;2;2
families;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;4;4;2;2;2;6;2;4;4;2;0;6;8;2;4;4;2;0;0;0;8;6;6;0;2;4;4;2;2;6;4;4;4;2;0;4;0;0;0;10;2;4;2;8;6;4;0;2;10;2;4;0;4;6;2;2;2;0;6;6;0;0;4;2;6;2
lives;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;4;10;0;10;2;2;2;4;2;4;0;2;2;4;2;8;0;2;0;8;2;4;0;0;0;4;4;0;2;0;0;10;0;2;0;4;4;2;2;4;2;0;0;0;0;2;0;2;0;2;2;0;2;2;4;4;4;2;8;2;2;0;0;0;2;0;12
medical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;2;2;8;4;6;2;6;2;4;6;0;0;0;0;2;2;0;2;4;0;0;2;2;4;0;0;2;0;0;10;0;0;6;2;4;6;6;2;2;6;0;0;4;0;2;2;4;0;0;0;2;0;6;0;0;8;4;6;0;0;0;0;0;4
senate;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;8;0;0;0;8;6;0;6;0;2;0;0;2;2;2;2;0;2;2;2;10;0;0;0;0;2;0;0;2;0;10;4;2;4;0;0;0;4;0;2;0;0;2;4;4;0;2;0;6;2;4;6;2;0;2;0;0;6;4;0;2;2
world;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;18;6;4;0;0;8;4;0;2;10;2;4;0;0;2;0;2;2;0;2;6;2;6;10;6;2;4;0;0;0;0;4;0;2;2;2;4;4;0;6;4;0;4;2;0;0;0;8;2;0;0;2;2;0;0;4;0;2;8;2;0
billion;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;0;6;0;2;2;0;6;8;6;0;4;6;2;2;2;4;2;0;0;2;0;4;8;10;0;2;4;0;4;2;4;2;2;4;2;4;0;0;2;2;2;2;2;0;2;2;2;2;0;6;2;2;0;0;2;2;0;0;0;4;2;0
states;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;8;2;8;4;2;2;4;0;4;2;54;2;6;0;2;2;0;0;0;0;0;6;2;4;2;0;2;0;0;0;0;0;2;2;4;2;0;0;6;2;4;0;0;4;2;2;0;0;2;0;0;2;4;6;2;0;0;0;2;0;0;4
job;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;10;6;4;4;4;8;0;0;4;8;4;4;4;0;0;4;2;8;0;2;0;6;0;0;0;2;2;4;4;6;2;2;6;0;2;2;4;2;2;4;0;4;0;2;2;0;2;0;2;4;0;0;0;4;8;0;0;2
guarantee;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;8;0;18;8;2;6;6;2;4;4;2;2;2;2;2;0;10;2;0;2;0;6;0;0;4;0;6;0;2;0;6;0;0;14;0;6;6;2;0;8;2;0;0;0;0;2;0;2;2;2;0;0;0;4;6;0;6;0
richest;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;2;10;6;8;2;2;12;0;0;0;6;2;0;0;0;0;0;4;12;2;2;0;6;10;0;2;4;6;0;0;0;0;4;0;0;0;4;2;4;0;2;2;0;10;0;0;0;0;6;0;2;6;4;4;4;6;0
system;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;2;0;0;0;0;6;4;2;0;0;2;4;2;4;0;0;0;8;2;6;0;4;0;0;0;0;0;0;0;2;6;2;0;2;2;0;0;6;0;0;4;0;2;4;2;0;2;2;0;0;0;0;0;0;0;0;6
human;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;2;4;2;0;0;4;2;0;0;0;2;2;0;0;6;2;0;8;0;2;0;0;4;4;2;0;8;0;0;0;0;0;2;0;2;0;4;0;0;4;0;0;2;2;2;0;0;0;2;4;4;2;2
economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;6;0;0;0;8;2;10;4;4;4;4;4;4;2;0;0;2;4;4;0;6;4;0;4;4;4;0;4;2;0;2;4;2;12;4;2;2;0;0;0;2;2;4;4;0;2;2;4;4;6;2;4;2
stop;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;6;8;4;6;2;4;4;8;2;2;4;0;6;8;0;6;2;4;4;0;0;4;0;4;4;0;10;2;4;0;4;2;0;2;2;2;0;0;0;2;6;2;0;0;4;2;0;4;0;0
leave;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;4;4;2;0;0;0;2;4;2;0;0;0;2;0;0;2;4;2;2;0;4;2;4;6;6;2;6;0;0;10;0;0;4;2;2;6;0;4;2;0;0;0;2;0;2;14;2;2;0;0;6;0;2;0
provide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;2;4;0;2;0;8;2;4;0;4;4;0;4;0;2;2;2;2;0;2;6;2;0;2;0;0;6;0;4;10;4;2;0;4;0;0;2;0;2;2;4;0;4;2;2;0;4;0;2;0;2
corporations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2;0;0;0;2;2;2;0;2;2;8;4;0;0;4;0;6;4;0;4;4;2;2;2;0;2;0;0;2;2;0;2;0;2;0;2;0;2;2;4;2;2;4;4;6;0;2;0;4;2
wage;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;0;0;0;0;2;2;0;6;2;0;2;0;4;0;0;2;0;0;0;0;0;8;2;0;0;2;4;28;0;4;0;0;2;0;0;0;0;2;0;0;4;20;22;2;0;2
united;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;2;2;0;0;0;0;0;6;0;2;0;0;2;0;0;0;2;0;0;0;4;2;0;0;6;4;4;0;0;0;2;0;0;0;0;0;0;2;0;4;4;0;0;0;2;2;0;2
tax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;2;12;12;2;4;0;16;12;0;0;2;4;2;0;0;4;0;2;2;2;0;0;0;2;0;2;2;0;2;0;2;0;0;2;0;2;0;0;2;2;6;2;4;2;4;2
trumps;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;2;0;2;6;0;0;2;0;0;0;0;2;2;0;0;0;2;0;4;0;6;2;4;0;0;0;0;4;6;4;2;0;0;0;0;0;2;2;0;0;0;0;0;2
security;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;4;0;0;0;24;4;0;4;2;0;14;2;2;2;0;2;2;0;2;0;2;0;2;0;4;2;2;0;0;0;0;4;0;0;2;0;6;0;0;0;2;0;0;2;0;8;0
year;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;8;4;0;2;6;2;8;0;4;6;2;4;2;2;4;0;0;0;0;2;0;4;0;0;2;2;0;0;0;0;0;0;4;6;0;2;0;0;0;0;0;0;6
fight;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;4;0;6;10;0;8;2;0;0;0;0;2;0;0;4;6;0;6;2;8;0;0;0;8;4;0;4;2;0;0;4;0;2;2;6;0;0;2;4;6;2;4;0
federal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;4;0;2;0;2;4;0;0;6;2;2;0;2;2;2;2;2;0;4;10;2;2;0;0;0;0;4;2;2;0;0;0;2;6;0;0;2;0;0;0;0
wall;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;4;2;2;2;0;2;0;2;8;6;12;2;2;0;2;2;10;8;0;4;0;0;0;6;0;0;0;0;0;2;0;0;0;0;0;2;6;4;4;0;2;0;4
street;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;2;0;2;0;2;6;4;10;2;2;0;0;0;10;8;0;4;0;0;0;8;0;0;0;0;0;2;0;0;0;0;0;0;6;4;2;0;2;0;4
social;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;6;0;4;2;2;0;2;0;0;0;4;2;0;0;0;0;2;6;0;0;0;2;0;0;0;0;2;0;0;2;2;0;0;2;0;0;0
pass;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;4;0;2;2;12;0;2;6;0;2;0;2;0;6;2;2;2;2;6;0;4;0;0;4;0;4;2;0;2;0;0;2;2;2;4;2
together;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;0;2;0;2;0;0;0;4;6;2;2;4;0;0;6;6;0;0;0;0;2;0;0;2;0;2;0;0;0;0;0;2;2;2;0
billionaires;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;4;0;0;0;2;2;0;2;0;0;0;4;0;2;2;0;0;0;0;0;0;8;2;2;4;0;0;4;2;0;4;4;4;2
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;6;0;2;4;2;0;2;0;2;0;0;0;4;4;0;4;0;2;2;4;2;2;0;2;0;0;4;4;6;0;2
change;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;6;0;0;2;2;10;0;28;0;0;0;2;2;0;6;0;0;4;0;2;2;8;2;0;0;2;0;2;0;0;0
benefits;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;2;0;2;0;0;0;12;0;14;8;0;0;0;0;0;2;0;4;2;0;0;0;0;0;0;2;0;0;0;10;0
put;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;8;4;4;6;0;0;0;2;2;0;0;0;2;0;0;0;2;4;0;4;0;0;0;2;0;2;0;0;2;0
debt;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;2;6;2;4;2;0;0;0;0;2;2;2;0;0;0;0;0;2;0;0;0;0;0;2;2;6;0;2;0;0;0
